"","precision","recall","model"
"133",1,0.00179004037685061,"VBASS"
"134",1,0.00180349932705249,"VBASS"
"135",1,0.00181695827725437,"VBASS"
"136",1,0.00183041722745626,"VBASS"
"137",1,0.00184387617765814,"VBASS"
"138",1,0.00185733512786003,"VBASS"
"139",1,0.00187079407806191,"VBASS"
"140",1,0.0018842530282638,"VBASS"
"141",1,0.00189771197846568,"VBASS"
"142",1,0.00191117092866756,"VBASS"
"143",1,0.00192462987886945,"VBASS"
"144",1,0.00193808882907133,"VBASS"
"145",1,0.00195154777927322,"VBASS"
"146",1,0.0019650067294751,"VBASS"
"147",1,0.00197846567967699,"VBASS"
"148",1,0.00199192462987887,"VBASS"
"149",1,0.00200538358008075,"VBASS"
"150",1,0.00201884253028264,"VBASS"
"151",1,0.00203230148048452,"VBASS"
"152",1,0.00204576043068641,"VBASS"
"153",1,0.00205921938088829,"VBASS"
"154",1,0.00207267833109017,"VBASS"
"155",1,0.00208613728129206,"VBASS"
"156",1,0.00209959623149394,"VBASS"
"157",1,0.00211305518169583,"VBASS"
"158",1,0.00212651413189771,"VBASS"
"159",1,0.0021399730820996,"VBASS"
"160",1,0.00215343203230148,"VBASS"
"161",1,0.00216689098250336,"VBASS"
"162",1,0.00218034993270525,"VBASS"
"163",1,0.00219380888290713,"VBASS"
"164",1,0.00220726783310902,"VBASS"
"165",1,0.0022207267833109,"VBASS"
"166",1,0.00223418573351279,"VBASS"
"167",1,0.00224764468371467,"VBASS"
"168",1,0.00226110363391655,"VBASS"
"169",1,0.00227456258411844,"VBASS"
"170",1,0.00228802153432032,"VBASS"
"171",1,0.00230148048452221,"VBASS"
"172",1,0.00231493943472409,"VBASS"
"173",1,0.00232839838492598,"VBASS"
"174",1,0.00234185733512786,"VBASS"
"175",1,0.00235531628532974,"VBASS"
"176",1,0.00236877523553163,"VBASS"
"177",1,0.00238223418573351,"VBASS"
"178",1,0.0023956931359354,"VBASS"
"179",1,0.00240915208613728,"VBASS"
"180",1,0.00242261103633917,"VBASS"
"181",1,0.00243606998654105,"VBASS"
"182",1,0.00244952893674293,"VBASS"
"183",1,0.00246298788694482,"VBASS"
"184",1,0.0024764468371467,"VBASS"
"185",1,0.00248990578734859,"VBASS"
"186",1,0.00250336473755047,"VBASS"
"187",1,0.00251682368775236,"VBASS"
"188",1,0.00253028263795424,"VBASS"
"189",1,0.00254374158815612,"VBASS"
"190",1,0.00255720053835801,"VBASS"
"191",1,0.00257065948855989,"VBASS"
"192",1,0.00258411843876178,"VBASS"
"193",1,0.00259757738896366,"VBASS"
"194",1,0.00261103633916555,"VBASS"
"195",1,0.00262449528936743,"VBASS"
"196",1,0.00263795423956931,"VBASS"
"197",1,0.0026514131897712,"VBASS"
"198",1,0.00266487213997308,"VBASS"
"199",1,0.00267833109017497,"VBASS"
"200",1,0.00269179004037685,"VBASS"
"201",1,0.00270524899057873,"VBASS"
"202",1,0.00271870794078062,"VBASS"
"203",1,0.0027321668909825,"VBASS"
"204",1,0.00274562584118439,"VBASS"
"205",1,0.00275908479138627,"VBASS"
"206",1,0.00277254374158816,"VBASS"
"207",1,0.00278600269179004,"VBASS"
"208",1,0.00279946164199192,"VBASS"
"209",1,0.00281292059219381,"VBASS"
"210",1,0.00282637954239569,"VBASS"
"211",1,0.00283983849259758,"VBASS"
"212",1,0.00285329744279946,"VBASS"
"213",1,0.00286675639300135,"VBASS"
"214",1,0.00288021534320323,"VBASS"
"215",1,0.00289367429340511,"VBASS"
"216",1,0.002907133243607,"VBASS"
"217",1,0.00292059219380888,"VBASS"
"218",1,0.00293405114401077,"VBASS"
"219",1,0.00294751009421265,"VBASS"
"220",1,0.00296096904441454,"VBASS"
"221",1,0.00297442799461642,"VBASS"
"222",1,0.0029878869448183,"VBASS"
"223",1,0.00300134589502019,"VBASS"
"224",1,0.00301480484522207,"VBASS"
"225",1,0.00302826379542396,"VBASS"
"226",1,0.00304172274562584,"VBASS"
"227",1,0.00305518169582773,"VBASS"
"228",1,0.00306864064602961,"VBASS"
"229",1,0.00308209959623149,"VBASS"
"230",1,0.00309555854643338,"VBASS"
"231",1,0.00310901749663526,"VBASS"
"232",1,0.00312247644683715,"VBASS"
"233",1,0.00313593539703903,"VBASS"
"234",1,0.00314939434724092,"VBASS"
"235",1,0.0031628532974428,"VBASS"
"236",1,0.00317631224764468,"VBASS"
"237",1,0.00318977119784657,"VBASS"
"238",1,0.00320323014804845,"VBASS"
"239",1,0.00321668909825034,"VBASS"
"240",1,0.00323014804845222,"VBASS"
"241",1,0.00324360699865411,"VBASS"
