,0,1,2,3,4,5,6,7
SCN2A,0.9818017,0.9859208,0.9890094,0.9818578,0.98301625,0.9827175,0.9917804,0.983011
CHD8,0.99420285,0.9954326,0.99635947,0.99402,0.9942955,0.99418044,0.9972147,0.9942385
ADNP,0.99033487,0.99251044,0.99406135,0.9901384,0.990711,0.99061644,0.9955426,0.9908229
SHANK3,0.99941254,0.9997088,0.9996433,0.99946356,0.99962705,0.999105,0.9997212,0.9991132
PTEN,0.9833056,0.9870351,0.9898039,0.98307574,0.98395526,0.9837998,0.99237406,0.98477626
SYNGAP1,1.0017505,1.0013471,1.0011415,1.0019329,1.0016954,1.0016732,1.0008318,1.0014446
MECP2,1.0005044,1.0003974,1.00032,1.0004675,1.0003775,1.0004085,1.0002383,1.0006459
KDM5B,0.9928489,0.9943929,0.9956099,0.99265057,0.9929829,0.9932108,0.99670327,0.993457
FOXP1,0.9927635,0.9945005,0.99561816,0.99268013,0.9931475,0.99301594,0.99675417,0.9933357
ARID1B,0.9934374,0.99491084,0.99607563,0.9935215,0.99395686,0.9939265,0.997098,0.9938667
POGZ,0.99382806,0.99518865,0.996513,0.9941529,0.9943823,0.9944362,0.9974295,0.9949651
ASH1L,0.9972445,0.9978912,0.9983102,0.9971179,0.9972606,0.9974066,0.99875116,0.9975358
KMT5B,0.9912615,0.99325824,0.9946524,0.99113095,0.9916706,0.99175787,0.99604154,0.9916861
SLC6A1,0.9952794,0.9964403,0.997196,0.99527776,0.9956347,0.99548465,0.9979826,0.9962951
GIGYF1,0.99969167,0.9997435,0.99968207,0.99950457,0.99936634,0.99934685,0.99968815,0.99935544
DYRK1A,0.99758065,0.99824715,0.9984461,0.9973632,0.9978398,0.997714,0.9989222,0.9978404
CHD2,0.99719286,0.9978273,0.998323,0.9972017,0.99731874,0.9972993,0.9987181,0.99728996
ASXL3,0.98556334,0.98867774,0.99060595,0.9846307,0.9858663,0.98539585,0.9928929,0.98593485
TAOK1,0.99308646,0.99459577,0.9956671,0.99280745,0.9932969,0.99322516,0.9967314,0.99355334
DNMT3A,0.9965949,0.99736226,0.9982282,0.9970176,0.99706924,0.99716425,0.9987328,0.9971411
GRIN2B,1.0045733,1.0035813,1.0028263,1.0046355,1.0043597,1.0042168,1.002063,1.0041984
BRSK2,1.0001576,1.0001444,1.0001816,1.000387,1.0004957,1.0004525,1.0001888,0.9996777
KMT2A,0.9905056,0.99263996,0.9939145,0.9899833,0.99068487,0.9903798,0.9953767,0.990669
NF1,0.9970356,0.9976615,0.9982009,0.99707437,0.99721134,0.9971541,0.99864644,0.9971511
STXBP1,0.9950707,0.99614906,0.9969801,0.99494505,0.9952779,0.9952978,0.9977282,0.9954778
CUL3,1.0001225,1.0001659,1.0000788,1.0000727,1.0001788,1.0001587,1.0000854,0.9998622
MED13L,0.99687517,0.9975346,0.998326,0.9972553,0.9973137,0.9973655,0.99877906,0.9973904
ANK2,0.9887115,0.9911575,0.99312484,0.9885541,0.98918074,0.9893776,0.9948296,0.9895018
MYT1L,0.99032116,0.9925761,0.9941973,0.990287,0.9910885,0.9910507,0.99569595,0.9909018
RORB,1.0050231,1.0036948,1.0025736,1.0044255,1.0041322,1.0042241,1.0017933,1.0036982
TBL1XR1,0.99734277,0.9980149,0.998354,0.99723125,0.9975481,0.9972838,0.99876714,0.99747574
TBR1,0.98993707,0.99208885,0.9942444,0.9903163,0.99084765,0.9909849,0.9958297,0.99247706
DYNC1H1,0.99248576,0.99413735,0.99512714,0.991982,0.9926235,0.9923806,0.9962921,0.99263155
WAC,0.99278253,0.99443126,0.9955425,0.99257886,0.99301565,0.9929506,0.9966452,0.99309254
PHF21A,1.0013926,1.0011661,1.0009383,1.0014158,1.0012527,1.0014508,1.0007894,1.0018171
KDM6B,0.9946835,0.9959118,0.9968121,0.99470484,0.9951559,0.9951155,0.9976714,0.9949189
DDX3X,0.99454165,0.99575335,0.9968126,0.99469507,0.9948377,0.9949068,0.99761456,0.9949676
CTNNB1,0.99309003,0.9946552,0.99581116,0.99299407,0.9934493,0.9934194,0.9968991,0.9938028
MED13,0.9932668,0.99474955,0.9958666,0.9932652,0.9937382,0.9935954,0.9969244,0.99340546
ANKRD11,0.99157107,0.993443,0.9944484,0.9908908,0.99162114,0.991256,0.9957577,0.99153376
CTCF,0.9932258,0.99468637,0.99553406,0.9926038,0.9930882,0.9929426,0.99658364,0.99347794
RFX3,0.9992876,0.9995147,0.99924546,0.9987867,0.9991604,0.99879706,0.9994169,0.99909735
ARHGEF9,1.0013963,1.0011672,1.0010039,1.0015925,1.0014747,1.0014719,1.000776,1.001108
SHANK2,0.99589396,0.99680245,0.9971664,0.9953996,0.9957472,0.9954046,0.9978144,0.9960667
DEAF1,0.99948174,0.9996322,0.99962556,0.99945414,0.9995774,0.9991744,0.999673,0.99947226
