,0
GW16.Neurons,0.09570795893945065
GW26.GABAergic.neurons,0.12827871803565716
GW23.GABAergic.neurons,0.03879546208513962
GW16.Stem.cells,0.1676321966212653
GW26.Neurons,-0.21940675582033467
GW10.Neurons,0.04633313451992703
GW23.Neurons,0.04298784868630568
GW10.Stem.cells,0.02010878451271498
GW16.GABAergic.neurons,0.039017347385502395
GW19.Neurons,0.015418082098746906
GW26.OPC,0.016496786855484138
GW26.Astrocytes,0.058427635632318314
GW12.Neurons,-0.0653131018944249
GW09.Stem.cells,-0.02951882038618173
GW26.Microglia,-0.05936517803029931
GW09.Neurons,-0.0752688184156544
GW23.OPC,0.02442692621795308
GW19.GABAergic.neurons,-0.0695150367900059
GW13.Neurons,-0.0729178888569235
GW08.Neurons,-0.16776459577644626
GW16.OPC,0.07498971832286508
GW12.Stem.cells,0.05354581593019744
GW16.Microglia,-0.12675786208399936
GW23.Microglia,-0.05464374435724999
week_10.hPeric,0.04505792032710625
week_10.hRgl2a,-0.04225071118832523
week_11.hRgl2a,-0.019453816829965765
week_10.Unk,-0.03739078321344903
week_11.hPeric,-0.028939577164613546
week_9.Unk,-0.033568032136048455
week_6.hProgFPM,0.03631349387858692
week_8.Unk,-0.03302781465970565
week_11.hRgl2b,-0.04107447861371818
week_9.hGaba,0.09663902338910103
week_6.hProgBP,-0.04695339718752283
week_8.hNbM,-0.08485339965107809
week_8.hNProg,-0.04285631006536391
week_11.hEndo,-0.017891266176782616
week_11.Unk,-0.09365841095925101
week_6.hProgM,0.03303443756788693
week_6.hProgFPL,0.024324270578431388
week_6.Unk,-0.0250274287148029
week_8.hProgBP,0.045480400327667175
week_8.hNbML1,-0.02880154984830459
week_9.hNbML5,0.019295202427176403
week_8.hOMTN,0.029815825577310544
week_6.hNProg,0.006512239396003873
week_6.hOMTN,0.03668010590685034
week_11.hRgl3,-0.005700636684279576
week_10.hEndo,0.050988085544511993
week_8.hProgFPM,-0.025731721699801705
week_8.hRN,0.009076010935563523
week_9.hOMTN,0.025775164873389735
week_10.hDA2,-0.04398745408417618
week_10.hRgl3,-0.041144776088794535
week_11.hOPC,-0.04004360079350509
week_11.hRgl2c,-0.1067599787823199
week_10.hNbM,0.034091948399993396
week_10.hDA1,0.04272535239369252
week_9.hProgBP,0.022627823675424822
week_8.hProgM,-0.05535403689153269
week_10.hRgl2b,0.04196169901984312
week_7.hRgl2a,-0.0154814037448461
week_7.hOMTN,0.01559543762647674
week_7.Unk,-0.03866094767478423
week_10.hRgl1,-0.022939273847603425
week_7.hProgBP,-0.016319441869682715
week_10.hDA0,0.0049375533941915664
week_9.hNbGaba,0.0720585032104674
week_9.hDA0,0.0829107464525332
week_9.hDA1,0.09084003003816601
week_9.hNProg,-0.04277259898441954
week_8.hProgFPL,0.05872914751140986
week_9.hRgl2a,-0.005418090745472576
week_9.hDA2,-0.008736951007728935
week_6.hNbML1,-0.01271896363367862
week_9.hNbM,-0.013951106809265212
week_9.hNbML1,0.09930581294897345
week_6.hNbM,-0.040385118984462086
week_10.hGaba,-0.004525208353718388
dn.cls1,0.03604483400122667
dn.cls2,0.005312358345709144
