,0,1
SCN2A,13.41895,6.0073037
CHD8,13.41895,6.0073037
ADNP,13.41895,6.0073037
SHANK3,13.41895,6.0073037
PTEN,13.41895,6.0073037
SYNGAP1,13.41895,6.0073037
MECP2,13.41895,6.0073037
KDM5B,13.41895,6.0073037
FOXP1,13.41895,6.0073037
ARID1B,13.41895,6.0073037
POGZ,13.41895,6.0073037
ASH1L,13.41895,6.0073037
KMT5B,13.41895,6.0073037
SLC6A1,13.41895,6.0073037
GIGYF1,13.41895,6.0073037
DYRK1A,13.41895,6.0073037
CHD2,13.41895,6.0073037
ASXL3,13.41895,6.0073037
TAOK1,13.41895,6.0073037
DNMT3A,13.41895,6.0073037
GRIN2B,13.41895,6.0073037
BRSK2,13.41895,6.0073037
KMT2A,13.41895,6.0073037
NF1,13.41895,6.0073037
STXBP1,13.41895,6.0073037
CUL3,13.41895,6.0073037
MED13L,13.41895,6.0073037
ANK2,13.41895,6.0073037
MYT1L,13.41895,6.0073037
RORB,13.41895,6.0073037
TBL1XR1,13.41895,6.0073037
TBR1,13.41895,6.0073037
DYNC1H1,13.41895,6.0073037
WAC,13.41895,6.0073037
PHF21A,13.41895,6.0073037
KDM6B,13.41895,6.0073037
DDX3X,13.41895,6.0073037
CTNNB1,13.41895,6.0073037
MED13,13.41895,6.0073037
ANKRD11,13.41895,6.0073037
CTCF,13.41895,6.0073037
RFX3,13.41895,6.0073037
ARHGEF9,13.41895,6.0073037
SHANK2,13.41895,6.0073037
DEAF1,13.41895,6.0073037
SMARCC2,13.41895,6.0073037
TLK2,13.41895,6.0073037
TCF20,13.41895,6.0073037
CNOT3,13.41895,6.0073037
SYNCRIP,13.41895,6.0073037
SETD5,13.41895,6.0073037
NAA15,13.41895,6.0073037
SCN1A,13.41895,6.0073037
EHMT1,13.41895,6.0073037
TCF4,13.41895,6.0073037
SRPRA,13.41895,6.0073037
MARK2,13.41895,6.0073037
KMT2C,13.41895,6.0073037
MBD5,13.41895,6.0073037
NRXN1,13.41895,6.0073037
IRF2BPL,13.41895,6.0073037
PHIP,13.41895,6.0073037
NFE2L3,13.41895,6.0073037
SKI,13.41895,6.0073037
PSMD12,13.41895,6.0073037
KCNB1,13.41895,6.0073037
CSDE1,13.41895,6.0073037
TSC1,13.41895,6.0073037
DMWD,13.41895,6.0073037
CLCN4,13.41895,6.0073037
MEIS2,13.41895,6.0073037
PBX1,13.41895,6.0073037
HNRNPD,13.41895,6.0073037
BCL11A,13.41895,6.0073037
TCF7L2,13.41895,6.0073037
WDFY3,13.41895,6.0073037
PHF3,13.41895,6.0073037
SETBP1,13.41895,6.0073037
TGM1,13.41895,6.0073037
EBF3,13.41895,6.0073037
PPP2R5D,13.41895,6.0073037
TAF4,13.41895,6.0073037
KCNQ2,13.41895,6.0073037
CAPRIN1,13.41895,6.0073037
DSCAM,13.41895,6.0073037
GABBR2,13.41895,6.0073037
PRKG2,13.41895,6.0073037
UBN2,13.41895,6.0073037
MEF2C,13.41895,6.0073037
TRIP12,13.41895,6.0073037
EP300,13.41895,6.0073037
NR3C2,13.41895,6.0073037
ARHGEF18,13.41895,6.0073037
TNPO3,13.41895,6.0073037
SMAD6,13.41895,6.0073037
AMOT,13.41895,6.0073037
AUTS2,13.41895,6.0073037
NCKAP1,13.41895,6.0073037
DLG4,13.41895,6.0073037
ECPAS,13.41895,6.0073037
PRKAR1B,13.41895,6.0073037
FUBP3,13.41895,6.0073037
GRIA2,13.41895,6.0073037
CCDC40,13.41895,6.0073037
GABRA1,13.41895,6.0073037
TSC2,13.41895,6.0073037
C1orf185,13.41895,6.0073037
METTL23,13.41895,6.0073037
HNRNPUL2,13.41895,6.0073037
PAX5,13.41895,6.0073037
ATF4,13.41895,6.0073037
RERE,13.41895,6.0073037
DHFR2,13.41895,6.0073037
TMC4,13.41895,6.0073037
FXYD5,13.41895,6.0073037
EBAG9,13.41895,6.0073037
ITGB5,13.41895,6.0073037
INTS2,13.41895,6.0073037
RAI1,13.41895,6.0073037
FOXG1,13.41895,6.0073037
PLEKHG6,13.41895,6.0073037
MAVS,13.41895,6.0073037
C1QC,13.41895,6.0073037
TMEM116,13.41895,6.0073037
SIN3A,13.41895,6.0073037
ANP32A,13.41895,6.0073037
PRR14L,13.41895,6.0073037
CSNK2B,13.41895,6.0073037
PMM2,13.41895,6.0073037
PFN2,13.41895,6.0073037
LMTK3,13.41895,6.0073037
SPRY2,13.41895,6.0073037
CMPK2,13.41895,6.0073037
IQSEC2,13.41895,6.0073037
RIPK1,13.41895,6.0073037
TPK1,13.41895,6.0073037
CASZ1,13.41895,6.0073037
ZBTB45,13.41895,6.0073037
NUDT17,13.41895,6.0073037
FANCE,13.41895,6.0073037
ZNF396,13.41895,6.0073037
NR4A2,13.41895,6.0073037
TBCEL,13.41895,6.0073037
ADAM21,13.41895,6.0073037
TCF3,13.41895,6.0073037
AAAS,13.41895,6.0073037
CELF6,13.41895,6.0073037
INSC,13.41895,6.0073037
ZMYND8,13.41895,6.0073037
CLTC,13.41895,6.0073037
TCHHL1,13.41895,6.0073037
CTDSPL2,13.41895,6.0073037
ZNF292,13.41895,6.0073037
KCNQ3,13.41895,6.0073037
RALGAPB,13.41895,6.0073037
SRCAP,13.41895,6.0073037
RAB11FIP4,13.41895,6.0073037
ZNF865,13.41895,6.0073037
CASKIN1,13.41895,6.0073037
RANBP17,13.41895,6.0073037
FBN1,13.41895,6.0073037
ACTB,13.41895,6.0073037
CNNM2,13.41895,6.0073037
TSHZ1,13.41895,6.0073037
UPF3B,13.41895,6.0073037
PHF2,13.41895,6.0073037
FMR1,13.41895,6.0073037
MIB1,13.41895,6.0073037
FADS1,13.41895,6.0073037
FRMD7,13.41895,6.0073037
LDB1,13.41895,6.0073037
PCDH19,13.41895,6.0073037
EIF3G,13.41895,6.0073037
MYO1E,13.41895,6.0073037
ZFAND5,13.41895,6.0073037
CFAP410,13.41895,6.0073037
BICRA,13.41895,6.0073037
MYBL2,13.41895,6.0073037
KIAA1958,13.41895,6.0073037
GABRG2,13.41895,6.0073037
SKIDA1,13.41895,6.0073037
PSMA3,13.41895,6.0073037
TTC37,13.41895,6.0073037
PCYT1A,13.41895,6.0073037
AP1G1,13.41895,6.0073037
FEZF2,13.41895,6.0073037
FGF19,13.41895,6.0073037
MSL3,13.41895,6.0073037
SON,13.41895,6.0073037
DNAJC5,13.41895,6.0073037
FBXO22,13.41895,6.0073037
TNFRSF8,13.41895,6.0073037
HDAC11,13.41895,6.0073037
SSR2,13.41895,6.0073037
ACTG1,13.41895,6.0073037
PNN,13.41895,6.0073037
RUNX1T1,13.41895,6.0073037
APBB1,13.41895,6.0073037
CERS4,13.41895,6.0073037
CELF4,13.41895,6.0073037
ZBTB14,13.41895,6.0073037
ATAT1,13.41895,6.0073037
RBBP5,13.41895,6.0073037
G3BP1,13.41895,6.0073037
WNT7B,13.41895,6.0073037
BDP1,13.41895,6.0073037
RNF217,13.41895,6.0073037
CBX4,13.41895,6.0073037
NME8,13.41895,6.0073037
DCUN1D3,13.41895,6.0073037
ENC1,13.41895,6.0073037
UBB,13.41895,6.0073037
NEO1,13.41895,6.0073037
SLC4A10,13.41895,6.0073037
BRF2,13.41895,6.0073037
PSMD11,13.41895,6.0073037
NR2F1,13.41895,6.0073037
CASK,13.41895,6.0073037
SARM1,13.41895,6.0073037
TPST2,13.41895,6.0073037
FPGS,13.41895,6.0073037
QRICH1,13.41895,6.0073037
LRP10,13.41895,6.0073037
CD101,13.41895,6.0073037
INTS7,13.41895,6.0073037
SMAD4,13.41895,6.0073037
STARD10,13.41895,6.0073037
CNTNAP3,13.41895,6.0073037
DHX37,13.41895,6.0073037
GABRB3,13.41895,6.0073037
NDNF,13.41895,6.0073037
FARP2,13.41895,6.0073037
SLF1,13.41895,6.0073037
HDAC4,13.41895,6.0073037
CNGB3,13.41895,6.0073037
PCDHGA8,13.41895,6.0073037
TSPAN4,13.41895,6.0073037
