"","recall","mut.rate","mut.rate.rank","model.name"
"942",0.18,5.18378824989733e-06,0.577846863561149,"VBASS.FDR.0.05"
"943",0.15,4.34808311793195e-06,0.501679787394073,"VBASS.FDR.0.05"
"944",0.15,3.74670683405149e-06,0.440856440856441,"VBASS.FDR.0.05"
"945",0.02,2.03256645275897e-06,0.239382239382239,"VBASS.FDR.0.05"
"946",0.16,3.76716953037282e-06,0.443263300406158,"VBASS.FDR.0.05"
"947",0.17,4.31905310788076e-06,0.499272927844356,"VBASS.FDR.0.05"
"948",0.13,5.75901235251632e-06,0.622423908138194,"VBASS.FDR.0.05"
"949",0.11,4.73257166187644e-06,0.539988968560397,"VBASS.FDR.0.05"
"950",0.05,2.13388806095491e-06,0.252218823647395,"VBASS.FDR.0.05"
"951",0.21,3.99517449467339e-06,0.468585468585469,"VBASS.FDR.0.05"
"952",0.15,4.7776325736534e-06,0.543699543699544,"VBASS.FDR.0.05"
"953",0.03,2.14553020663495e-06,0.253522539236825,"VBASS.FDR.0.05"
"954",0.14,5.12238544128603e-06,0.571829714686858,"VBASS.FDR.0.05"
"955",0.18,4.9742050228193e-06,0.559795416938274,"VBASS.FDR.0.05"
"956",0.16,4.41611951724794e-06,0.508850223135937,"VBASS.FDR.0.05"
"957",0.03,2.36850849304699e-06,0.280298851727423,"VBASS.FDR.0.05"
"958",0.03,2.45201481828881e-06,0.290528004813719,"VBASS.FDR.0.05"
"959",0.05,1.84671066702222e-06,0.21877350448779,"VBASS.FDR.0.05"
"960",0.08,4.51529096767993e-06,0.519380233665948,"VBASS.FDR.0.05"
"961",0.15,5.80551202966514e-06,0.625633054204483,"VBASS.FDR.0.05"
"962",0.13,5.24031459381299e-06,0.582259439402297,"VBASS.FDR.0.05"
"963",0.03,3.01531186153801e-06,0.354710926139498,"VBASS.FDR.0.05"
"964",0.42,2.13766369666635e-05,0.964799679085393,"VBASS.FDR.0.05"
"965",0.21,5.40357280245567e-06,0.595547309833024,"VBASS.FDR.0.05"
"966",0.18,6.8831076069466e-06,0.693777265205837,"VBASS.FDR.0.05"
"967",0.17,5.76951649791048e-06,0.623125908840195,"VBASS.FDR.0.05"
"968",0.06,3.38609867437835e-06,0.4001404001404,"VBASS.FDR.0.05"
"969",0.05,3.35259135108624e-06,0.395727824299253,"VBASS.FDR.0.05"
"970",0.05,2.51784729584993e-06,0.297598154741012,"VBASS.FDR.0.05"
"971",0.17,5.88519659204888e-06,0.630697487840345,"VBASS.FDR.0.05"
"972",0.22,6.74328877378272e-06,0.685904828761972,"VBASS.FDR.0.05"
"973",0.23,7.24823813716454e-06,0.715088000802287,"VBASS.FDR.0.05"
"974",0.21,7.66165852653714e-06,0.735044877902021,"VBASS.FDR.0.05"
"975",0.06,3.83257229995458e-06,0.450132878704307,"VBASS.FDR.0.05"
"976",0.27,5.64620773642928e-06,0.614551471694329,"VBASS.FDR.0.05"
"977",0.23,5.27071371043064e-06,0.584616156044727,"VBASS.FDR.0.05"
"978",0.12,3.79890564415972e-06,0.446723161008875,"VBASS.FDR.0.05"
"979",0.22,7.66385846527915e-06,0.735145163716592,"VBASS.FDR.0.05"
"980",0.09,3.92596717805874e-06,0.460362031790603,"VBASS.FDR.0.05"
"981",0.24,7.63751572574666e-06,0.733841448127162,"VBASS.FDR.0.05"
"982",0.07,3.88712258620645e-06,0.455949455949456,"VBASS.FDR.0.05"
"983",0.11,3.95166698925843e-06,0.463821892393321,"VBASS.FDR.0.05"
"984",0.12,4.549525174521e-06,0.522087950659379,"VBASS.FDR.0.05"
"985",0.12,3.73497713777716e-06,0.439452439452439,"VBASS.FDR.0.05"
"986",0.15,3.69801505654334e-06,0.434488291631149,"VBASS.FDR.0.05"
"987",0.1,3.67392135745888e-06,0.431931003359575,"VBASS.FDR.0.05"
"988",0.3,8.04557592409322e-06,0.75139146567718,"VBASS.FDR.0.05"
"989",0.42,8.54458482046711e-06,0.771950057664343,"VBASS.FDR.0.05"
"990",0.15,4.1394788949034e-06,0.483227197512912,"VBASS.FDR.0.05"
"991",0.15,4.5035603798541e-06,0.517875946447375,"VBASS.FDR.0.05"
"992",0.26,6.92408770251938e-06,0.696635410921125,"VBASS.FDR.0.05"
"993",0.27,8.74410437013843e-06,0.779672065386351,"VBASS.FDR.0.05"
"994",0.11,4.5073460633274e-06,0.518628090056661,"VBASS.FDR.0.05"
"995",0.3,7.24525106665547e-06,0.714937572080429,"VBASS.FDR.0.05"
"996",0.16,4.63365945118414e-06,0.531013388156245,"VBASS.FDR.0.05"
"997",0.32,7.53789178182174e-06,0.728877300305872,"VBASS.FDR.0.05"
"998",0.3,7.79186517890117e-06,0.740711026425312,"VBASS.FDR.0.05"
"999",0.17,4.68249484617333e-06,0.535676678533821,"VBASS.FDR.0.05"
"1000",0.3,8.25538368109847e-06,0.760316903174046,"VBASS.FDR.0.05"
"1001",0.14,5.90050916311532e-06,0.631900917615203,"VBASS.FDR.0.05"
"1002",0.14,4.93867686792873e-06,0.556335556335556,"VBASS.FDR.0.05"
"1003",0.28,7.94314879724171e-06,0.746527603670461,"VBASS.FDR.0.05"
"1004",0.29,8.37467341842984e-06,0.764729479015193,"VBASS.FDR.0.05"
"1005",0.16,4.60381596853008e-06,0.5283558140701,"VBASS.FDR.0.05"
"1006",0.16,5.2163670532013e-06,0.580404151832723,"VBASS.FDR.0.05"
"1007",0.34,9.01212715877127e-06,0.789048789048789,"VBASS.FDR.0.05"
"1008",0.33,7.4319927637854e-06,0.724314295742867,"VBASS.FDR.0.05"
"1009",0.14,5.76223982372432e-06,0.622574336860051,"VBASS.FDR.0.05"
"1010",0.17,5.1111996271217e-06,0.570826856541142,"VBASS.FDR.0.05"
"1011",0.32,1.04002647307316e-05,0.833876548162262,"VBASS.FDR.0.05"
"1012",0.3,8.04117100421717e-06,0.751140751140751,"VBASS.FDR.0.05"
"1013",0.11,5.26301312784906e-06,0.584164869879156,"VBASS.FDR.0.05"
"1014",0.13,5.80089498784191e-06,0.625282053853482,"VBASS.FDR.0.05"
"1015",0.2,5.89737759063919e-06,0.631600060171489,"VBASS.FDR.0.05"
"1016",0.12,6.75611208801691e-06,0.686707115278544,"VBASS.FDR.0.05"
"1017",0.16,6.0260871406373e-06,0.639973925688211,"VBASS.FDR.0.05"
"1018",0.18,6.38524556108023e-06,0.663741663741664,"VBASS.FDR.0.05"
"1019",0.15,5.80058650552672e-06,0.625181768038911,"VBASS.FDR.0.05"
"1020",0.38,1.02193798892994e-05,0.828711828711829,"VBASS.FDR.0.05"
"1021",0.21,6.59821945704399e-06,0.677430677430677,"VBASS.FDR.0.05"
"1022",0.23,5.61518624416656e-06,0.611893897608183,"VBASS.FDR.0.05"
"1023",0.19,6.38912245088446e-06,0.664092664092664,"VBASS.FDR.0.05"
"1024",0.34,9.45835448290095e-06,0.804442661585519,"VBASS.FDR.0.05"
"1025",0.32,8.34144186064858e-06,0.763726620869478,"VBASS.FDR.0.05"
"1026",0.32,8.32261617780667e-06,0.76287419144562,"VBASS.FDR.0.05"
"1027",0.22,6.09776184268471e-06,0.646041217469789,"VBASS.FDR.0.05"
"1028",0.35,1.0355051069714e-05,0.832472546758261,"VBASS.FDR.0.05"
"1029",0.18,6.13226341111139e-06,0.647846362132076,"VBASS.FDR.0.05"
"1030",0.49,9.26124782312404e-06,0.797623226194655,"VBASS.FDR.0.05"
"1031",0.26,6.59691330973484e-06,0.677380534523392,"VBASS.FDR.0.05"
"1032",0.19,7.11624691898109e-06,0.708368851225994,"VBASS.FDR.0.05"
"1033",0.28,7.00835416668225e-06,0.702251416537131,"VBASS.FDR.0.05"
"1034",0.44,1.43206017265868e-05,0.911297197011483,"VBASS.FDR.0.05"
"1035",0.36,1.05295585699872e-05,0.83698540841398,"VBASS.FDR.0.05"
"1036",0.31,7.32550497545867e-06,0.718497718497718,"VBASS.FDR.0.05"
"1037",0.37,6.72420744271574e-06,0.684901970616256,"VBASS.FDR.0.05"
"1038",0.27,7.81864491586417e-06,0.741864313292885,"VBASS.FDR.0.05"
"1039",0.24,7.98835111084402e-06,0.74843303414732,"VBASS.FDR.0.05"
"1040",0.3,7.61621850500884e-06,0.732738304166876,"VBASS.FDR.0.05"
"1041",0.41,1.14428347710383e-05,0.86125457554029,"VBASS.FDR.0.05"
"1042",0.36,1.01955350873945e-05,0.8281101138244,"VBASS.FDR.0.05"
"1043",0.29,7.66569772448568e-06,0.73529559243845,"VBASS.FDR.0.05"
"1044",0.46,1.07534542697815e-05,0.843353557639272,"VBASS.FDR.0.05"
"1045",0.3,7.48595831264768e-06,0.727222584365442,"VBASS.FDR.0.05"
"1046",0.66,2.79657005828811e-05,0.981346838489696,"VBASS.FDR.0.05"
"1047",0.23,9.49242421279553e-06,0.805445519731234,"VBASS.FDR.0.05"
"1048",0.38,8.74016583369295e-06,0.779471493757208,"VBASS.FDR.0.05"
"1049",0.37,8.28871077254878e-06,0.761670761670762,"VBASS.FDR.0.05"
"1050",0.4,1.15149665052767e-05,0.862959434388006,"VBASS.FDR.0.05"
"1051",0.32,9.29881835377852e-06,0.798425512711227,"VBASS.FDR.0.05"
"1052",0.31,1.01424489228404e-05,0.826605826605827,"VBASS.FDR.0.05"
"1053",0.34,9.17022588606378e-06,0.794815223386652,"VBASS.FDR.0.05"
"1054",0.38,1.26252289629752e-05,0.884922027779171,"VBASS.FDR.0.05"
"1055",0.44,1.27246449716622e-05,0.886727172441458,"VBASS.FDR.0.05"
"1056",0.33,9.9695852213922e-06,0.820939678082535,"VBASS.FDR.0.05"
"1057",0.4,9.89173367545524e-06,0.81863310434739,"VBASS.FDR.0.05"
"1058",0.41,8.86618060852152e-06,0.784485784485784,"VBASS.FDR.0.05"
"1059",0.37,1.05370588813348e-05,0.83733640876498,"VBASS.FDR.0.05"
