,0,1,2,3,4,5,6,7
SCN2A,0.26940322,0.5355468,1.1986187,0.71684253,0.49920982,0.61418086,0.7951205,0.73040444
CHD8,0.2492993,0.6461882,1.2290039,0.8903015,0.4911933,0.72977257,0.7214,0.54006475
ADNP,0.25103614,0.6319456,1.103943,0.79170966,0.48983258,0.7114233,0.7176784,0.6771835
SHANK3,0.32916197,0.6800808,1.4120027,0.8754017,0.44961375,0.7277606,0.7095068,0.551001
PTEN,0.28859144,0.636482,1.1402339,0.79913414,0.5071037,0.6788439,0.71946925,0.60874516
SYNGAP1,0.31191528,0.7163456,1.5121479,1.0567179,0.46036112,0.72767574,0.7709358,0.49893343
MECP2,0.292561,0.70158374,1.4127113,0.94440067,0.45219672,0.7195754,0.6698637,0.58455104
KDM5B,0.29014695,0.6330067,1.1680508,0.8017834,0.49491355,0.7707138,0.71494395,0.65692514
FOXP1,0.22752692,0.5891531,1.1316773,0.85645604,0.44974762,0.74337304,0.7083159,0.6788558
ARID1B,0.25036424,0.590516,1.2746618,0.80553824,0.5010944,0.7096002,0.66768515,0.69703907
POGZ,0.25991678,0.5980234,1.2055681,0.80693114,0.48012325,0.6966171,0.7177662,0.6432427
ASH1L,0.25752312,0.67960614,1.2013136,0.8236823,0.46521986,0.75844216,0.6561345,0.6545356
KMT5B,0.23695733,0.59992445,1.1186802,0.7893243,0.45599282,0.7021961,0.65403235,0.65054804
SLC6A1,0.24145758,0.67090654,1.077487,0.81564856,0.41271073,0.62901354,0.5952635,0.6526978
GIGYF1,0.2540182,0.59743917,1.2490518,0.9066114,0.4373364,0.75320435,0.61233205,0.5736338
DYRK1A,0.24838305,0.6047684,1.2231861,0.8520678,0.41355312,0.7883614,0.6338824,0.6440488
CHD2,0.25031012,0.6236472,1.2792437,0.8323828,0.506269,0.74346364,0.7255688,0.61956954
ASXL3,0.3327457,0.64345807,1.1156394,0.78567594,0.4986496,0.6721967,0.77107793,0.666179
TAOK1,0.2444652,0.6636686,1.1093996,0.85008293,0.46021807,0.77557844,0.65346926,0.69564253
DNMT3A,0.26873842,0.63906825,1.3471214,0.9167239,0.5185391,0.68878996,0.81095815,0.5833908
GRIN2B,0.40179342,0.7589445,1.5470858,1.0104032,0.49095827,0.64923865,0.7910745,0.5020109
BRSK2,0.28750688,0.53424203,1.3547689,0.806973,0.47355777,0.6368139,0.8514182,0.50665563
KMT2A,0.25262713,0.6082087,1.1080798,0.7414732,0.50450075,0.75064075,0.70726484,0.6567469
NF1,0.2572881,0.6296717,1.3323414,0.8731214,0.49230212,0.739182,0.71130127,0.5973331
STXBP1,0.2774624,0.66373026,1.2068319,0.8501041,0.45188636,0.78651404,0.64898133,0.6353171
CUL3,0.26211894,0.59196395,1.2370646,0.8391049,0.4692511,0.65089256,0.7828448,0.5877769
MED13L,0.25816363,0.57004184,1.3017495,0.8848702,0.4782271,0.72884446,0.6849699,0.6409587
ANK2,0.26092955,0.58344257,1.0403769,0.75377697,0.47403604,0.79065824,0.5994275,0.68027
MYT1L,0.24204181,0.55844903,1.1170323,0.7228238,0.4863457,0.73482674,0.69945025,0.7001101
RORB,0.34183776,0.68365777,1.3720742,1.0762131,0.4592841,0.7611089,0.7521157,0.54625785
TBL1XR1,0.24265833,0.59038764,1.2332798,0.8103975,0.49957305,0.717894,0.7192807,0.66266453
TBR1,0.48954016,0.9127353,1.6528559,1.0900902,0.5471824,0.66828555,0.8723459,0.56556094
DYNC1H1,0.24194242,0.64084226,1.0893339,0.7644579,0.4985574,0.7744597,0.67023885,0.65978837
WAC,0.23003556,0.66035354,1.0873787,0.7998407,0.47245383,0.7786461,0.6715439,0.67270267
PHF21A,0.2737672,0.70648336,1.3117902,0.8517637,0.4472749,0.7534421,0.59366745,0.5516255
KDM6B,0.29277524,0.65484333,1.2494522,0.8391796,0.47713125,0.708161,0.79436743,0.5862089
DDX3X,0.23843625,0.6165897,1.1425642,0.8147484,0.47986045,0.7477263,0.71491945,0.63321054
CTNNB1,0.23933227,0.6787367,1.1327195,0.8518083,0.4967507,0.75046504,0.7055943,0.66518927
MED13,0.2463761,0.5492227,1.1817106,0.81341547,0.5192041,0.68592554,0.74382067,0.5981082
ANKRD11,0.24673718,0.6063812,1.1167454,0.7945837,0.5164383,0.74096465,0.7198433,0.69326866
CTCF,0.26325515,0.67152834,1.1582526,0.7973127,0.49885666,0.7182475,0.6694305,0.6488898
RFX3,0.26118457,0.5836936,1.1807187,0.7900649,0.44350833,0.7240226,0.68009925,0.6184829
ARHGEF9,0.272816,0.63215125,1.3585255,0.8944654,0.48633516,0.71241844,0.80405426,0.57846385
SHANK2,0.30239913,0.51400405,1.216989,0.76019114,0.42931473,0.66996545,0.68599737,0.64113003
DEAF1,0.31552756,0.5604946,1.4415907,0.8780756,0.41364855,0.6334499,0.7482526,0.5236632
SMARCC2,0.24814133,0.65589994,1.1778226,0.8001845,0.47721535,0.7475666,0.69625515,0.6751341
TLK2,0.2548974,0.6802794,1.3611444,0.89473736,0.45216757,0.6827042,0.6832924,0.53641975
TCF20,0.25440228,0.62525356,1.1900089,0.80185807,0.47877958,0.70855427,0.7142205,0.6345639
CNOT3,0.32853484,0.7617986,1.508672,1.0008922,0.4957468,0.72792864,0.8070078,0.46809
SYNCRIP,0.23576465,0.6425432,1.0161012,0.7855178,0.5320908,0.7328375,0.7448816,0.74634576
SETD5,0.2627684,0.74214405,1.2640194,0.9044503,0.4451943,0.71998256,0.6834523,0.62424606
NAA15,0.28707477,0.6996578,1.3547,0.8587637,0.52339315,0.71062434,0.73212993,0.645382
SCN1A,0.28371435,0.7067453,1.2494835,0.90438855,0.4001363,0.7017093,0.5322549,0.66144717
EHMT1,0.31546304,0.75326097,1.2766298,0.94077,0.5111686,0.66176564,0.8708031,0.6417268
TCF4,0.24789687,0.66410345,1.1430345,0.78010195,0.5082175,0.76421684,0.6791676,0.60468143
SRPRA,0.31501535,0.7143364,1.5669854,0.9867333,0.5452759,0.6791982,0.7663899,0.5364752
MARK2,0.3138753,0.6838237,1.3673123,0.9146271,0.40233928,0.72140706,0.68415546,0.5089073
KMT2C,0.26473254,0.60995597,1.0656735,0.73563373,0.47747135,0.7820622,0.6413853,0.63578975
MBD5,0.31938413,0.76035047,1.4019583,1.0454468,0.4563725,0.81294006,0.62663674,0.5456495
NRXN1,0.25808382,0.65561014,1.1887709,0.79715997,0.5179,0.75485784,0.6473263,0.6745228
IRF2BPL,0.25892663,0.6723189,1.2444966,0.8742391,0.47391576,0.72185457,0.6404343,0.6335924
PHIP,0.24044663,0.5493847,1.1694455,0.7625043,0.5412924,0.69444114,0.71602446,0.68544203
NFE2L3,0.36561453,0.8508206,1.5311191,1.0838304,0.47544706,0.7160992,0.71449095,0.5361843
SKI,0.28068012,0.68775713,1.2982011,0.909988,0.43089032,0.66271317,0.6850624,0.5510522
PSMD12,0.31543007,0.74609655,1.4367946,1.0934541,0.4720382,0.71454,0.80883956,0.53067756
KCNB1,0.32219195,0.7532745,1.4457383,0.97883797,0.46219152,0.65487003,0.826567,0.5475377
CSDE1,0.24164191,0.6126448,1.1053922,0.74678904,0.49723136,0.75107527,0.72585785,0.67044395
TSC1,0.26018402,0.6454925,1.1896293,0.8784091,0.42859662,0.7321033,0.6629084,0.6053819
