,0
GW16.Neurons,0.04459622483797018
GW26.GABAergic.neurons,0.13977763753195888
GW23.GABAergic.neurons,0.036366304587066384
GW16.Stem.cells,0.19802817833439726
GW26.Neurons,-0.18030449715913535
GW10.Neurons,0.033418591301518925
GW23.Neurons,0.04243822624810513
GW10.Stem.cells,0.015457777434955232
GW16.GABAergic.neurons,0.03292880126513143
GW19.Neurons,0.011628680564116185
GW26.OPC,-0.01826687295580803
GW26.Astrocytes,0.05464799282617725
GW12.Neurons,-0.05941995361904815
GW09.Stem.cells,-0.02258533348308475
GW26.Microglia,-0.02320467720805791
GW09.Neurons,-0.07357443257498736
GW23.OPC,0.00809072552762071
GW19.GABAergic.neurons,-0.07469384014137433
GW13.Neurons,-0.08774934132549211
GW08.Neurons,-0.14945193709870452
GW16.OPC,0.0816033364337192
GW12.Stem.cells,0.053385697080769165
GW16.Microglia,-0.0956833354146123
GW23.Microglia,-0.05312629760540547
week_10.hPeric,0.059981710374674604
week_10.hRgl2a,-0.0436884128425342
week_11.hRgl2a,-0.026060633057720536
week_10.Unk,-0.05375305002761947
week_11.hPeric,-0.03581092295145028
week_9.Unk,-0.03349574623111318
week_6.hProgFPM,0.04092180470294243
week_8.Unk,-0.04380755756542636
week_11.hRgl2b,-0.05267614462612711
week_9.hGaba,0.09710964344394385
week_6.hProgBP,-0.03668538698615767
week_8.hNbM,-0.08171037024054748
week_8.hNProg,-0.05285430558477517
week_11.hEndo,-0.014070419700218672
week_11.Unk,-0.10227652010256129
week_6.hProgM,0.034201568522329355
week_6.hProgFPL,0.029024814132592173
week_6.Unk,-0.027519181030435935
week_8.hProgBP,0.04147298877530271
week_8.hNbML1,-0.024364751762291127
week_9.hNbML5,0.026873884551993077
week_8.hOMTN,0.03783174552219972
week_6.hNProg,0.003811648658783988
week_6.hOMTN,0.040764654383785376
week_11.hRgl3,0.006227824179425267
week_10.hEndo,0.04178349372294926
week_8.hProgFPM,-0.031565423749525895
week_8.hRN,0.00710331153418182
week_9.hOMTN,0.017787206358948978
week_10.hDA2,-0.028629351977521162
week_10.hRgl3,-0.04197190014685168
week_11.hOPC,-0.036486695823368005
week_11.hRgl2c,-0.0949374111807498
week_10.hNbM,0.02863186009090189
week_10.hDA1,0.061824863459486686
week_9.hProgBP,0.010016689583042618
week_8.hProgM,-0.05512911626750876
week_10.hRgl2b,0.040716918784285225
week_7.hRgl2a,-0.029482258452891468
week_7.hOMTN,0.018478475904240555
week_7.Unk,-0.0410988572120414
week_10.hRgl1,-0.024366586045776958
week_7.hProgBP,-0.002201532356235916
week_10.hDA0,-0.00010348282416379206
week_9.hNbGaba,0.05845173336215563
week_9.hDA0,0.07800631395558558
week_9.hDA1,0.11028832186004693
week_9.hNProg,-0.050598708905764136
week_8.hProgFPL,0.030631846672113213
week_9.hRgl2a,-0.0031017448009383
week_9.hDA2,-0.014026905482592866
week_6.hNbML1,-0.01847475524550829
week_9.hNbM,-0.0008276384811378691
week_9.hNbML1,0.09467382449201314
week_6.hNbM,-0.038733046220659754
week_10.hGaba,-0.009671093545283806
dn.cls1,0.02600320783388759
dn.cls2,0.011908839054820366
