,0,1,2,3,4,5,6,7
SCN2A,0.98157704,0.98593867,0.98861265,0.98144317,0.9826327,0.9825752,0.9912943,0.9818163
CHD8,0.9953168,0.99637747,0.9969759,0.99507225,0.99534655,0.9952829,0.9976065,0.99475205
ADNP,0.99123573,0.9933367,0.99451613,0.99099314,0.99158645,0.9915094,0.99577135,0.99097145
SHANK3,0.99928033,0.9996217,0.9994905,0.999248,0.9993061,0.9990204,0.9995912,0.99856085
PTEN,0.9851595,0.9887016,0.990863,0.9849813,0.98588455,0.98580015,0.9930134,0.9858704
SYNGAP1,1.0016123,1.0012292,1.0010895,1.0017917,1.0015271,1.0015364,1.0008323,1.0014955
MECP2,1.0012828,1.0009964,1.0008558,1.0013046,1.0011979,1.0011866,1.0006726,1.0016291
KDM5B,0.9937786,0.9952222,0.99616754,0.993608,0.994032,0.9941287,0.99705493,0.9940854
FOXP1,0.9935353,0.9951849,0.9960282,0.993466,0.9938976,0.993819,0.9969921,0.99362934
ARID1B,0.9936649,0.9951618,0.99615043,0.993714,0.9941131,0.99416745,0.99709815,0.99382496
POGZ,0.99336994,0.99489117,0.9961237,0.9935995,0.99386275,0.9940272,0.99709487,0.9945285
ASH1L,0.9969908,0.9977046,0.99809355,0.9968225,0.9970195,0.9971658,0.9985532,0.9971993
KMT5B,0.99188495,0.9938251,0.99493724,0.9917115,0.99224865,0.9923605,0.99615777,0.99162424
SLC6A1,0.99424905,0.9956897,0.9964843,0.9942322,0.9946258,0.9946496,0.9974111,0.99542737
GIGYF1,0.9996822,0.99977446,0.99970466,0.9995333,0.99947965,0.999369,0.99969465,0.9992416
DYRK1A,0.99805033,0.9985949,0.9986861,0.9978458,0.9981786,0.9982375,0.9990727,0.99814755
CHD2,0.99745584,0.99808526,0.9984971,0.9974824,0.99763614,0.99755657,0.9988458,0.9974864
ASXL3,0.9867,0.9897492,0.9912244,0.9858066,0.98701596,0.9867437,0.99317217,0.98630786
TAOK1,0.9935039,0.99498737,0.99584216,0.9931848,0.99366844,0.99370843,0.996781,0.9936725
DNMT3A,0.9974254,0.99805796,0.9987399,0.99783796,0.99785703,0.99790806,0.99912155,0.997867
GRIN2B,1.0037508,1.0029002,1.0023297,1.0037655,1.0035245,1.003391,1.0017363,1.0034885
BRSK2,0.9995707,0.99970466,0.99982333,0.99977446,0.99982715,0.99983025,0.9999378,0.9989282
KMT2A,0.9912698,0.99338484,0.9943372,0.9907944,0.991508,0.99125814,0.99557805,0.9907793
NF1,0.9972192,0.997825,0.9982869,0.9972428,0.9973303,0.997415,0.99869967,0.99731344
STXBP1,0.995381,0.99644816,0.9971558,0.99527466,0.9955983,0.99567664,0.997823,0.99576086
CUL3,0.99886304,0.9992202,0.99932194,0.9988244,0.9989945,0.99893576,0.99951565,0.99862665
MED13L,0.99789655,0.9983312,0.9989182,0.99824214,0.9981595,0.9983673,0.9992292,0.99830866
ANK2,0.9881836,0.9908439,0.99263084,0.9878918,0.98864007,0.98890656,0.9943315,0.98861134
MYT1L,0.9905433,0.9928202,0.9941934,0.99041504,0.9911762,0.9912609,0.99559736,0.99051964
RORB,1.0046067,1.0033375,1.00245,1.0041196,1.003858,1.0039302,1.0017183,1.0035173
TBL1XR1,0.9975907,0.99824744,0.99849296,0.99750173,0.99775755,0.9975982,0.9988494,0.99758804
TBR1,0.99131817,0.99329555,0.9950356,0.9916787,0.9921902,0.99236584,0.9963781,0.99407727
DYNC1H1,0.9929911,0.99463385,0.9954032,0.9925314,0.99314547,0.9930285,0.99641377,0.99279994
WAC,0.9926758,0.99443185,0.99538016,0.99241626,0.9929054,0.99289715,0.99643016,0.99252045
PHF21A,1.0005252,1.0004885,1.0004256,1.0005946,1.0004948,1.0006888,1.00043,1.0013417
KDM6B,0.99540305,0.9965234,0.9971845,0.9953662,0.9957546,0.9957479,0.99790084,0.9951153
DDX3X,0.9948282,0.9960396,0.9969034,0.99489784,0.99507654,0.99515826,0.99763155,0.99486786
CTNNB1,0.9935026,0.9950866,0.99603105,0.99341786,0.99390644,0.99383616,0.9969998,0.99396646
MED13,0.99454415,0.99585474,0.9966445,0.9945731,0.9949707,0.9948392,0.99745405,0.9941342
ANKRD11,0.99304664,0.9947108,0.9953538,0.9924566,0.9931405,0.992844,0.996343,0.99245334
CTCF,0.9938222,0.9952775,0.99594724,0.9933275,0.993888,0.99370694,0.9968192,0.99391186
RFX3,0.9991694,0.9994575,0.9991895,0.9987482,0.9990717,0.99881643,0.99935716,0.9989167
ARHGEF9,1.0012771,1.0010637,1.0008817,1.0013793,1.0012491,1.0012413,1.0006896,1.0006185
SHANK2,0.99612033,0.99706423,0.9973239,0.9957433,0.99606156,0.99590194,0.99788535,0.996249
DEAF1,0.9989021,0.99919695,0.99926233,0.99887204,0.99895626,0.99872947,0.9994252,0.9990964
SMARCC2,0.994017,0.9954572,0.9961091,0.9936423,0.9942239,0.99417096,0.9970187,0.9940032
TLK2,0.9991921,0.99952054,0.9994011,0.9990634,0.9991822,0.99896324,0.9995418,0.9987285
TCF20,0.9975002,0.99807936,0.9983121,0.9972607,0.9975451,0.9975745,0.9986915,0.9970296
CNOT3,1.0013233,1.0010548,1.0012838,1.0019374,1.0015688,1.001653,1.0010743,1.0022868
SYNCRIP,0.9888215,0.99151415,0.99299896,0.98852116,0.9893488,0.9892832,0.99464905,0.9887781
SETD5,0.99966705,0.99976146,0.9995857,0.9993475,0.9994377,0.9993206,0.9996183,0.9992751
NAA15,0.99702716,0.9976995,0.9982681,0.9971374,0.99716246,0.9972681,0.99867886,0.9970707
SCN1A,0.9982349,0.9989009,0.9992421,0.99860084,0.9984398,0.99834615,0.99948376,0.9987569
EHMT1,0.99374187,0.99508977,0.9960365,0.9935811,0.9940547,0.9940989,0.99696714,0.9937787
TCF4,0.99310744,0.99479467,0.99575996,0.9930233,0.9933509,0.99316233,0.99668026,0.9931934
SRPRA,1.0011408,1.0008231,1.0006602,1.0010729,1.0010017,1.0008942,1.0004759,1.0013177
MARK2,1.0034232,1.0027491,1.0016357,1.0028245,1.0028853,1.0025934,1.0011697,1.0018549
KMT2C,0.99056727,0.9927595,0.99390566,0.990065,0.9907945,0.99065423,0.9952427,0.99061644
MBD5,1.0030262,1.0022446,1.0017235,1.0028626,1.0025167,1.0026356,1.0012677,1.0028591
NRXN1,0.9925853,0.9943619,0.99549687,0.9925577,0.9929918,0.9929414,0.9965212,0.992683
IRF2BPL,0.9910514,0.9931722,0.99439096,0.990854,0.9913382,0.99123764,0.9956453,0.99152315
PHIP,0.99345815,0.9950027,0.99590075,0.9933202,0.9937637,0.9936373,0.99681354,0.9933634
NFE2L3,1.0060627,1.0046368,1.0036081,1.0058949,1.0055242,1.0055237,1.0027068,1.0056318
SKI,1.0001168,1.0001241,0.9998194,0.999797,0.99984455,0.9996445,0.99979854,0.9996033
PSMD12,1.001348,1.0009704,1.0011936,1.0019145,1.0015413,1.0016383,1.0009782,1.0017694
KCNB1,1.0049012,1.0038494,1.0031959,1.0052236,1.0048025,1.0048008,1.0024889,1.003976
CSDE1,0.9932265,0.9948196,0.99573004,0.99297047,0.99346983,0.99353904,0.9967233,0.9933835
TSC1,0.9996451,0.9998283,0.9995488,0.99924606,0.9994925,0.99946284,0.9996648,0.9985665
DMWD,0.9940014,0.9953814,0.9963561,0.9941092,0.99434924,0.9942807,0.9972291,0.9938985
CLCN4,0.9924715,0.994225,0.99538505,0.99237835,0.99296284,0.99310607,0.99655867,0.99303716
MEIS2,0.992317,0.9942919,0.9952513,0.992163,0.99285364,0.993039,0.9965054,0.9920833
PBX1,0.9886179,0.991256,0.992739,0.9881402,0.9890039,0.9890261,0.99438727,0.9886621
HNRNPD,0.99818444,0.99861836,0.9989436,0.9982418,0.9982891,0.99833304,0.9991945,0.9979446
BCL11A,0.99233997,0.9941646,0.9950881,0.99192476,0.9925389,0.99238205,0.99613327,0.9915032
TCF7L2,0.99837947,0.99897313,0.9992286,0.99863636,0.9985508,0.9984714,0.9994705,0.99838716
WDFY3,0.99388456,0.99529594,0.9961158,0.9936396,0.99410343,0.99400437,0.9969877,0.9939939
PHF3,1.0004508,1.0003129,1.0002451,1.0003498,1.0003449,1.0004323,1.0001926,1.0011257
SETBP1,0.99923694,0.9994285,0.99931264,0.9988879,0.9990597,0.9989403,0.99941194,0.99861914
TGM1,1.003288,1.0025103,1.0020771,1.0034086,1.0031562,1.0031328,1.0015805,1.0027485
EBF3,0.9776803,0.98289317,0.9861709,0.9773393,0.9789727,0.9788544,0.98937213,0.97692263
PPP2R5D,1.0035634,1.0028543,1.0022739,1.0037074,1.0035189,1.0033702,1.0017778,1.0030681
TAF4,0.9984629,0.99875116,0.99893343,0.9982971,0.9984711,0.99831015,0.99915516,0.9986036
KCNQ2,0.9999449,0.9999376,1.0000644,1.0001045,1.0000179,0.9999,1.00009,1.0012379
CAPRIN1,0.9984342,0.99881893,0.99879694,0.9981133,0.99836266,0.9982095,0.99901485,0.9977023
