,0,1
SCN2A,1.1709309,1.1659517
CHD8,1.1709309,1.1659517
ADNP,1.1709309,1.1659517
SHANK3,1.1709309,1.1659517
PTEN,1.1709309,1.1659517
SYNGAP1,1.1709309,1.1659517
MECP2,1.1709309,1.1659517
KDM5B,1.1709309,1.1659517
FOXP1,1.1709309,1.1659517
ARID1B,1.1709309,1.1659517
POGZ,1.1709309,1.1659517
ASH1L,1.1709309,1.1659517
KMT5B,1.1709309,1.1659517
SLC6A1,1.1709309,1.1659517
GIGYF1,1.1709309,1.1659517
DYRK1A,1.1709309,1.1659517
CHD2,1.1709309,1.1659517
ASXL3,1.1709309,1.1659517
TAOK1,1.1709309,1.1659517
DNMT3A,1.1709309,1.1659517
GRIN2B,1.1709309,1.1659517
BRSK2,1.1709309,1.1659517
KMT2A,1.1709309,1.1659517
NF1,1.1709309,1.1659517
STXBP1,1.1709309,1.1659517
CUL3,1.1709309,1.1659517
MED13L,1.1709309,1.1659517
ANK2,1.1709309,1.1659517
MYT1L,1.1709309,1.1659517
RORB,1.1709309,1.1659517
TBL1XR1,1.1709309,1.1659517
TBR1,1.1709309,1.1659517
DYNC1H1,1.1709309,1.1659517
WAC,1.1709309,1.1659517
PHF21A,1.1709309,1.1659517
KDM6B,1.1709309,1.1659517
DDX3X,1.1709309,1.1659517
CTNNB1,1.1709309,1.1659517
MED13,1.1709309,1.1659517
ANKRD11,1.1709309,1.1659517
CTCF,1.1709309,1.1659517
RFX3,1.1709309,1.1659517
ARHGEF9,1.1709309,1.1659517
SHANK2,1.1709309,1.1659517
DEAF1,1.1709309,1.1659517
SMARCC2,1.1709309,1.1659517
TLK2,1.1709309,1.1659517
TCF20,1.1709309,1.1659517
CNOT3,1.1709309,1.1659517
SYNCRIP,1.1709309,1.1659517
SETD5,1.1709309,1.1659517
NAA15,1.1709309,1.1659517
SCN1A,1.1709309,1.1659517
EHMT1,1.1709309,1.1659517
TCF4,1.1709309,1.1659517
SRPRA,1.1709309,1.1659517
MARK2,1.1709309,1.1659517
KMT2C,1.1709309,1.1659517
MBD5,1.1709309,1.1659517
NRXN1,1.1709309,1.1659517
IRF2BPL,1.1709309,1.1659517
PHIP,1.1709309,1.1659517
NFE2L3,1.1709309,1.1659517
SKI,1.1709309,1.1659517
PSMD12,1.1709309,1.1659517
KCNB1,1.1709309,1.1659517
CSDE1,1.1709309,1.1659517
TSC1,1.1709309,1.1659517
DMWD,1.1709309,1.1659517
CLCN4,1.1709309,1.1659517
MEIS2,1.1709309,1.1659517
PBX1,1.1709309,1.1659517
HNRNPD,1.1709309,1.1659517
BCL11A,1.1709309,1.1659517
TCF7L2,1.1709309,1.1659517
WDFY3,1.1709309,1.1659517
PHF3,1.1709309,1.1659517
SETBP1,1.1709309,1.1659517
TGM1,1.1709309,1.1659517
EBF3,1.1709309,1.1659517
PPP2R5D,1.1709309,1.1659517
TAF4,1.1709309,1.1659517
KCNQ2,1.1709309,1.1659517
CAPRIN1,1.1709309,1.1659517
DSCAM,1.1709309,1.1659517
GABBR2,1.1709309,1.1659517
PRKG2,1.1709309,1.1659517
UBN2,1.1709309,1.1659517
MEF2C,1.1709309,1.1659517
TRIP12,1.1709309,1.1659517
EP300,1.1709309,1.1659517
NR3C2,1.1709309,1.1659517
ARHGEF18,1.1709309,1.1659517
TNPO3,1.1709309,1.1659517
SMAD6,1.1709309,1.1659517
AMOT,1.1709309,1.1659517
AUTS2,1.1709309,1.1659517
NCKAP1,1.1709309,1.1659517
DLG4,1.1709309,1.1659517
ECPAS,1.1709309,1.1659517
PRKAR1B,1.1709309,1.1659517
FUBP3,1.1709309,1.1659517
GRIA2,1.1709309,1.1659517
CCDC40,1.1709309,1.1659517
GABRA1,1.1709309,1.1659517
TSC2,1.1709309,1.1659517
C1orf185,1.1709309,1.1659517
METTL23,1.1709309,1.1659517
HNRNPUL2,1.1709309,1.1659517
PAX5,1.1709309,1.1659517
ATF4,1.1709309,1.1659517
RERE,1.1709309,1.1659517
DHFR2,1.1709309,1.1659517
TMC4,1.1709309,1.1659517
FXYD5,1.1709309,1.1659517
EBAG9,1.1709309,1.1659517
ITGB5,1.1709309,1.1659517
INTS2,1.1709309,1.1659517
RAI1,1.1709309,1.1659517
FOXG1,1.1709309,1.1659517
PLEKHG6,1.1709309,1.1659517
MAVS,1.1709309,1.1659517
C1QC,1.1709309,1.1659517
TMEM116,1.1709309,1.1659517
SIN3A,1.1709309,1.1659517
ANP32A,1.1709309,1.1659517
PRR14L,1.1709309,1.1659517
CSNK2B,1.1709309,1.1659517
PMM2,1.1709309,1.1659517
PFN2,1.1709309,1.1659517
LMTK3,1.1709309,1.1659517
SPRY2,1.1709309,1.1659517
CMPK2,1.1709309,1.1659517
IQSEC2,1.1709309,1.1659517
RIPK1,1.1709309,1.1659517
TPK1,1.1709309,1.1659517
CASZ1,1.1709309,1.1659517
ZBTB45,1.1709309,1.1659517
NUDT17,1.1709309,1.1659517
FANCE,1.1709309,1.1659517
ZNF396,1.1709309,1.1659517
NR4A2,1.1709309,1.1659517
TBCEL,1.1709309,1.1659517
ADAM21,1.1709309,1.1659517
TCF3,1.1709309,1.1659517
AAAS,1.1709309,1.1659517
CELF6,1.1709309,1.1659517
INSC,1.1709309,1.1659517
ZMYND8,1.1709309,1.1659517
CLTC,1.1709309,1.1659517
TCHHL1,1.1709309,1.1659517
CTDSPL2,1.1709309,1.1659517
ZNF292,1.1709309,1.1659517
KCNQ3,1.1709309,1.1659517
RALGAPB,1.1709309,1.1659517
SRCAP,1.1709309,1.1659517
RAB11FIP4,1.1709309,1.1659517
ZNF865,1.1709309,1.1659517
CASKIN1,1.1709309,1.1659517
RANBP17,1.1709309,1.1659517
FBN1,1.1709309,1.1659517
ACTB,1.1709309,1.1659517
CNNM2,1.1709309,1.1659517
TSHZ1,1.1709309,1.1659517
UPF3B,1.1709309,1.1659517
PHF2,1.1709309,1.1659517
FMR1,1.1709309,1.1659517
MIB1,1.1709309,1.1659517
FADS1,1.1709309,1.1659517
FRMD7,1.1709309,1.1659517
LDB1,1.1709309,1.1659517
PCDH19,1.1709309,1.1659517
EIF3G,1.1709309,1.1659517
MYO1E,1.1709309,1.1659517
ZFAND5,1.1709309,1.1659517
CFAP410,1.1709309,1.1659517
BICRA,1.1709309,1.1659517
MYBL2,1.1709309,1.1659517
KIAA1958,1.1709309,1.1659517
GABRG2,1.1709309,1.1659517
SKIDA1,1.1709309,1.1659517
PSMA3,1.1709309,1.1659517
TTC37,1.1709309,1.1659517
PCYT1A,1.1709309,1.1659517
AP1G1,1.1709309,1.1659517
