"","PC0","PC1","PC2","training.label","louvain.clust","k.means.clust","log_pi","posterior.label"
"MBD5",0.554279647682263,-0.0457151316625401,0.0887010223554403,NA,"0","1",-3.607098,"both"
"NRXN1",-3.65015215366749,-0.709548453776005,1.55767446487488,"ASD-Risk","0","2",-3.06976,NA
"IRF2BPL",-1.27696392455856,0.732792731018985,0.782291379742849,"ASD-Risk","0","2",-2.7313864,NA
"PHIP",-4.59648149315769,0.968907624779123,0.3815289163876,"ASD-Risk","0","2",-3.0939193,NA
"NFE2L3",1.17250510130929,0.12066550096984,0.05956301072729,NA,"0","1",-3.562898,"both"
"SKI",-0.0165984169665863,0.0808997670612349,0.238472576305255,NA,"0","1",-3.0326715,"both"
"PSMD12",-0.0693871809140406,-0.18210021993511,-0.275753430913295,NA,"0","3",-3.518813,"both"
"KCNB1",0.981878134288883,0.169844744452517,0.25427926099777,NA,"0","1",-3.363435,"both"
"CSDE1",-6.01213136182076,1.42538286649963,0.234636605904469,NA,"0","1",-3.2837534,"both"
"TSC1",-1.04441078826129,-0.573635329242363,0.526471390278218,NA,"0","2",-3.1917136,"both"
"DMWD",-0.376537811695703,-0.245874982094003,0.110339796402976,NA,"0","1",-3.2530615,"both"
"CLCN4",-0.470419959354849,-0.534744204031235,0.592486680573992,NA,"0","2",-3.0378947,"both"
"MEIS2",-2.04626521941505,-1.66051599664352,0.23977683226845,NA,"0","1",-3.3377945,"both"
"PBX1",-4.8007507612393,1.49138077052017,1.11698320945224,NA,"0","2",-3.184093,"both"
"HNRNPD",-4.49577897939732,0.436445463157982,-0.311332672035485,NA,"0","3",-3.222713,"both"
"BCL11A",-3.32509056290078,-1.22779106308559,0.689372765698567,"ASD-Risk","0","2",-3.0349236,NA
"TCF7L2",-0.552192126158851,0.0995238731359475,-0.203008236570684,NA,"0","1",-3.4070027,"both"
"WDFY3",-1.57007129911584,0.56610412572916,0.427691904748147,"ASD-Risk","0","2",-2.9851441,NA
"PHF3",-1.90125250893359,0.270387108128626,0.276221284292094,"ASD-Risk","0","1",-3.185306,NA
"SETBP1",-2.48783925229407,0.0433049310258468,0.283500968007855,NA,"0","2",-3.235237,"both"
"TGM1",1.29526367918322,0.196329651855099,0.0146416524235473,NA,"0","1",-3.3695807,"both"
"EBF3",-0.0724089623771586,1.39201356122533,1.1818251771736,"ASD-Risk","0","2",-2.4333172,NA
"PPP2R5D",-0.40555064369715,-0.0664464698175651,0.105051211821145,"ASD-Risk","0","1",-3.265572,NA
"TAF4",0.423433875170233,0.0566493431583579,0.146308676636158,NA,"0","1",-3.3406413,"both"
"KCNQ2",-1.18864850695192,0.03153827183886,-0.434829866851109,NA,"0","3",-3.1991773,"both"
"CAPRIN1",-4.1537643489823,0.187721659099022,0.116894487390024,NA,"0","1",-3.3620076,"both"
"DSCAM",0.412506407258859,0.0336496543492828,0.502378246323122,"ASD-Risk","0","2",-2.9552343,NA
"GABBR2",-0.357200499688965,0.126529599961481,0.762533066390641,NA,"0","2",-3.0285726,"both"
"PRKG2",0.963557195454135,-0.245529359045658,0.0550068133618182,NA,"0","1",-3.5489001,"both"
"UBN2",-1.3855964789283,0.180013455286223,0.589358313789851,"ASD-Risk","0","2",-3.0435388,NA
"MEF2C",-1.80481856501842,-1.71742830557765,0.0992668484453832,NA,"0","1",-3.1635582,"both"
"TRIP12",-1.50172969987378,0.225871410768445,0.314154906413599,"ASD-Risk","0","2",-2.9910092,NA
"EP300",-2.02761788332665,0.661161753033727,0.239725191185294,NA,"0","1",-3.2581062,"both"
"NR3C2",1.20135155386874,0.157461864629259,0.0437325916257116,NA,"0","1",-3.661557,"both"
"ARHGEF18",0.364369075964557,0.0237872668985759,0.036981291623724,NA,"0","1",-3.3208907,"both"
"TNPO3",-0.978672902261174,0.0992620620729,-0.0300444733759141,NA,"0","1",-3.3146737,"both"
"SMAD6",1.25325060701212,0.233481645427239,-0.0882110351237586,NA,"0","1",-3.392561,"both"
"AMOT",0.155115025148087,0.169525633081347,-2.8617570745397e-05,NA,"0","1",-3.4162786,"both"
"AUTS2",-4.01665971526405,0.458485513119416,0.726539138253149,"ASD-Risk","0","2",-3.0227413,NA
"NCKAP1",-2.69835903709408,0.650408296276865,0.130121093961679,"ASD-Risk","0","1",-3.163659,NA
"DLG4",-1.16198105817384,1.46638721878132,0.588526357941334,NA,"0","2",-2.830365,"FDR_0.05_VBASS_only"
"ECPAS",-0.577837394403788,-0.0434402336471607,0.325286940518893,NA,"0","2",-3.2863555,"both"
"PRKAR1B",-0.821709978513311,-1.15263259965769,0.466005633226853,NA,"0","2",-3.2213964,"FDR_0.05_extTADA_only"
"FUBP3",-0.712477777969984,-0.0611682793948746,0.00357770003227025,NA,"0","1",-3.5679526,"FDR_0.05_extTADA_only"
"GRIA2",-3.399609089947,-0.793863028602214,1.64849309137584,NA,"0","2",-3.0486028,"both"
"CCDC40",0.600860130588416,0.455371385887997,-0.047241958095018,NA,"0","1",-3.4674168,"FDR_0.05_extTADA_only"
"GABRA1",0.96510512757758,0.319359613275916,0.370774808406993,NA,"0","2",-2.8491874,"both"
"TSC2",-1.1230395762325,-0.673427686047885,0.160436317429329,NA,"0","1",-3.363482,"both"
"C1orf185",1.38222327957382,0.156730027389058,-0.0174405042622946,NA,"1","1",-3.4103475,"both"
"METTL23",-0.247621626594593,-0.796503502716772,-0.295481765676128,NA,"0","3",-3.5154047,"FDR_0.05_VBASS_only"
"HNRNPUL2",-1.44802483139466,0.764150434173471,-0.0272081990096941,"ASD-Risk","0","1",-2.930617,NA
"PAX5",0.555651821600609,0.949476168147156,0.552192325939963,NA,"0","2",-2.270195,"FDR_0.05_VBASS_only"
"ATF4",-5.10602676767873,0.889120258274984,-0.307023730014838,NA,"0","3",-3.1761017,"FDR_0.05_VBASS_only"
"RERE",-4.34816141717184,0.5438664591079,0.0862256793673639,NA,"0","1",-3.1568167,"both"
"DHFR2",0.617624842852126,0.0643823252173009,-0.105145654996334,NA,"0","1",-3.3134418,"FDR_0.05_VBASS_only"
"TMC4",1.29585624484648,0.173594697503535,-0.0413545507028,NA,"0","1",-3.3080182,"both"
"FXYD5",0.872126544055997,-0.247437591085505,-0.105316885627362,NA,"0","1",-3.4915214,"both"
"EBAG9",-0.171629290380213,-0.196542006300933,-0.04700427879485,NA,"0","1",-3.4061818,"both"
"ITGB5",0.265046631070434,0.248227283413886,-0.238564940101429,NA,"0","3",-3.5140529,"FDR_0.1_extTADA_only"
