"","mean.pi","real.pi","group","fake_group"
"1",0.0947438447530148,0.449812973710488,"TN","ALL"
"2",0.0595627244595548,0.289581078337402,"TP","ALL"
"3",0.0617506991779909,0.282811310247714,"TN","ALL"
"4",0.0389408895232451,0.049166414275436,"TN","ALL"
"5",0.0870010445268475,0.478954034888383,"TP.train","ALL"
"6",0.0297956898462139,0.00218342603272139,"TN","ALL"
"7",0.0389710175881533,0.0728289754727852,"TN","ALL"
"8",0.0725542572965228,0.361651165635417,"TN","ALL"
"9",0.0613986784942813,0.284385553108485,"TN","ALL"
"10",0.061778523208465,0.199036087727813,"TN","ALL"
"11",0.0609758598133244,0.223880831425937,"TN","ALL"
"12",0.0628465344592033,0.245128454873121,"TP","ALL"
"13",0.0693134128176237,0.00350135298559515,"TN","ALL"
"14",0.0631462973162799,0.128531845255529,"TN","ALL"
"15",0.0495919342649229,0.119581522617769,"TN","ALL"
"16",0.0455589214713043,0.0417508963222892,"TN","ALL"
"17",0.0614499619246973,0.259719688893122,"TP","ALL"
"18",0.0735614584724452,0.353312440737622,"TP","ALL"
"19",0.0661024469521235,0.377669385823816,"TP","ALL"
"20",0.0465623640296218,0.138854204848604,"TN","ALL"
"21",0.0328011124245019,0.00857422567069418,"TN","ALL"
"22",0.0440360996898531,0.0895847853896174,"TN","ALL"
"23",0.0827770518467718,0.499282095019854,"TN","ALL"
"24",0.0469631175615342,0.0917098433101681,"TN","ALL"
"25",0.0559687270568085,0.206455261071054,"TN","ALL"
"26",0.0515212502470771,0.148584938459971,"TN","ALL"
"27",0.0558270881312829,0.169337890326913,"TP","ALL"
"28",0.088276331132436,0.484434173649028,"TN","ALL"
"29",0.0762984058105832,0.392610517947816,"TN","ALL"
"30",0.0285367713213453,0.00806178357241384,"TN","ALL"
"31",0.0545374382712225,0.199318312864221,"TN","ALL"
"32",0.0286123224055002,0.00208004548431524,"TN","ALL"
"33",0.0736751217449305,0.467549380569037,"TN","ALL"
"34",0.0624847180020839,0.342388518303029,"TP","ALL"
"35",0.045551005080046,0.0621159073111502,"TN","ALL"
"36",0.0460620500702518,0.134997664335645,"TN","ALL"
"37",0.0535283249891472,0.178335060671152,"TN","ALL"
"38",0.0568063001469853,0.25046145119478,"TN","ALL"
"39",0.0651231554329222,0.392959083466857,"TN","ALL"
"40",0.068508987678862,0.402468688287962,"TN","ALL"
"41",0.0655804803289615,0.383039286103298,"TN","ALL"
"42",0.0499933108515884,0.194766575379398,"TN","ALL"
"43",0.0381137062663659,0.063007707811348,"TN","ALL"
"44",0.0633738481220956,0.358276187052352,"TN","ALL"
"45",0.0364911564262037,0.0279185690274812,"TN","ALL"
"46",0.0671884863211557,0.328490736204284,"TP","ALL"
"47",0.0428273137087354,0.0863827508621018,"TN","ALL"
"48",0.0523270203407755,0.15567940401351,"TN","ALL"
