,0,1
SCN2A,1.2100502,1.2024564
CHD8,1.2100502,1.2024564
ADNP,1.2100502,1.2024564
SHANK3,1.2100502,1.2024564
PTEN,1.2100502,1.2024564
SYNGAP1,1.2100502,1.2024564
MECP2,1.2100502,1.2024564
KDM5B,1.2100502,1.2024564
FOXP1,1.2100502,1.2024564
ARID1B,1.2100502,1.2024564
POGZ,1.2100502,1.2024564
ASH1L,1.2100502,1.2024564
KMT5B,1.2100502,1.2024564
SLC6A1,1.2100502,1.2024564
GIGYF1,1.2100502,1.2024564
DYRK1A,1.2100502,1.2024564
CHD2,1.2100502,1.2024564
ASXL3,1.2100502,1.2024564
TAOK1,1.2100502,1.2024564
DNMT3A,1.2100502,1.2024564
GRIN2B,1.2100502,1.2024564
BRSK2,1.2100502,1.2024564
KMT2A,1.2100502,1.2024564
NF1,1.2100502,1.2024564
STXBP1,1.2100502,1.2024564
CUL3,1.2100502,1.2024564
MED13L,1.2100502,1.2024564
ANK2,1.2100502,1.2024564
MYT1L,1.2100502,1.2024564
RORB,1.2100502,1.2024564
TBL1XR1,1.2100502,1.2024564
TBR1,1.2100502,1.2024564
DYNC1H1,1.2100502,1.2024564
WAC,1.2100502,1.2024564
PHF21A,1.2100502,1.2024564
KDM6B,1.2100502,1.2024564
DDX3X,1.2100502,1.2024564
CTNNB1,1.2100502,1.2024564
MED13,1.2100502,1.2024564
ANKRD11,1.2100502,1.2024564
CTCF,1.2100502,1.2024564
RFX3,1.2100502,1.2024564
ARHGEF9,1.2100502,1.2024564
SHANK2,1.2100502,1.2024564
DEAF1,1.2100502,1.2024564
SMARCC2,1.2100502,1.2024564
TLK2,1.2100502,1.2024564
TCF20,1.2100502,1.2024564
CNOT3,1.2100502,1.2024564
SYNCRIP,1.2100502,1.2024564
SETD5,1.2100502,1.2024564
NAA15,1.2100502,1.2024564
SCN1A,1.2100502,1.2024564
EHMT1,1.2100502,1.2024564
TCF4,1.2100502,1.2024564
SRPRA,1.2100502,1.2024564
MARK2,1.2100502,1.2024564
KMT2C,1.2100502,1.2024564
MBD5,1.2100502,1.2024564
NRXN1,1.2100502,1.2024564
IRF2BPL,1.2100502,1.2024564
PHIP,1.2100502,1.2024564
NFE2L3,1.2100502,1.2024564
SKI,1.2100502,1.2024564
PSMD12,1.2100502,1.2024564
KCNB1,1.2100502,1.2024564
CSDE1,1.2100502,1.2024564
TSC1,1.2100502,1.2024564
DMWD,1.2100502,1.2024564
CLCN4,1.2100502,1.2024564
MEIS2,1.2100502,1.2024564
PBX1,1.2100502,1.2024564
HNRNPD,1.2100502,1.2024564
BCL11A,1.2100502,1.2024564
TCF7L2,1.2100502,1.2024564
WDFY3,1.2100502,1.2024564
PHF3,1.2100502,1.2024564
SETBP1,1.2100502,1.2024564
TGM1,1.2100502,1.2024564
EBF3,1.2100502,1.2024564
PPP2R5D,1.2100502,1.2024564
TAF4,1.2100502,1.2024564
KCNQ2,1.2100502,1.2024564
CAPRIN1,1.2100502,1.2024564
DSCAM,1.2100502,1.2024564
GABBR2,1.2100502,1.2024564
PRKG2,1.2100502,1.2024564
UBN2,1.2100502,1.2024564
MEF2C,1.2100502,1.2024564
TRIP12,1.2100502,1.2024564
EP300,1.2100502,1.2024564
NR3C2,1.2100502,1.2024564
ARHGEF18,1.2100502,1.2024564
TNPO3,1.2100502,1.2024564
SMAD6,1.2100502,1.2024564
AMOT,1.2100502,1.2024564
AUTS2,1.2100502,1.2024564
NCKAP1,1.2100502,1.2024564
DLG4,1.2100502,1.2024564
ECPAS,1.2100502,1.2024564
PRKAR1B,1.2100502,1.2024564
FUBP3,1.2100502,1.2024564
