,0,1
SCN2A,0.9940051,1.0492659
CHD8,0.9940051,1.0492659
ADNP,0.9940051,1.0492659
SHANK3,0.9940051,1.0492659
PTEN,0.9940051,1.0492659
SYNGAP1,0.9940051,1.0492659
MECP2,0.9940051,1.0492659
KDM5B,0.9940051,1.0492659
FOXP1,0.9940051,1.0492659
ARID1B,0.9940051,1.0492659
POGZ,0.9940051,1.0492659
ASH1L,0.9940051,1.0492659
KMT5B,0.9940051,1.0492659
SLC6A1,0.9940051,1.0492659
GIGYF1,0.9940051,1.0492659
DYRK1A,0.9940051,1.0492659
CHD2,0.9940051,1.0492659
ASXL3,0.9940051,1.0492659
TAOK1,0.9940051,1.0492659
DNMT3A,0.9940051,1.0492659
GRIN2B,0.9940051,1.0492659
BRSK2,0.9940051,1.0492659
KMT2A,0.9940051,1.0492659
NF1,0.9940051,1.0492659
STXBP1,0.9940051,1.0492659
CUL3,0.9940051,1.0492659
MED13L,0.9940051,1.0492659
ANK2,0.9940051,1.0492659
MYT1L,0.9940051,1.0492659
RORB,0.9940051,1.0492659
TBL1XR1,0.9940051,1.0492659
TBR1,0.9940051,1.0492659
DYNC1H1,0.9940051,1.0492659
WAC,0.9940051,1.0492659
PHF21A,0.9940051,1.0492659
KDM6B,0.9940051,1.0492659
DDX3X,0.9940051,1.0492659
CTNNB1,0.9940051,1.0492659
MED13,0.9940051,1.0492659
ANKRD11,0.9940051,1.0492659
CTCF,0.9940051,1.0492659
RFX3,0.9940051,1.0492659
ARHGEF9,0.9940051,1.0492659
SHANK2,0.9940051,1.0492659
DEAF1,0.9940051,1.0492659
SMARCC2,0.9940051,1.0492659
TLK2,0.9940051,1.0492659
TCF20,0.9940051,1.0492659
CNOT3,0.9940051,1.0492659
SYNCRIP,0.9940051,1.0492659
SETD5,0.9940051,1.0492659
NAA15,0.9940051,1.0492659
SCN1A,0.9940051,1.0492659
EHMT1,0.9940051,1.0492659
TCF4,0.9940051,1.0492659
SRPRA,0.9940051,1.0492659
MARK2,0.9940051,1.0492659
KMT2C,0.9940051,1.0492659
MBD5,0.9940051,1.0492659
NRXN1,0.9940051,1.0492659
IRF2BPL,0.9940051,1.0492659
PHIP,0.9940051,1.0492659
NFE2L3,0.9940051,1.0492659
SKI,0.9940051,1.0492659
PSMD12,0.9940051,1.0492659
KCNB1,0.9940051,1.0492659
CSDE1,0.9940051,1.0492659
TSC1,0.9940051,1.0492659
DMWD,0.9940051,1.0492659
CLCN4,0.9940051,1.0492659
MEIS2,0.9940051,1.0492659
PBX1,0.9940051,1.0492659
HNRNPD,0.9940051,1.0492659
BCL11A,0.9940051,1.0492659
TCF7L2,0.9940051,1.0492659
WDFY3,0.9940051,1.0492659
PHF3,0.9940051,1.0492659
SETBP1,0.9940051,1.0492659
TGM1,0.9940051,1.0492659
EBF3,0.9940051,1.0492659
PPP2R5D,0.9940051,1.0492659
TAF4,0.9940051,1.0492659
KCNQ2,0.9940051,1.0492659
CAPRIN1,0.9940051,1.0492659
DSCAM,0.9940051,1.0492659
GABBR2,0.9940051,1.0492659
PRKG2,0.9940051,1.0492659
UBN2,0.9940051,1.0492659
MEF2C,0.9940051,1.0492659
TRIP12,0.9940051,1.0492659
EP300,0.9940051,1.0492659
NR3C2,0.9940051,1.0492659
ARHGEF18,0.9940051,1.0492659
TNPO3,0.9940051,1.0492659
SMAD6,0.9940051,1.0492659
AMOT,0.9940051,1.0492659
AUTS2,0.9940051,1.0492659
NCKAP1,0.9940051,1.0492659
DLG4,0.9940051,1.0492659
ECPAS,0.9940051,1.0492659
PRKAR1B,0.9940051,1.0492659
FUBP3,0.9940051,1.0492659
GRIA2,0.9940051,1.0492659
CCDC40,0.9940051,1.0492659
GABRA1,0.9940051,1.0492659
TSC2,0.9940051,1.0492659
C1orf185,0.9940051,1.0492659
METTL23,0.9940051,1.0492659
HNRNPUL2,0.9940051,1.0492659
PAX5,0.9940051,1.0492659
ATF4,0.9940051,1.0492659
RERE,0.9940051,1.0492659
DHFR2,0.9940051,1.0492659
TMC4,0.9940051,1.0492659
FXYD5,0.9940051,1.0492659
EBAG9,0.9940051,1.0492659
ITGB5,0.9940051,1.0492659
INTS2,0.9940051,1.0492659
RAI1,0.9940051,1.0492659
FOXG1,0.9940051,1.0492659
PLEKHG6,0.9940051,1.0492659
MAVS,0.9940051,1.0492659
C1QC,0.9940051,1.0492659
TMEM116,0.9940051,1.0492659
SIN3A,0.9940051,1.0492659
ANP32A,0.9940051,1.0492659
PRR14L,0.9940051,1.0492659
CSNK2B,0.9940051,1.0492659
PMM2,0.9940051,1.0492659
PFN2,0.9940051,1.0492659
LMTK3,0.9940051,1.0492659
SPRY2,0.9940051,1.0492659
CMPK2,0.9940051,1.0492659
IQSEC2,0.9940051,1.0492659
RIPK1,0.9940051,1.0492659
