"","real.log.BF"
"RBBP5",-7.09760736408687
"G3BP1",-5.05643130336439
"WNT7B",-9.09074833585138
"BDP1",-5.03042674547579
"RNF217",-8.03316276039022
"CBX4",-2.20636437105842
"NME8",-7.6407603716647
"DCUN1D3",-6.96104590657436
"ENC1",4.88215633073737
"UBB",2.42348586407897
"NEO1",-5.85367113512477
"SLC4A10",7.36760174436446
"BRF2",-6.07694138779901
"PSMD11",-6.12601098485823
"NR2F1",-3.23120964941855
"CASK",19.3283436822062
"SARM1",-2.25635108705965
"TPST2",-6.59194695525508
"FPGS",-4.4027538992105
"QRICH1",-7.4160961031073
"LRP10",-8.58835029446146
"CD101",-7.57415217812429
"INTS7",-7.0519816067258
"SMAD4",-2.74359304765445
"STARD10",-6.44904064952423
"CNTNAP3",-7.92978835042376
"DHX37",-7.17674958550647
"GABRB3",-1.42380608057728
"NDNF",-6.91319692663073
"FARP2",-9.89446167620835
"SLF1",-7.88658525061488
"HDAC4",-6.14786215191618
"CNGB3",-8.57458756011161
"PCDHGA8",-7.17471299839704
"TSPAN4",-6.74194572515362
"FUK",-8.09805753906706
"SULT1A1",-6.89208153658802
"NTS",-6.11155680826156
"MAN1A1",-8.3613071279659
"FAM57B",-2.49066601676084
"RFX8",-6.81910994444163
"NACC1",-5.49119439076652
"ZSWIM4",-5.7150897054554
"PPCS",-7.5591092900435
"SUSD4",-6.05214243793149
"TMEM165",-5.78774788800625
"RIMBP2",-2.19145444115501
"PSMD6",-7.27761069695928
"ITPKA",-6.93569593129797
"MSL2",-3.07904535853996
"RNF146",0.68915929534187
"NSD2",-11.1092736144873
"SOX11",-2.12620829053686
"SLC34A1",-7.89368798501607
"ADPGK",-7.65038378754695
"TCERG1",-5.91016352983532
"ZBTB18",-6.90024040601857
"TAF6",-8.64366291621524
"BCL11B",-3.70635199896674
"PPM1M",-7.6588290685232
"PUF60",-7.96333370555895
"CUX2",-3.01470198062097
"GPC5",-5.78837320238806
"SERPINI1",-4.52702815950151
"SATB2",-8.26668572879725
"CRISPLD1",-6.15044443106389
"ZMYM2",15.2659929348652
"DBF4",-6.21881598319393
"ZMYND11",-1.9422729521143
"TNFAIP8L3",-6.40293573386921
"PCDHGA12",-7.01333252245222
"ARHGEF2",-6.66049105815102
"CFAP70",-8.79059301761366
"HPS6",-8.0201946690783
"JARID2",-4.70857264545962
"SNCA",-3.5809611010501
"KDM6A",-8.27103930043407
"ASB14",-7.30258937301196
"CALU",-2.46853664709427
"HNRNPL",0.0689230632698531
"KLHL25",-0.675703341122164
"AHDC1",-1.14027476756373
"CTR9",-6.45198476585852
"B9D1",-7.25554987141913
"SPAST",8.43165556199302
"EIF4G2",-3.31205844803875
"LRRFIP1",-5.73910874510783
"TUBB2A",-0.660375689467035
"GGNBP2",-5.2549746003202
"ARHGAP44",-5.21780144114942
"CARD14",-8.54558449483493
"CIC",-7.3088133571907
"DIP2C",-7.70022518064119
"RIPOR3",-8.34992010313439
"CCNT2",-3.41065362885284
"ZC3H14",-6.74302827589201
"PER2",-7.72554158734597
"DCAF7",-2.74558582429808
"MAP2K7",-6.64272349790335
"AMOTL1",-3.35747285207992
"HBD",-6.34841796179835
"PSMC5",-4.96655399679819
"FOXP2",-3.52336781904713
"DACT1",-4.50161432712459
"PAPOLG",-4.466756617656
"FBXW5",-7.37744845516416
"POTEH",-5.65604488321152
"CTB-186H2.3",-5.67125973146693
"FLJ00273",-5.67336913272896
"CD93",-6.8167044034591
"MFHAS1",-5.90655179653626
"BTRC",-5.18980106154408
"FBH1",-9.06010057468134
"ANO9",-8.53389212619585
"SETD1A",-9.24760767947894
"WNT9B",-7.42528597259126
"LRRC4",-5.68649574463146
"NPIPB5",-6.50222937978149
"ZNF462",-3.59380050740018
"ZMAT5",-6.81045925378874
"TLE3",-3.71055619546499
"CYP17A1",-5.68454970888927
"EFR3A",-5.83232793225886
"ULK1",3.57737831745183
"S100G",-5.74207023980694
"TRERF1",-5.30241433584749
"IFRD2",-7.72061346010911
"EIF2A",-6.24340206162127
"MOB4",2.96885111901734
"ANKS4B",-7.18060594440172
"FAM72A",-3.24481062539023
"PARN",-3.94096848938404
"GSTM1",-5.91549172684636
"DNTT",-7.48472856907728
"SNTA1",-4.42063646713525
"KRTAP2-2",-5.77765236068139
"HECTD4",-3.6899660398063
"DEFB128",-5.79140962164448
"TGM6",-8.75792314168363
"NBPF12",-5.94871062744513
"KLHDC10",-2.11289432308736
"HTN1",-5.79671510544983
"SLC28A1",-6.9470690873994
"KATNAL2",-8.62710697536312
"ING1",-6.60331894634286
"MGRN1",-7.52056410516413
"SLC25A46",-7.34871350267393
"CHN2",-4.79394749595251
"C19orf33",-5.81851872344144
"WWC2",-3.72821690907003
"TOP3B",-8.99563309130577
"PRR12",-3.76415283859541
"TTC12",-7.47677186473002
"KCNT1",-9.72865997841051
"MCPH1",-7.32701011116763
"GSS",-9.7820763796488
"MOGS",-7.97277460914595
"PRAMEF10",-5.84359188035162
"HMGN2",2.13343382918733
"KRTAP5-2",-5.72634451930686
"EIF2AK1",-6.12644233508876
"PPP1R17",-8.0210439348556
"ERI1",-4.23930449520047
"NRG4",-5.81997933734003
"EMSY",-8.54968039638181
"TCEAL1",-4.88608628796601
"MBNL1",-6.10674612293046
"KIAA0232",4.42902024375246
"DUS1L",-4.12619996409359
"TMEM140",-5.79747531098176
"GRIN1",-7.56010554734042
"SLC16A1",-6.5848643982024
"IFNA5",-5.89376641666233
"HIST1H1A",-6.5641024473456
"TCF24",-5.90133249928191
"RYBP",-1.1655164849016
"HIST1H2BK",-4.3734014470353
"RPS6KA3",-7.17157563758546
"HIST1H1E",-6.86741766769434
"MYH2",-6.30809119024026
"TOMM7",-2.55692225763128
"TMEM14C",-5.20015322470147
"RIPPLY1",-5.94586652134191
"SMIM15",-3.4703069001726
"TPBGL",-5.95047644617973
"BDKRB2",-6.69136157899521
"NRSN2",-6.05792410223112
"IFITM1",-5.02193693199766
"ARF1",-1.67569451779793
"MSH2",-9.43653271682937
"SCNN1D",-6.52346734417866
"RAC3",-7.60052125421047
"RPS12",1.25968437576471
"SMIM22",-5.97978766736879
"NBPF20",1.8852990274684
"ZNF71",-4.82171718327859
"EFCAB9",-6.01616295399346
"C2orf72",-4.20734510035092
"PTMS",-1.81073999224863
"ZNF580",-5.22701527012
"ARF3",-7.57603616376742
"MLANA",-6.3244580843135
"LLPH",-6.44372446713558
"LSM10",-3.87500171252959
"GSTA2",-6.03013646991615
"C3orf56",-6.02591289218902
"BST2",-8.65996435135465
"WASHC3",-6.06922771393994
"GATC",-3.657326606989
"TGFBR3L",-6.55213635807741
"VIP",-5.73657382086222
"UBA6",-0.612137298545453
"NUDCD2",-7.33805529121141
"FCER1G",-9.62090211756397
"YWHAZ",-1.40291726956646
"MKX",-6.90038844762543
"BPIFA1",-6.06668530731226
"IL3",-6.06843352205183
"VPREB3",-6.37077661962583
"ABCC5",-9.37235714049587
"MDFI",-5.84104941605231
"CA3",-5.11529305304813
"CD59",-4.86086671659377
"C4orf19",-6.95298819556794
"CARHSP1",-7.16398133343115
"CDH13",-3.62286894942081
"CORO2B",-5.39296109774685
"NDUFB6",-3.94090069942936
"UMODL1",-6.09454667691667
"MRPS28",-7.12612493188485
"HHAT",-8.12700268379706
"SPP2",-6.11207888636613
"ASB17",-6.12379920044362
"PLA2G16",-7.44095868085937
"SLC6A13",-8.49972022946998
"PCDHA8",-6.55826885110892
"TMEM179",-4.57484018183654
"ZNF781",-2.05174567386878
"C11orf24",-6.96706795500604
"GALNT18",-6.69945434632708
"GADD45G",-4.70716728082299
"TLR3",-7.94072208883455
"IL27",-6.15242654137537
"ISL2",-6.30444886549303
"ARHGAP18",-7.28617430089998
"NCKAP1L",-10.9918177751821
"GLYAT",-6.16488555809178
"CST2",-6.16204053228611
"GHRL",-6.16271794157052
"ZDHHC2",-7.78108455482465
"PTPRE",-9.67469600700562
"SNAPC4",-6.6425059249512
"KRTAP10-6",-3.38942133844661
"PRR32",-6.166604035526
"TMEM39B",-6.11646969934239
"LYPD4",-6.18653082056885
"TMEM249",-5.09241297918759
"FPR3",-6.18960605332009
"DCDC2B",-7.19150661922324
"EBF1",-0.569200238852749
"MADCAM1",-6.1712257955615
"AMPD1",-9.20894840594814
"DOT1L",-5.8434018638469
"RNF151",-6.23128435621599
"PRDX6",-4.11988940477843
