"","real.log.BF"
"SCN2A",-8.55764363989668
"CHD8",31.1332543207404
"ADNP",-3.7736565748604
"SHANK3",-6.13232634457418
"PTEN",6.29326863252497
"SYNGAP1",-10.3948738447109
"MECP2",-5.10856172041742
"KDM5B",-0.674469863076455
"FOXP1",-1.36152002287537
"ARID1B",-6.44130416476245
"POGZ",-4.80523002622811
"ASH1L",12.8821471012584
"KMT5B",-8.261481476705
"SLC6A1",-4.94789161725251
"GIGYF1",-4.39408953880105
"DYRK1A",-0.416495370841346
"CHD2",3.58720007348468
"ASXL3",6.4886180383329
"TAOK1",8.33070540403344
"DNMT3A",-6.582747446732
"GRIN2B",-9.01141442006575
"BRSK2",-4.89423901590614
"KMT2A",-8.29014644022465
"NF1",-6.395819629011
"STXBP1",-3.34398744042525
"CUL3",-5.04729884884952
"MED13L",18.7997978445629
"ANK2",-6.04835329440267
"MYT1L",-2.30756448114302
"RORB",-5.61170769242629
"TBL1XR1",-3.51065297649523
"TBR1",-8.12492537573585
"DYNC1H1",-10.8519277909595
"WAC",0.226890112187517
"PHF21A",-4.7299304400818
"KDM6B",-4.09896745478216
"DDX3X",-3.81159665103174
"CTNNB1",-4.07161668951337
"MED13",-7.16966026249405
"ANKRD11",-5.41359791273037
"CTCF",-2.49843614399899
"RFX3",-4.32347231556422
"ARHGEF9",-3.33497152019612
"SHANK2",-4.01012457694755
"DEAF1",-2.77768748449735
"SMARCC2",10.8809117424665
"TLK2",-1.62342443393302
"TCF20",-5.52446135243635
"CNOT3",-7.70646779856752
"SYNCRIP",9.99693542966639
"SETD5",-8.08389929029936
"NAA15",3.98850691804553
"SCN1A",-8.17444512813173
"EHMT1",-7.4984174805192
"TCF4",-1.56859725060126
"SRPRA",-7.71124295859218
"MARK2",-9.6356627565431
"KMT2C",33.6044253138979
"MBD5",-6.6957817474143
"NRXN1",-4.52384390796083
"IRF2BPL",-2.48720280570423
"PHIP",-5.92556189072271
"NFE2L3",-6.44284575462806
