,0
GW16.Neurons,-0.007919108211510612
GW26.GABAergic.neurons,0.16442459716439367
GW23.GABAergic.neurons,-0.05877417815334049
GW16.Stem.cells,0.09802098799895566
GW26.Neurons,-0.006126369712451409
GW10.Neurons,0.06943205712200826
GW23.Neurons,0.005062576872684112
GW10.Stem.cells,-0.024366995748797752
GW16.GABAergic.neurons,0.0318224798338174
GW19.Neurons,-0.006619391674570443
GW26.OPC,0.03643160366722802
GW26.Astrocytes,-0.03994730565893789
GW12.Neurons,-0.0463259269789168
GW09.Stem.cells,-0.05773019614358632
GW26.Microglia,-0.10646737853801977
GW09.Neurons,0.06984466312159131
GW23.OPC,-0.026731675101808468
GW19.GABAergic.neurons,0.010740179797172894
GW13.Neurons,-0.0002158149602415239
GW08.Neurons,0.0006513173650354283
GW16.OPC,-0.07128901035888349
GW12.Stem.cells,-0.018571287646293854
GW16.Microglia,0.008638474441842025
GW23.Microglia,-0.0021758103894263933
week_10.hPeric,0.0026315864394454752
week_10.hRgl2a,-0.03340854451273701
week_11.hRgl2a,0.028960082533611656
week_10.Unk,0.0766449314103853
week_11.hPeric,-0.010470760404603029
week_9.Unk,0.020092595859913468
week_6.hProgFPM,0.0043650033501147845
week_8.Unk,-0.0012882477424779708
week_11.hRgl2b,-0.012604295625155604
week_9.hGaba,0.042135473871528016
week_6.hProgBP,-0.016075944390478485
week_8.hNbM,-0.03727191168005166
week_8.hNProg,0.007195255177371234
week_11.hEndo,0.014492080799453131
week_11.Unk,-0.022824725339209186
week_6.hProgM,0.005920866449419331
week_6.hProgFPL,-0.010525352324486474
week_6.Unk,0.045374882876522096
week_8.hProgBP,0.030447750813257114
week_8.hNbML1,-0.012964250226879184
week_9.hNbML5,0.004506648187118541
week_8.hOMTN,-0.06505484053940745
week_6.hNProg,0.016278273380362886
week_6.hOMTN,0.02287988928871983
week_11.hRgl3,-0.04377965077155771
week_10.hEndo,-0.05371672994132386
week_8.hProgFPM,-0.0013725924003216456
week_8.hRN,-0.0013069998561892327
week_9.hOMTN,0.012396170775296457
week_10.hDA2,-0.014256364681891679
week_10.hRgl3,0.023164877529479568
week_11.hOPC,0.00837425077643426
week_11.hRgl2c,-0.016083864813887894
week_10.hNbM,0.017921223647559045
week_10.hDA1,0.015432539284194656
week_9.hProgBP,0.021045217699977803
week_8.hProgM,-0.019934463742596588
week_10.hRgl2b,0.0062108494646249835
week_7.hRgl2a,-0.0018947690619854991
week_7.hOMTN,-0.025526473484494435
week_7.Unk,0.01765166127098089
week_10.hRgl1,0.031683728338584904
week_7.hProgBP,-0.005419000737256058
week_10.hDA0,-0.02894660515719675
week_9.hNbGaba,-0.019730448948358313
week_9.hDA0,-0.01676288624347331
week_9.hDA1,0.014082521747364933
week_9.hNProg,-0.0207632671128065
week_8.hProgFPL,-0.0020738231288505715
week_9.hRgl2a,0.011888984039306879
week_9.hDA2,0.02544732404637218
week_6.hNbML1,-0.0017348213015449068
week_9.hNbM,-0.009884827638985641
week_9.hNbML1,-0.02929416545344605
week_6.hNbM,-0.0066277843358047836
week_10.hGaba,0.0010290484703008693
