,0,1
KIAA1958,0.8657797,0.9498295
GABRG2,0.8657797,0.9498295
SKIDA1,0.8657797,0.9498295
PSMA3,0.8657797,0.9498295
TTC37,0.8657797,0.9498295
PCYT1A,0.8657797,0.9498295
AP1G1,0.8657797,0.9498295
FEZF2,0.8657797,0.9498295
FGF19,0.8657797,0.9498295
MSL3,0.8657797,0.9498295
SON,0.8657797,0.9498295
DNAJC5,0.8657797,0.9498295
FBXO22,0.8657797,0.9498295
TNFRSF8,0.8657797,0.9498295
HDAC11,0.8657797,0.9498295
SSR2,0.8657797,0.9498295
ACTG1,0.8657797,0.9498295
PNN,0.8657797,0.9498295
RUNX1T1,0.8657797,0.9498295
APBB1,0.8657797,0.9498295
CERS4,0.8657797,0.9498295
CELF4,0.8657797,0.9498295
ZBTB14,0.8657797,0.9498295
ATAT1,0.8657797,0.9498295
RBBP5,0.8657797,0.9498295
G3BP1,0.8657797,0.9498295
WNT7B,0.8657797,0.9498295
BDP1,0.8657797,0.9498295
RNF217,0.8657797,0.9498295
CBX4,0.8657797,0.9498295
NME8,0.8657797,0.9498295
DCUN1D3,0.8657797,0.9498295
ENC1,0.8657797,0.9498295
UBB,0.8657797,0.9498295
NEO1,0.8657797,0.9498295
SLC4A10,0.8657797,0.9498295
BRF2,0.8657797,0.9498295
PSMD11,0.8657797,0.9498295
NR2F1,0.8657797,0.9498295
CASK,0.8657797,0.9498295
SARM1,0.8657797,0.9498295
TPST2,0.8657797,0.9498295
FPGS,0.8657797,0.9498295
QRICH1,0.8657797,0.9498295
LRP10,0.8657797,0.9498295
CD101,0.8657797,0.9498295
INTS7,0.8657797,0.9498295
SMAD4,0.8657797,0.9498295
STARD10,0.8657797,0.9498295
CNTNAP3,0.8657797,0.9498295
DHX37,0.8657797,0.9498295
GABRB3,0.8657797,0.9498295
NDNF,0.8657797,0.9498295
FARP2,0.8657797,0.9498295
SLF1,0.8657797,0.9498295
HDAC4,0.8657797,0.9498295
CNGB3,0.8657797,0.9498295
PCDHGA8,0.8657797,0.9498295
TSPAN4,0.8657797,0.9498295
FUK,0.8657797,0.9498295
SULT1A1,0.8657797,0.9498295
NTS,0.8657797,0.9498295
MAN1A1,0.8657797,0.9498295
FAM57B,0.8657797,0.9498295
RFX8,0.8657797,0.9498295
NACC1,0.8657797,0.9498295
ZSWIM4,0.8657797,0.9498295
PPCS,0.8657797,0.9498295
SUSD4,0.8657797,0.9498295
TMEM165,0.8657797,0.9498295
RIMBP2,0.8657797,0.9498295
PSMD6,0.8657797,0.9498295
ITPKA,0.8657797,0.9498295
MSL2,0.8657797,0.9498295
RNF146,0.8657797,0.9498295
NSD2,0.8657797,0.9498295
SOX11,0.8657797,0.9498295
SLC34A1,0.8657797,0.9498295
ADPGK,0.8657797,0.9498295
TCERG1,0.8657797,0.9498295
ZBTB18,0.8657797,0.9498295
TAF6,0.8657797,0.9498295
BCL11B,0.8657797,0.9498295
PPM1M,0.8657797,0.9498295
PUF60,0.8657797,0.9498295
CUX2,0.8657797,0.9498295
GPC5,0.8657797,0.9498295
SERPINI1,0.8657797,0.9498295
SATB2,0.8657797,0.9498295
CRISPLD1,0.8657797,0.9498295
ZMYM2,0.8657797,0.9498295
DBF4,0.8657797,0.9498295
ZMYND11,0.8657797,0.9498295
TNFAIP8L3,0.8657797,0.9498295
PCDHGA12,0.8657797,0.9498295
ARHGEF2,0.8657797,0.9498295
CFAP70,0.8657797,0.9498295
HPS6,0.8657797,0.9498295
JARID2,0.8657797,0.9498295
SNCA,0.8657797,0.9498295
KDM6A,0.8657797,0.9498295
ASB14,0.8657797,0.9498295
CALU,0.8657797,0.9498295
HNRNPL,0.8657797,0.9498295
KLHL25,0.8657797,0.9498295
AHDC1,0.8657797,0.9498295
CTR9,0.8657797,0.9498295
B9D1,0.8657797,0.9498295
SPAST,0.8657797,0.9498295
EIF4G2,0.8657797,0.9498295
LRRFIP1,0.8657797,0.9498295
TUBB2A,0.8657797,0.9498295
GGNBP2,0.8657797,0.9498295
ARHGAP44,0.8657797,0.9498295
CARD14,0.8657797,0.9498295
CIC,0.8657797,0.9498295
DIP2C,0.8657797,0.9498295
RIPOR3,0.8657797,0.9498295
CCNT2,0.8657797,0.9498295
ZC3H14,0.8657797,0.9498295
PER2,0.8657797,0.9498295
DCAF7,0.8657797,0.9498295
MAP2K7,0.8657797,0.9498295
AMOTL1,0.8657797,0.9498295
HBD,0.8657797,0.9498295
PSMC5,0.8657797,0.9498295
FOXP2,0.8657797,0.9498295
DACT1,0.8657797,0.9498295
PAPOLG,0.8657797,0.9498295
FBXW5,0.8657797,0.9498295
POTEH,0.8657797,0.9498295
CTB-186H2.3,0.8657797,0.9498295
FLJ00273,0.8657797,0.9498295
CD93,0.8657797,0.9498295
MFHAS1,0.8657797,0.9498295
BTRC,0.8657797,0.9498295
FBH1,0.8657797,0.9498295
ANO9,0.8657797,0.9498295
SETD1A,0.8657797,0.9498295
WNT9B,0.8657797,0.9498295
LRRC4,0.8657797,0.9498295
NPIPB5,0.8657797,0.9498295
ZNF462,0.8657797,0.9498295
ZMAT5,0.8657797,0.9498295
TLE3,0.8657797,0.9498295
CYP17A1,0.8657797,0.9498295
EFR3A,0.8657797,0.9498295
ULK1,0.8657797,0.9498295
S100G,0.8657797,0.9498295
TRERF1,0.8657797,0.9498295
IFRD2,0.8657797,0.9498295
EIF2A,0.8657797,0.9498295
MOB4,0.8657797,0.9498295
ANKS4B,0.8657797,0.9498295
FAM72A,0.8657797,0.9498295
PARN,0.8657797,0.9498295
GSTM1,0.8657797,0.9498295
DNTT,0.8657797,0.9498295
SNTA1,0.8657797,0.9498295
KRTAP2-2,0.8657797,0.9498295
HECTD4,0.8657797,0.9498295
DEFB128,0.8657797,0.9498295
TGM6,0.8657797,0.9498295
NBPF12,0.8657797,0.9498295
KLHDC10,0.8657797,0.9498295
HTN1,0.8657797,0.9498295
SLC28A1,0.8657797,0.9498295
KATNAL2,0.8657797,0.9498295
ING1,0.8657797,0.9498295
MGRN1,0.8657797,0.9498295
SLC25A46,0.8657797,0.9498295
CHN2,0.8657797,0.9498295
C19orf33,0.8657797,0.9498295
WWC2,0.8657797,0.9498295
TOP3B,0.8657797,0.9498295
PRR12,0.8657797,0.9498295
TTC12,0.8657797,0.9498295
KCNT1,0.8657797,0.9498295
MCPH1,0.8657797,0.9498295
GSS,0.8657797,0.9498295
MOGS,0.8657797,0.9498295
PRAMEF10,0.8657797,0.9498295
HMGN2,0.8657797,0.9498295
KRTAP5-2,0.8657797,0.9498295
EIF2AK1,0.8657797,0.9498295
PPP1R17,0.8657797,0.9498295
ERI1,0.8657797,0.9498295
NRG4,0.8657797,0.9498295
EMSY,0.8657797,0.9498295
TCEAL1,0.8657797,0.9498295
MBNL1,0.8657797,0.9498295
KIAA0232,0.8657797,0.9498295
DUS1L,0.8657797,0.9498295
TMEM140,0.8657797,0.9498295
GRIN1,0.8657797,0.9498295
SLC16A1,0.8657797,0.9498295
IFNA5,0.8657797,0.9498295
HIST1H1A,0.8657797,0.9498295
TCF24,0.8657797,0.9498295
RYBP,0.8657797,0.9498295
HIST1H2BK,0.8657797,0.9498295
RPS6KA3,0.8657797,0.9498295
HIST1H1E,0.8657797,0.9498295
MYH2,0.8657797,0.9498295
TOMM7,0.8657797,0.9498295
TMEM14C,0.8657797,0.9498295
RIPPLY1,0.8657797,0.9498295
SMIM15,0.8657797,0.9498295
TPBGL,0.8657797,0.9498295
BDKRB2,0.8657797,0.9498295
NRSN2,0.8657797,0.9498295
IFITM1,0.8657797,0.9498295
ARF1,0.8657797,0.9498295
MSH2,0.8657797,0.9498295
SCNN1D,0.8657797,0.9498295
RAC3,0.8657797,0.9498295
RPS12,0.8657797,0.9498295
SMIM22,0.8657797,0.9498295
NBPF20,0.8657797,0.9498295
ZNF71,0.8657797,0.9498295
EFCAB9,0.8657797,0.9498295
C2orf72,0.8657797,0.9498295
PTMS,0.8657797,0.9498295
ZNF580,0.8657797,0.9498295
ARF3,0.8657797,0.9498295
MLANA,0.8657797,0.9498295
LLPH,0.8657797,0.9498295
LSM10,0.8657797,0.9498295
GSTA2,0.8657797,0.9498295
C3orf56,0.8657797,0.9498295
BST2,0.8657797,0.9498295
WASHC3,0.8657797,0.9498295
GATC,0.8657797,0.9498295
TGFBR3L,0.8657797,0.9498295
VIP,0.8657797,0.9498295
UBA6,0.8657797,0.9498295
NUDCD2,0.8657797,0.9498295
FCER1G,0.8657797,0.9498295
YWHAZ,0.8657797,0.9498295
MKX,0.8657797,0.9498295
BPIFA1,0.8657797,0.9498295
IL3,0.8657797,0.9498295
VPREB3,0.8657797,0.9498295
ABCC5,0.8657797,0.9498295
MDFI,0.8657797,0.9498295
CA3,0.8657797,0.9498295
CD59,0.8657797,0.9498295
C4orf19,0.8657797,0.9498295
CARHSP1,0.8657797,0.9498295
CDH13,0.8657797,0.9498295
CORO2B,0.8657797,0.9498295
NDUFB6,0.8657797,0.9498295
UMODL1,0.8657797,0.9498295
MRPS28,0.8657797,0.9498295
HHAT,0.8657797,0.9498295
SPP2,0.8657797,0.9498295
ASB17,0.8657797,0.9498295
PLA2G16,0.8657797,0.9498295
SLC6A13,0.8657797,0.9498295
PCDHA8,0.8657797,0.9498295
TMEM179,0.8657797,0.9498295
ZNF781,0.8657797,0.9498295
C11orf24,0.8657797,0.9498295
GALNT18,0.8657797,0.9498295
GADD45G,0.8657797,0.9498295
TLR3,0.8657797,0.9498295
IL27,0.8657797,0.9498295
ISL2,0.8657797,0.9498295
ARHGAP18,0.8657797,0.9498295
NCKAP1L,0.8657797,0.9498295
GLYAT,0.8657797,0.9498295
CST2,0.8657797,0.9498295
GHRL,0.8657797,0.9498295
ZDHHC2,0.8657797,0.9498295
PTPRE,0.8657797,0.9498295
SNAPC4,0.8657797,0.9498295
KRTAP10-6,0.8657797,0.9498295
PRR32,0.8657797,0.9498295
TMEM39B,0.8657797,0.9498295
LYPD4,0.8657797,0.9498295
TMEM249,0.8657797,0.9498295
FPR3,0.8657797,0.9498295
DCDC2B,0.8657797,0.9498295
EBF1,0.8657797,0.9498295
MADCAM1,0.8657797,0.9498295
AMPD1,0.8657797,0.9498295
DOT1L,0.8657797,0.9498295
RNF151,0.8657797,0.9498295
PRDX6,0.8657797,0.9498295
AIF1L,0.8657797,0.9498295
IL20,0.8657797,0.9498295
LSM3,0.8657797,0.9498295
MORN4,0.8657797,0.9498295
FAM168B,0.8657797,0.9498295
GLTP,0.8657797,0.9498295
LDLRAD2,0.8657797,0.9498295
C6orf47,0.8657797,0.9498295
SCARA3,0.8657797,0.9498295
KRIT1,0.8657797,0.9498295
GPR31,0.8657797,0.9498295
PABPC1L,0.8657797,0.9498295
GPX4,0.8657797,0.9498295
ABTB1,0.8657797,0.9498295
SIRPB2,0.8657797,0.9498295
ITSN1,0.8657797,0.9498295
TCF12,0.8657797,0.9498295
PRKD3,0.8657797,0.9498295
KLC1,0.8657797,0.9498295
TPRX1,0.8657797,0.9498295
C2orf40,0.8657797,0.9498295
CHCHD4,0.8657797,0.9498295
UPP1,0.8657797,0.9498295
DESI2,0.8657797,0.9498295
PRR23A,0.8657797,0.9498295
OLFM3,0.8657797,0.9498295
NUDT4,0.8657797,0.9498295
SNX22,0.8657797,0.9498295
TIFA,0.8657797,0.9498295
EPHB1,0.8657797,0.9498295
C11orf68,0.8657797,0.9498295
CACNA1D,0.8657797,0.9498295
KIRREL3,0.8657797,0.9498295
PRR30,0.8657797,0.9498295
ATOH1,0.8657797,0.9498295
NUAK1,0.8657797,0.9498295
GVQW3,0.8657797,0.9498295
TCTE3,0.8657797,0.9498295
GARNL3,0.8657797,0.9498295
CALHM3,0.8657797,0.9498295
EMCN,0.8657797,0.9498295
EFCAB8,0.8657797,0.9498295
FAM177A1,0.8657797,0.9498295
SPRY1,0.8657797,0.9498295
NCAPG,0.8657797,0.9498295
AZGP1,0.8657797,0.9498295
RGS2,0.8657797,0.9498295
ARHGDIB,0.8657797,0.9498295
ADTRP,0.8657797,0.9498295
CD151,0.8657797,0.9498295
G3BP2,0.8657797,0.9498295
CXXC5,0.8657797,0.9498295
RESP18,0.8657797,0.9498295
EOGT,0.8657797,0.9498295
TKT,0.8657797,0.9498295
NT5M,0.8657797,0.9498295
KATNAL1,0.8657797,0.9498295
IFI44L,0.8657797,0.9498295
VGLL2,0.8657797,0.9498295
RWDD2A,0.8657797,0.9498295
MPLKIP,0.8657797,0.9498295
IFNG,0.8657797,0.9498295
EMC9,0.8657797,0.9498295
KIAA0319,0.8657797,0.9498295
BAD,0.8657797,0.9498295
POLRMT,0.8657797,0.9498295
CEACAM19,0.8657797,0.9498295
C20orf173,0.8657797,0.9498295
ARL13A,0.8657797,0.9498295
ASF1A,0.8657797,0.9498295
FAM71F2,0.8657797,0.9498295
MYL12A,0.8657797,0.9498295
NEFM,0.8657797,0.9498295
CELA3A,0.8657797,0.9498295
CDK13,0.8657797,0.9498295
KIF9,0.8657797,0.9498295
HES5,0.8657797,0.9498295
VSIG2,0.8657797,0.9498295
TMEM241,0.8657797,0.9498295
SPIC,0.8657797,0.9498295
NSMCE1,0.8657797,0.9498295
BRF1,0.8657797,0.9498295
TM4SF19,0.8657797,0.9498295
SLC35D2,0.8657797,0.9498295
OVCA2,0.8657797,0.9498295
MTHFS,0.8657797,0.9498295
SOX5,0.8657797,0.9498295
AADACL4,0.8657797,0.9498295
SYT1,0.8657797,0.9498295
CYLC1,0.8657797,0.9498295
ZNF76,0.8657797,0.9498295
EXT1,0.8657797,0.9498295
NALCN,0.8657797,0.9498295
PIN1,0.8657797,0.9498295
RRAGC,0.8657797,0.9498295
EDAR,0.8657797,0.9498295
RPL12,0.8657797,0.9498295
EAF1,0.8657797,0.9498295
LSM1,0.8657797,0.9498295
TMEM91,0.8657797,0.9498295
SPDYC,0.8657797,0.9498295
IFI30,0.8657797,0.9498295
BTBD2,0.8657797,0.9498295
OVOL1,0.8657797,0.9498295
EDF1,0.8657797,0.9498295
ZNF346,0.8657797,0.9498295
TM4SF1,0.8657797,0.9498295
TSSC4,0.8657797,0.9498295
TMEM147,0.8657797,0.9498295
YRDC,0.8657797,0.9498295
WFS1,0.8657797,0.9498295
PSD3,0.8657797,0.9498295
NET1,0.8657797,0.9498295
OBP2A,0.8657797,0.9498295
ORM1,0.8657797,0.9498295
BNIP1,0.8657797,0.9498295
CD163L1,0.8657797,0.9498295
TIGAR,0.8657797,0.9498295
ZC3H8,0.8657797,0.9498295
PDCD1,0.8657797,0.9498295
KAZN,0.8657797,0.9498295
CLEC3A,0.8657797,0.9498295
UBE2J2,0.8657797,0.9498295
DEK,0.8657797,0.9498295
PPP1R3D,0.8657797,0.9498295
HIST1H4F,0.8657797,0.9498295
DCAF11,0.8657797,0.9498295
ADCY5,0.8657797,0.9498295
MYOZ2,0.8657797,0.9498295
HAVCR1,0.8657797,0.9498295
TRAM1L1,0.8657797,0.9498295
RPUSD1,0.8657797,0.9498295
KIR2DL3,0.8657797,0.9498295
LYPD5,0.8657797,0.9498295
ACBD6,0.8657797,0.9498295
SYT7,0.8657797,0.9498295
APOL4,0.8657797,0.9498295
NKIRAS1,0.8657797,0.9498295
LRRC4C,0.8657797,0.9498295
KDM1B,0.8657797,0.9498295
NCCRP1,0.8657797,0.9498295
MRPL52,0.8657797,0.9498295
MRPL14,0.8657797,0.9498295
GCNT7,0.8657797,0.9498295
CPD,0.8657797,0.9498295
PRPS1L1,0.8657797,0.9498295
