"","pi"
"RNF217",0.00241774435143066
"CBX4",0.235713798369873
"NME8",0.00350135298559515
"DCUN1D3",0.00275187281981009
"ENC1",0.48906992464853
"UBB",0.45896618977566
"NEO1",0.255516456764357
"SLC4A10",0.10136440454167
"BRF2",0.0184135442334939
"PSMD11",0.0172615519328705
"NR2F1",0.373986954870078
"CASK",0.390821283637909
"SARM1",0.0204386640435981
"TPST2",0.00442542287065304
"FPGS",0.00275825857680525
"QRICH1",0.00542327298628343
"LRP10",0.00309429078021337
"CD101",0.00453514147983924
"INTS7",0.00792686462783629
"SMAD4",0.172063339549733
"STARD10",0.00523844607447015
"CNTNAP3",0.00343762756854999
"DHX37",0.00248930082632839
"GABRB3",0.442134372243464
"NDNF",0.00334686249821702
"FARP2",0.00240515811615782
"SLF1",0.00350135298559515
"HDAC4",0.0956718624843478
"CNGB3",0.00359347919473154
"PCDHGA8",0.0087614304543231
"TSPAN4",0.00428856819940943
"FUK",0.0150288332736394
"SULT1A1",0.00366634342801567
"NTS",0.00339970153472324
"MAN1A1",0.00293954427677618
"FAM57B",0.239583642221708
"RFX8",0.0040817297439762
"NACC1",0.00254932116384212
"ZSWIM4",0.0361342465679416
"PPCS",0.00204368837209318
"SUSD4",0.00918484998972218
"TMEM165",0.0122466309783817
"RIMBP2",0.0788555938579828
"PSMD6",0.00277800821177069
"ITPKA",0.00397022474939976
"MSL2",0.158125600812084
"RNF146",0.148727249499286
"NSD2",0.00350135298559515
"SOX11",0.496328259747772
"SLC34A1",0.00351909378984691
"ADPGK",0.00203540762797559
"TCERG1",0.131871236185468
"ZBTB18",0.00439129733672172
"TAF6",0.00200847860008112
"BCL11B",0.095973167320113
"PPM1M",0.0020493995641164
"PUF60",0.000239798492819944
"CUX2",0.0382581058246497
"GPC5",0.0133721620842943
"SERPINI1",0.0030647598545982
"SATB2",0.00290798812670301
"CRISPLD1",0.0287843910300449
"ZMYM2",0.313924671910949
"DBF4",0.00879394114936972
"ZMYND11",0.238588340273606
"TNFAIP8L3",0.00314153143751488
"PCDHGA12",0.014024805342804
"ARHGEF2",0.0134539290575335
"CFAP70",0.00394563156451458
"HPS6",0.00435000297546981
"JARID2",0.373846242307189
"SNCA",0.0511607135009946
"KDM6A",0.0162772947044973
"ASB14",0.0032483365097499
"CALU",0.0635230638084288
"HNRNPL",0.110886632759628
"KLHL25",0.0102980434597518
"AHDC1",0.218507877629483
"CTR9",0.0958056967110185
"B9D1",0.0035266265450676
"SPAST",0.081367480290307
"EIF4G2",0.507653697011975
"LRRFIP1",0.0423811072386323
"TUBB2A",0.495725370051759
"GGNBP2",0.0686858596356904
"ARHGAP44",0.00530164903255788
"CARD14",0.00251011346972461
"CIC",0.00941286542691552
"DIP2C",0.0914427964284212
"RIPOR3",0.00350135298559515
"CCNT2",0.146020867952766
"ZC3H14",0.0163347984556253
"PER2",0.00597023964418835
"DCAF7",0.253774310083767
"MAP2K7",0.00689664044619826
"AMOTL1",0.0668578862739914
"HBD",0.00373734980408996
"PSMC5",0.07023549476997
"FOXP2",0.471913725392782
"DACT1",0.0572264440774041
