"","GW16.Neurons","GW26.GABAergic.neurons","GW23.GABAergic.neurons","GW16.Stem.cells","GW26.Neurons","GW10.Neurons","GW23.Neurons","GW10.Stem.cells","GW16.GABAergic.neurons","GW19.Neurons","GW26.OPC","GW26.Astrocytes","GW12.Neurons","GW09.Stem.cells","GW26.Microglia","GW09.Neurons","GW23.OPC","GW19.GABAergic.neurons","GW13.Neurons","GW08.Neurons","GW16.OPC","GW12.Stem.cells","GW16.Microglia","GW23.Microglia","week_10.hPeric","week_10.hRgl2a","week_11.hRgl2a","week_10.Unk","week_11.hPeric","week_9.Unk","week_6.hProgFPM","week_8.Unk","week_11.hRgl2b","week_9.hGaba","week_6.hProgBP","week_8.hNbM","week_8.hNProg","week_11.hEndo","week_11.Unk","week_6.hProgM","week_6.hProgFPL","week_6.Unk","week_8.hProgBP","week_8.hNbML1","week_9.hNbML5","week_8.hOMTN","week_6.hNProg","week_6.hOMTN","week_11.hRgl3","week_10.hEndo","week_8.hProgFPM","week_8.hRN","week_9.hOMTN","week_10.hDA2","week_10.hRgl3","week_11.hOPC","week_11.hRgl2c","week_10.hNbM","week_10.hDA1","week_9.hProgBP","week_8.hProgM","week_10.hRgl2b","week_7.hRgl2a","week_7.hOMTN","week_7.Unk","week_10.hRgl1","week_7.hProgBP","week_10.hDA0","week_9.hNbGaba","week_9.hDA0","week_9.hDA1","week_9.hNProg","week_8.hProgFPL","week_9.hRgl2a","week_9.hDA2","week_6.hNbML1","week_9.hNbM","week_9.hNbML1","week_6.hNbM","week_10.hGaba","dn.cls1","dn.cls2"
"SCN2A",233,264,88,46,65,23,45,20,26,38,37,47,19,1,30,9,11,5,1,5,8,1,5,4,17,16,5,38,6,22,2,1,9,31,0,2,0,1,15,1,0,0,0,7,11,7,0,4,4,2,0,1,14,12,3,6,1,4,7,2,0,5,0,7,2,3,1,8,12,6,7,1,1,4,5,2,2,6,0,8,0,1
"CHD8",234,169,50,64,30,40,31,43,30,23,22,35,15,10,21,6,5,3,4,4,1,3,5,4,33,33,29,13,16,10,9,5,7,14,15,17,5,10,8,8,4,5,8,9,10,8,2,10,10,3,4,6,9,4,5,3,3,12,9,3,4,6,6,2,2,3,3,6,7,3,7,3,6,4,1,3,3,5,3,1,9,3
"ADNP",452,249,83,104,68,59,55,65,56,57,41,43,32,24,25,20,13,8,10,9,11,8,8,5,40,44,36,26,25,18,25,16,15,24,17,19,13,16,11,16,23,5,17,17,11,16,12,10,9,9,15,8,13,6,8,12,8,7,6,10,9,8,11,4,1,9,2,6,6,7,8,10,9,5,5,5,3,6,5,1,0,0
"SHANK3",72,121,20,10,12,5,8,9,11,3,15,16,1,0,8,2,3,0,0,0,5,0,1,3,10,9,8,11,5,1,1,1,0,11,3,1,0,26,6,3,3,1,2,2,1,1,1,1,3,17,0,2,5,5,1,0,1,6,1,1,1,2,0,0,0,2,0,0,0,0,3,0,4,0,1,1,2,1,1,3,1,0
"PTEN",399,264,101,106,70,54,42,47,58,57,52,55,38,29,30,20,14,6,9,13,11,6,8,4,89,26,20,16,51,10,5,4,9,18,6,8,6,9,7,6,5,3,9,9,4,7,0,8,5,10,3,4,6,5,5,4,5,4,7,4,2,4,1,3,0,3,1,3,2,1,10,5,2,4,1,2,2,4,2,4,0,3
"SYNGAP1",116,146,36,31,20,23,11,30,8,11,25,26,7,8,16,5,4,1,3,4,2,2,3,2,14,7,10,6,6,1,1,2,5,4,0,1,1,5,2,3,1,0,0,2,2,0,2,2,3,2,0,0,2,1,1,0,1,0,3,0,0,1,0,2,0,4,0,1,2,2,1,0,2,1,0,1,1,0,0,1,0,0
"MECP2",239,168,69,59,35,37,17,40,32,34,27,31,23,19,20,19,12,7,4,10,5,3,6,3,26,35,31,15,13,9,9,9,10,13,9,13,5,11,8,11,10,8,13,3,4,14,5,12,12,6,6,5,7,8,9,7,8,9,11,3,8,7,5,4,1,3,1,3,8,4,4,2,3,5,1,5,2,2,2,3,0,1
"KDM5B",413,234,94,90,69,80,60,61,49,58,38,41,42,35,22,30,6,14,12,14,10,7,9,3,41,38,29,19,14,24,23,10,11,23,17,20,12,18,6,14,17,4,9,15,16,16,7,11,6,6,7,10,15,6,9,6,3,9,8,4,8,11,9,6,2,4,3,6,8,7,8,6,4,8,4,5,9,8,3,2,0,1
"FOXP1",285,234,65,72,60,31,28,57,30,25,45,49,15,32,25,15,12,6,7,1,6,2,5,6,81,42,23,13,35,17,27,18,15,20,22,16,11,29,8,26,23,9,7,10,11,9,8,9,15,15,15,4,7,8,13,2,8,5,7,6,11,4,4,5,4,13,3,4,6,5,6,4,11,6,1,5,3,4,5,3,0,0
"ARID1B",359,214,81,71,59,43,36,50,39,30,37,37,19,13,18,19,11,7,2,8,11,5,9,6,22,32,37,18,19,26,20,14,17,22,20,15,9,13,12,13,15,7,8,15,15,13,7,15,8,7,8,6,13,8,5,5,4,11,5,5,5,4,4,7,2,2,7,4,9,6,6,4,10,5,6,5,6,8,2,3,0,0
"POGZ",392,254,99,90,70,64,59,56,49,54,47,47,34,37,21,22,15,12,7,9,8,10,10,4,46,48,36,22,29,19,27,17,23,28,19,16,18,13,17,18,25,6,10,14,8,12,9,17,13,7,9,14,12,10,10,7,9,8,11,8,6,11,4,8,2,6,6,6,7,6,6,5,9,5,5,2,6,5,5,7,0,0
"ASH1L",320,252,90,79,57,47,43,48,42,44,44,40,27,23,27,19,16,7,9,6,11,10,10,7,64,64,41,34,32,25,25,18,16,24,22,18,14,19,17,20,10,6,14,15,13,16,10,16,13,14,8,7,9,8,13,11,11,8,11,3,11,12,4,6,2,9,4,8,8,5,7,6,8,6,5,3,5,7,4,7,14,5
"KMT5B",396,241,77,94,60,48,39,49,56,45,43,37,27,19,25,12,10,6,3,8,14,6,8,6,27,39,32,22,19,20,18,11,20,24,15,15,11,14,15,11,12,8,8,13,18,14,5,13,10,4,6,6,11,7,6,4,9,8,13,6,3,4,7,5,4,1,1,8,11,6,8,7,6,4,6,3,2,3,4,4,0,0
"SLC6A1",119,237,98,44,38,2,26,18,42,13,46,55,4,5,18,1,16,10,0,0,7,1,3,3,77,33,35,14,48,7,0,1,10,15,1,1,0,4,7,1,1,0,0,1,7,0,1,0,13,5,0,0,4,2,9,8,11,0,6,2,1,5,2,2,1,1,0,1,5,1,0,0,0,4,2,0,2,4,0,3,0,1
"GIGYF1",318,196,50,78,55,40,26,49,39,23,40,41,13,14,25,7,11,8,6,2,8,5,6,4,15,14,22,11,16,12,9,6,8,15,5,8,6,6,4,5,3,3,8,4,5,6,3,5,2,3,1,1,4,6,4,7,6,3,5,6,2,2,2,2,0,4,1,2,5,2,5,2,2,5,2,1,3,4,0,2,1,0
"DYRK1A",288,176,40,70,44,33,18,44,31,20,24,36,9,14,14,12,8,4,2,3,8,6,6,5,19,28,21,16,16,11,16,9,4,11,14,4,10,11,5,13,17,5,9,7,10,16,8,8,7,8,10,6,5,6,5,3,4,4,8,3,9,5,4,4,3,4,3,2,8,4,5,0,5,5,6,4,1,3,1,2,0,0
"CHD2",334,226,102,81,54,59,50,62,47,53,46,46,34,29,29,16,17,6,11,9,10,6,8,7,67,62,48,44,33,26,26,15,26,23,21,27,15,25,21,20,17,16,10,14,15,19,14,15,16,17,9,5,18,14,12,6,13,13,10,8,15,12,11,5,4,13,6,7,8,9,7,7,8,7,5,5,6,7,4,7,11,5
"ASXL3",219,153,32,42,23,22,15,13,24,21,13,18,8,1,14,9,4,4,1,6,5,0,4,1,7,7,1,9,4,8,3,5,2,15,5,11,2,0,6,4,2,1,4,9,5,11,0,6,1,0,2,6,8,6,2,2,0,4,4,2,1,1,1,0,3,1,1,2,7,3,7,1,1,1,1,4,3,5,3,2,6,1
"TAOK1",393,276,78,99,61,56,45,60,55,43,49,52,39,21,30,20,13,9,6,4,10,10,10,5,57,68,60,32,35,22,17,21,19,24,20,14,16,15,17,20,15,8,19,14,17,14,9,15,14,16,12,9,13,6,14,10,12,10,11,9,8,10,9,4,5,7,5,7,10,9,8,7,10,11,8,6,8,9,3,4,5,2
"DNMT3A",195,123,48,51,18,51,18,44,24,12,29,22,16,26,15,17,6,8,2,8,4,4,4,3,22,18,18,10,10,9,17,11,11,14,11,16,8,10,3,12,17,6,7,7,8,12,7,14,7,4,5,7,7,3,4,4,4,6,5,5,6,3,8,5,1,2,3,2,6,5,6,4,5,0,1,4,2,3,2,4,0,1
"GRIN2B",15,39,8,6,4,0,4,2,3,0,3,1,1,0,2,0,2,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0
"BRSK2",245,164,39,57,31,36,20,40,21,16,23,30,14,11,15,11,5,2,4,2,5,3,2,1,13,18,7,17,8,14,14,9,6,16,14,18,10,3,6,12,9,2,7,10,12,6,10,12,3,1,4,6,7,7,4,2,3,7,8,3,4,5,2,7,1,6,2,5,1,1,3,3,4,0,0,3,1,4,2,3,1,0
"KMT2A",430,310,115,98,77,71,62,71,56,58,50,54,28,29,32,21,17,11,9,10,11,7,6,8,60,71,59,40,31,37,27,21,30,36,23,20,14,16,22,23,16,11,20,21,19,22,12,17,19,14,11,14,16,14,11,15,13,14,13,10,11,10,10,10,8,12,6,10,11,12,12,7,9,9,8,8,9,8,3,6,0,0
"NF1",222,167,46,66,41,36,21,40,23,21,34,43,8,15,21,10,8,3,4,6,7,4,7,3,47,46,51,17,34,22,18,11,18,8,16,13,15,11,11,17,12,7,5,8,6,14,9,12,9,5,6,5,11,2,9,6,7,6,6,11,5,9,4,7,2,4,4,6,5,6,4,4,5,4,2,8,5,4,1,4,0,0
"STXBP1",486,315,131,105,94,79,69,59,66,62,55,54,53,17,36,32,18,15,13,12,12,9,7,6,32,15,1,24,15,14,5,2,2,25,1,12,5,13,9,2,5,1,2,7,10,12,1,8,3,11,0,11,11,8,6,5,0,3,8,2,1,4,0,7,4,1,0,5,9,5,6,3,0,4,4,4,5,4,3,4,0,0
"CUL3",253,185,52,63,40,45,23,52,37,23,37,29,17,13,24,14,4,3,4,2,5,4,5,1,34,33,28,16,12,13,21,11,14,15,14,9,8,9,8,12,17,3,5,9,11,5,6,12,7,6,7,4,7,6,5,6,3,9,8,5,4,4,5,3,2,1,1,5,4,2,4,5,4,2,4,4,5,5,2,3,0,0
"MED13L",318,207,58,63,31,37,19,35,31,26,38,36,29,15,24,12,9,9,4,5,8,3,6,6,40,30,30,8,19,21,11,7,6,23,8,9,8,11,4,7,12,6,9,8,12,8,8,6,5,10,4,5,12,3,7,2,5,3,5,7,4,4,2,2,1,3,2,3,8,6,5,3,6,2,3,3,4,2,0,2,1,1
"ANK2",459,366,132,109,104,50,68,55,65,65,61,62,39,12,36,11,20,14,8,6,12,8,9,7,25,55,41,41,11,30,7,13,14,35,8,27,9,5,14,6,4,4,4,25,18,18,6,16,14,8,7,18,17,11,10,6,7,13,15,5,5,14,5,11,7,5,6,9,15,12,11,9,6,5,8,8,12,7,7,4,1,0
"MYT1L",514,348,137,109,101,72,66,51,71,74,51,55,55,24,35,30,16,14,11,10,13,11,8,8,22,23,1,46,7,27,2,5,3,33,5,13,8,1,9,1,1,2,2,13,20,10,1,8,3,3,2,6,13,15,5,1,1,11,14,2,1,4,1,12,5,5,1,10,15,8,9,2,3,4,8,5,7,7,0,5,0,0
"RORB",165,123,20,33,25,11,7,7,16,14,16,22,12,1,11,7,4,1,4,0,2,1,3,1,1,8,7,3,2,6,3,2,0,2,3,2,2,1,1,1,0,2,5,1,3,2,0,1,0,0,1,3,1,0,0,0,0,1,0,0,1,1,0,0,3,1,1,0,1,0,1,0,0,2,1,0,1,1,0,0,0,0
"TBL1XR1",446,254,112,102,82,59,62,66,54,59,54,48,36,32,30,25,16,13,8,6,12,10,8,8,43,62,54,27,32,21,30,18,27,26,26,19,15,19,14,23,29,8,15,14,14,17,10,14,14,10,9,6,14,4,11,8,9,13,11,7,12,7,6,6,4,13,7,5,6,6,8,6,10,5,9,6,7,7,1,6,0,2
"TBR1",149,32,12,20,13,40,23,22,7,14,3,3,12,8,1,24,2,1,0,3,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DYNC1H1",468,334,141,117,91,84,73,75,64,69,57,60,45,30,35,27,16,19,13,12,13,11,9,9,67,69,53,41,48,35,31,19,26,38,28,30,20,33,22,23,25,12,18,23,18,19,13,25,20,18,13,18,17,16,10,14,14,15,14,12,10,11,7,13,9,12,9,11,13,13,11,8,10,8,5,10,10,9,5,4,1,2
"WAC",415,282,106,105,77,62,57,73,60,50,51,53,32,35,25,28,15,10,11,11,10,10,9,6,71,69,54,39,32,28,29,17,22,25,31,20,23,24,18,21,21,15,19,15,14,13,9,15,18,16,12,13,11,8,14,14,12,12,13,11,11,8,11,11,8,9,12,11,12,8,8,11,11,10,9,8,7,7,5,5,1,0
"PHF21A",228,167,62,58,36,36,23,33,28,26,26,24,15,7,13,8,11,1,2,3,7,5,4,4,27,41,38,11,9,12,14,8,8,12,15,10,5,8,8,17,7,7,6,5,11,7,9,10,16,11,6,4,7,2,9,7,6,7,11,6,4,8,4,3,2,5,1,5,1,1,4,8,6,5,2,5,5,4,2,3,0,1
"KDM6B",321,181,51,68,42,52,28,45,38,33,27,31,24,15,16,20,4,7,6,9,9,5,8,3,29,16,20,16,20,7,6,5,10,17,8,13,7,15,5,7,7,3,4,8,7,10,4,7,6,10,4,7,6,6,7,3,3,10,7,4,1,1,1,2,1,2,0,5,2,4,5,2,3,1,1,5,2,2,4,3,0,1
"DDX3X",485,316,118,117,92,73,58,74,70,63,67,61,43,40,38,27,19,14,12,14,12,10,10,8,92,79,62,32,53,24,36,29,30,29,35,23,23,36,18,26,28,19,20,23,11,21,12,17,19,23,19,13,15,9,15,11,16,13,13,16,11,12,12,8,6,14,9,10,8,6,5,8,13,9,5,6,6,6,6,7,0,2
"CTNNB1",423,272,104,111,68,81,56,74,59,38,57,49,48,47,29,31,21,11,7,13,11,11,9,6,70,76,61,22,52,20,27,25,28,16,27,16,22,36,10,27,27,11,23,15,15,15,16,13,18,21,17,7,5,9,14,12,11,9,10,8,11,9,11,4,5,10,5,3,8,9,8,8,10,9,7,6,2,8,4,5,0,0
"MED13",301,205,72,75,44,50,33,43,43,32,33,45,18,18,25,15,13,5,4,3,7,4,8,3,27,43,36,21,24,19,19,12,18,24,19,17,8,10,14,13,16,10,10,12,14,14,10,9,6,9,7,8,8,6,4,7,7,10,6,10,8,8,5,5,3,6,4,8,9,4,8,3,5,5,2,3,6,7,0,3,0,2
"ANKRD11",350,257,93,83,63,63,38,56,36,44,35,44,26,30,29,21,11,7,5,9,12,6,11,8,74,69,45,37,44,26,24,22,25,28,20,22,21,22,21,24,24,9,18,14,15,21,9,14,14,17,11,8,14,6,8,13,13,12,10,11,10,8,9,8,8,9,7,5,9,9,9,5,8,8,6,4,9,7,3,5,0,0
"CTCF",292,152,68,69,33,48,24,55,36,39,30,28,20,21,17,16,8,4,4,4,7,5,7,4,23,24,20,13,21,16,17,13,18,12,17,13,11,14,14,14,18,9,8,12,7,11,8,12,4,3,7,5,9,5,8,6,5,9,6,4,5,8,7,2,2,5,5,2,6,5,11,3,5,4,2,7,8,6,4,4,0,0
"RFX3",290,196,50,70,49,40,22,43,33,33,35,45,18,12,18,17,9,4,4,4,8,7,5,4,28,73,49,20,16,20,25,10,21,20,19,21,18,13,12,24,20,7,11,7,17,9,9,11,18,8,6,9,10,8,16,8,14,8,8,9,11,10,6,5,3,14,7,3,6,4,7,3,6,6,5,2,6,3,5,5,0,0
"ARHGEF9",224,147,38,47,38,35,24,27,30,29,29,31,25,7,20,10,3,1,3,7,2,5,4,4,16,23,21,13,8,10,6,6,13,16,7,5,7,6,9,7,7,3,5,1,5,4,6,11,5,1,5,2,10,4,5,4,3,9,7,1,4,1,3,4,2,5,1,6,4,2,4,4,2,5,3,2,0,3,2,1,0,0
"SHANK2",252,213,46,53,50,25,31,23,29,23,28,36,14,1,21,12,4,5,0,4,8,0,4,2,8,13,8,13,1,16,0,4,3,20,3,4,3,1,5,1,3,0,2,3,9,5,1,6,4,1,1,5,12,7,2,1,1,2,7,5,2,2,1,4,2,4,1,2,7,4,7,1,2,4,2,1,8,1,1,4,0,0
"DEAF1",233,234,49,53,47,23,17,25,23,27,32,43,5,4,22,8,9,4,1,2,4,1,5,3,15,20,14,18,11,2,1,2,9,8,2,3,3,6,9,2,4,3,1,4,1,3,3,6,6,6,2,1,8,10,4,2,5,3,6,3,1,2,1,2,0,5,0,1,0,1,2,0,1,0,2,1,1,0,2,3,0,2
"SMARCC2",416,269,111,101,67,62,61,70,51,58,54,50,28,25,29,21,15,8,12,11,11,8,9,5,35,54,57,31,33,24,23,10,28,34,16,20,18,18,15,17,16,9,14,17,17,19,9,13,17,14,14,12,11,14,10,9,10,9,13,6,12,10,7,8,7,10,7,5,13,11,7,6,9,8,6,8,7,7,3,6,5,0
"TLK2",203,123,43,59,23,30,19,44,25,18,28,24,8,8,14,9,6,0,0,3,3,3,3,2,13,21,14,5,12,4,11,4,7,7,11,5,3,9,10,11,12,4,2,3,9,5,6,8,4,6,4,1,5,4,3,3,2,3,4,6,3,2,6,2,0,2,1,1,6,3,5,3,5,3,1,2,3,2,1,2,0,0
"TCF20",172,129,44,34,30,25,16,27,21,20,13,20,12,10,11,5,6,6,2,5,2,5,7,1,15,12,14,8,8,12,4,5,5,16,8,6,7,11,7,6,5,2,3,4,8,4,3,3,4,5,2,7,6,4,4,4,2,5,6,4,5,4,5,3,2,2,4,1,6,5,5,1,2,3,2,4,3,4,0,2,0,0
"CNOT3",119,68,22,41,19,20,16,19,18,9,14,16,7,15,6,9,8,3,5,4,1,4,2,1,6,7,7,4,2,2,2,3,5,1,4,0,2,2,0,2,1,4,0,1,1,1,2,1,3,0,2,0,2,1,1,1,2,2,2,1,0,2,0,0,1,2,1,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0
"SYNCRIP",438,274,94,113,84,76,58,70,59,60,50,48,41,43,30,26,18,9,13,11,12,11,10,5,77,65,54,30,38,28,42,41,28,30,36,26,24,27,14,26,28,13,21,18,17,22,13,20,18,16,16,12,13,5,13,16,15,12,10,15,13,13,13,8,10,8,5,8,11,9,12,10,11,4,4,10,4,9,4,7,0,1
"SETD5",225,167,68,61,30,36,30,56,28,36,37,36,14,20,16,11,14,5,6,3,8,6,5,3,44,63,48,27,31,21,26,16,24,19,15,15,13,24,21,23,17,9,17,12,14,17,7,16,19,11,12,7,11,7,12,12,10,12,9,5,10,9,6,4,4,8,7,4,8,5,4,6,7,4,2,6,5,4,4,5,0,1
"NAA15",247,158,46,62,30,40,29,48,23,35,24,30,21,20,15,15,7,7,5,9,7,5,7,3,25,38,33,22,18,16,18,15,13,19,15,12,7,17,5,12,15,4,10,9,7,13,6,13,8,3,7,3,6,6,7,10,9,8,4,6,6,7,6,7,5,4,7,4,3,6,4,3,7,4,1,4,3,2,3,6,0,1
"SCN1A",29,50,15,6,9,4,2,5,6,2,34,24,3,1,2,1,12,1,0,0,12,0,0,1,10,44,39,14,12,7,2,7,10,15,1,2,1,2,12,0,0,0,2,0,8,5,0,0,11,5,3,0,9,1,8,11,6,1,5,3,0,6,6,3,2,9,4,3,5,0,3,4,1,8,2,0,3,1,1,2,0,0
"EHMT1",3,0,4,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,20,16,11,10,9,4,6,8,12,7,10,10,13,7,7,17,4,7,6,5,6,1,9,5,3,5,8,5,2,3,2,3,3,1,1,4,2,1,2,2,1,2,2,6,1,6,4,3,0,1,4,3,4,0,3,0,2
"TCF4",526,389,170,117,106,86,79,83,82,79,66,61,48,48,34,34,25,21,15,14,13,12,9,8,93,84,71,40,55,32,35,15,41,22,17,13,19,40,29,23,23,6,17,7,16,10,10,8,21,22,12,4,11,10,17,16,13,19,8,15,8,17,15,1,4,15,8,13,5,11,10,10,11,12,8,4,10,6,1,7,0,0
"SRPRA",88,44,23,25,7,18,10,20,8,4,12,11,7,9,8,6,5,1,3,6,4,1,7,2,16,11,6,6,20,4,8,3,2,6,6,5,6,11,6,11,6,4,3,4,2,7,3,3,2,4,2,0,6,1,1,2,2,1,2,3,2,2,1,2,1,3,0,0,0,1,2,1,2,2,1,1,0,1,1,0,1,0
"MARK2",158,139,33,41,30,18,13,24,18,13,18,24,11,6,19,11,3,2,2,0,7,2,1,4,3,11,7,6,9,4,3,1,1,0,5,3,2,5,7,4,3,1,2,3,0,0,3,3,3,2,0,4,1,4,1,2,1,3,4,2,1,3,0,2,0,3,0,1,1,2,0,1,1,0,0,1,1,0,0,0,1,0
"KMT2C",386,264,86,91,64,58,41,55,56,44,39,45,26,20,27,19,16,12,9,9,10,6,8,8,59,60,44,35,29,39,21,7,22,28,16,18,16,20,15,13,14,5,16,14,18,17,11,18,13,13,9,13,11,11,13,11,11,8,9,10,4,8,7,7,6,8,7,4,8,7,9,7,2,9,6,6,9,8,4,6,7,15
"MBD5",95,68,34,29,18,16,12,14,14,8,11,16,3,6,7,4,6,2,2,1,5,0,0,2,7,10,5,2,1,1,0,2,3,3,2,2,2,4,1,5,0,3,3,2,1,2,1,3,0,1,0,2,1,0,1,1,0,1,1,1,2,2,2,2,0,0,1,1,2,2,2,1,1,1,0,0,0,1,1,0,0,0
"NRXN1",475,375,154,104,102,82,80,58,69,77,62,62,52,24,34,32,22,22,14,13,12,10,9,9,31,83,47,42,14,29,2,6,24,35,1,11,4,6,20,1,0,1,5,11,17,10,0,8,11,5,2,10,14,8,9,14,14,14,13,7,1,8,5,9,4,6,3,10,13,9,10,5,1,9,8,6,7,5,2,9,1,3
"IRF2BPL",204,159,41,47,25,40,16,34,30,11,25,23,17,11,16,13,2,3,3,4,5,1,6,3,26,48,34,24,13,13,10,5,15,27,7,3,5,13,12,15,8,2,5,5,15,9,2,11,10,6,2,5,10,9,6,7,3,5,9,7,3,4,8,4,1,3,4,7,10,9,6,6,6,8,2,3,8,5,1,3,0,0
"PHIP",450,287,120,118,72,81,49,81,57,61,51,52,43,46,32,31,19,11,7,8,9,11,11,8,50,72,44,43,27,43,40,32,23,38,34,27,24,18,18,25,31,12,24,15,24,21,22,22,12,12,12,12,20,10,14,12,13,13,14,16,11,11,9,12,7,8,11,10,11,9,12,8,12,8,7,8,7,8,5,5,1,0
"NFE2L3",30,14,4,4,3,4,2,4,3,2,2,3,1,3,1,1,2,0,1,0,1,0,0,1,1,3,1,1,1,1,0,0,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,2,1,0,0,1,0,0,0,0,0,0,1,0
"SKI",157,176,38,32,25,22,12,26,19,3,22,29,7,6,17,2,4,0,1,0,3,2,3,2,19,21,15,12,15,8,7,1,5,9,5,1,4,12,5,4,4,0,2,2,4,4,3,4,5,3,2,2,4,2,5,8,5,3,4,4,1,2,0,2,0,1,0,1,1,2,2,1,0,2,0,2,3,3,0,1,0,0
"PSMD12",178,82,29,42,14,22,13,26,20,19,17,17,20,22,9,9,7,7,6,4,5,3,3,0,10,17,6,7,8,2,5,2,7,2,9,3,5,5,3,11,10,4,4,3,3,4,2,8,3,2,5,3,4,1,2,1,2,1,0,1,2,0,3,1,0,1,0,2,1,0,2,2,2,0,1,0,0,1,0,1,0,0
"KCNB1",31,48,17,5,4,2,2,2,6,2,7,9,1,0,7,0,3,0,1,0,1,1,0,0,1,4,1,7,0,2,0,0,2,4,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,3,1,2,2,0,2,0,1,0,0,0,1,0,1,1,1,3,0,2,0,0,0,1,2,1,0,0,3,0,0
"CSDE1",516,350,151,120,102,90,79,75,77,79,64,61,52,47,36,33,20,13,15,14,13,12,11,7,96,84,55,45,58,37,48,39,28,33,42,35,30,35,23,33,30,27,24,27,24,28,22,25,20,19,21,18,19,20,16,16,15,16,17,13,17,14,13,16,12,11,15,12,10,12,10,10,13,10,10,12,10,9,9,9,0,2
"TSC1",288,213,70,79,65,37,37,33,38,36,31,48,18,10,17,16,11,5,7,7,10,2,7,3,16,21,18,13,13,8,7,2,7,8,5,10,1,5,5,3,2,2,3,4,6,8,3,4,1,5,2,7,5,3,4,5,1,5,9,2,3,2,1,0,2,3,1,2,7,2,4,2,1,2,2,2,2,4,3,1,0,0
"DMWD",203,193,52,46,38,24,18,39,26,12,29,44,5,12,23,7,7,1,1,1,4,1,7,3,10,25,31,7,11,2,2,2,15,2,9,3,2,10,9,4,6,2,6,5,1,6,2,3,5,1,3,4,2,1,5,6,5,4,5,0,1,4,0,1,0,5,1,3,2,1,1,0,2,0,0,1,0,1,0,4,0,0
"CLCN4",272,177,42,52,40,46,31,26,33,33,24,28,27,11,15,22,4,4,5,8,6,2,4,2,9,8,8,12,1,8,0,0,3,15,1,4,2,0,4,0,0,0,1,4,10,5,0,6,2,2,0,2,5,3,8,2,1,0,5,0,0,1,1,3,1,1,1,3,2,4,2,1,0,1,2,0,2,6,1,3,0,1
"MEIS2",529,274,85,121,107,61,89,72,66,77,49,58,37,39,26,14,19,14,12,8,12,11,10,6,9,9,5,15,4,8,10,4,6,5,14,2,8,0,7,3,5,1,6,0,18,4,4,6,9,1,4,1,3,1,1,2,4,2,2,3,3,0,3,0,2,2,1,3,16,2,2,3,1,3,1,3,2,2,0,0,0,0
"PBX1",499,335,112,119,94,49,57,57,70,66,52,53,41,21,33,18,12,12,9,11,10,10,10,5,56,77,57,38,24,46,33,30,23,39,32,31,26,16,16,28,26,14,22,24,25,19,14,21,18,12,16,17,17,21,16,9,9,18,18,12,13,12,11,9,9,13,10,16,14,15,13,10,11,10,12,11,12,8,9,6,0,1
"HNRNPD",500,289,111,118,83,88,41,81,69,46,59,55,54,44,30,30,16,16,14,14,13,11,11,8,45,54,50,32,46,36,39,33,28,26,39,22,23,26,14,26,32,19,25,20,16,21,19,18,11,8,16,9,12,8,9,12,12,12,10,15,15,10,9,8,3,7,9,7,11,6,7,7,11,8,6,9,5,7,3,3,0,0
"BCL11A",540,357,142,119,101,93,86,82,79,80,45,51,62,49,29,35,13,21,16,15,13,12,9,8,31,15,17,21,13,21,11,10,7,25,9,24,11,4,6,7,9,2,10,16,17,8,3,6,3,1,4,11,8,5,4,3,2,13,5,7,8,2,5,2,6,6,2,4,6,8,11,8,7,4,6,1,7,6,3,3,0,0
"TCF7L2",133,66,23,47,21,4,12,35,9,10,37,39,3,21,15,3,15,4,7,2,10,0,5,3,14,27,27,6,14,12,8,6,16,10,11,1,3,9,9,10,10,3,7,1,3,1,2,3,10,8,9,3,3,2,5,9,2,1,1,3,2,5,5,0,1,1,3,0,4,3,1,4,5,4,2,1,3,1,1,1,0,2
"WDFY3",261,194,62,67,44,44,18,42,28,23,38,37,15,11,22,14,11,4,2,3,6,2,4,3,37,33,32,10,24,16,7,11,12,18,11,18,6,9,6,17,10,6,10,11,11,12,5,13,11,7,6,5,9,2,5,4,5,11,3,6,7,9,6,5,5,4,3,4,5,4,8,3,4,6,3,8,7,4,2,3,1,2
"PHF3",294,177,68,70,37,39,35,47,34,32,28,29,22,19,19,17,9,7,6,7,6,8,8,6,25,33,28,19,22,17,12,11,9,20,17,16,13,13,5,13,17,6,8,11,8,11,7,12,9,5,5,9,10,5,8,5,4,5,10,5,9,9,5,4,4,6,3,4,6,4,4,3,5,4,5,3,8,3,2,5,0,0
