"","real.log.BF"
"RBBP5",-7.09760736408687
"G3BP1",-6.85353386132044
"WNT7B",-6.34011747018629
"BDP1",-5.03042674547579
"RNF217",-6.1707505913953
"CBX4",-2.20636437105842
"NME8",-7.6407603716647
"DCUN1D3",-6.96104590657436
"ENC1",1.16468317337919
"UBB",2.42348586407897
"NEO1",-5.85367113512477
"SLC4A10",1.06705154440354
"BRF2",-6.07694138779901
"PSMD11",-6.12601098485823
"NR2F1",-1.62858140008158
"CASK",6.7468530367637
"SARM1",-6.63736464241425
"TPST2",-4.7901475337387
"FPGS",-8.13544255311082
"QRICH1",-7.4160961031073
"LRP10",-8.58835029446146
"CD101",-7.57415217812429
"INTS7",-7.0519816067258
"SMAD4",-4.36740450747831
"STARD10",-6.44904064952423
"CNTNAP3",-5.22584552850978
"DHX37",-9.82855485834995
"GABRB3",-1.42380608057728
"NDNF",-5.07029639842698
"FARP2",-8.24384912750566
"SLF1",-7.88658525061488
"HDAC4",-4.54839272336093
"CNGB3",-8.57458756011161
"PCDHGA8",-7.17471299839704
"TSPAN4",-6.74194572515362
"FUK",-8.09805753906706
"SULT1A1",-6.89208153658802
"NTS",-6.11155680826156
"MAN1A1",-6.6708214129286
"FAM57B",-2.49066601676084
"RFX8",-6.81910994444163
"NACC1",-7.31245381616783
"ZSWIM4",-3.01346977869293
"PPCS",-7.5591092900435
"SUSD4",-6.05214243793149
"TMEM165",-5.78774788800625
"RIMBP2",-4.88435828439472
"PSMD6",-7.27761069695928
"ITPKA",-5.12690629427316
"MSL2",-3.07904535853996
"RNF146",-0.407274676711974
"NSD2",-11.1092736144873
"SOX11",-2.12620829053686
"SLC34A1",-7.89368798501607
"ADPGK",-7.65038378754695
"TCERG1",-5.91016352983532
"ZBTB18",-6.90024040601857
"TAF6",-8.64366291621524
"BCL11B",-3.70635199896674
"PPM1M",-7.6588290685232
"PUF60",-9.80962121851458
"CUX2",-7.31922942677979
"GPC5",-5.78837320238806
"SERPINI1",-7.2932196633092
"SATB2",-8.26668572879725
"CRISPLD1",-4.40350975966775
"ZMYM2",5.86415102520029
"DBF4",-6.21881598319393
"ZMYND11",-3.73787952607823
"TNFAIP8L3",-6.40293573386921
"PCDHGA12",-4.29332097339659
"ARHGEF2",-8.4035903426991
"CFAP70",-8.79059301761366
"HPS6",-8.0201946690783
"JARID2",-4.70857264545962
"SNCA",-3.5809611010501
"KDM6A",-8.27103930043407
"ASB14",-7.30258937301196
"CALU",-4.2833835470399
"HNRNPL",-0.933956100212352
"KLHL25",-6.84124910082771
"AHDC1",-3.79960846698306
"CTR9",-6.45198476585852
"B9D1",-5.44305275984078
"SPAST",1.88019519425049
"EIF4G2",-3.31205844803875
"LRRFIP1",-3.06563982216463
"TUBB2A",11.3765398547018
"GGNBP2",-5.2549746003202
"ARHGAP44",-7.89543086595957
"CARD14",-8.54558449483493
"CIC",-7.3088133571907
"DIP2C",-6.10508022645427
"RIPOR3",-8.34992010313439
"CCNT2",-1.5615043876028
"ZC3H14",-6.74302827589201
"PER2",-7.72554158734597
"DCAF7",-2.74558582429808
"MAP2K7",-6.64272349790335
"AMOTL1",-5.23236748523519
"HBD",-3.55420397484846
"PSMC5",-4.96655399679819
"FOXP2",-3.52336781904713
"DACT1",-4.50161432712459
"PAPOLG",-4.466756617656
"FBXW5",-7.37744845516416
"POTEH",-5.65604488321152
"CTB-186H2.3",-5.67125973146693
"FLJ00273",-5.67336913272896
"CD93",-6.8167044034591
"MFHAS1",-5.90655179653626
"BTRC",-3.39753653444941
"FBH1",-6.38959850871701
"ANO9",-8.53389212619585
"SETD1A",-11.8661411685356
"WNT9B",-7.42528597259126
"LRRC4",-5.68649574463146
"NPIPB5",-6.50222937978149
"ZNF462",-6.11535937433016
"ZMAT5",-6.81045925378874
"TLE3",-3.71055619546499
"CYP17A1",-7.44497123693293
"EFR3A",-5.83232793225886
"ULK1",11.1077232259825
"S100G",-5.74207023980694
"TRERF1",-5.30241433584749
"IFRD2",-7.72061346010911
"EIF2A",-6.24340206162127
"MOB4",-1.64788404413841
"ANKS4B",-7.18060594440172
"FAM72A",-5.15438287572125
"PARN",-6.66408134227325
"GSTM1",-5.91549172684636
"DNTT",-5.67206265236081
"SNTA1",-7.16534329997861
"KRTAP2-2",-5.77765236068139
"HECTD4",-10.8394241104992
"DEFB128",-5.79140962164448
"TGM6",-8.75792314168363
"NBPF12",-5.94871062744513
"KLHDC10",-2.11289432308736
"HTN1",-5.79671510544983
"SLC28A1",-6.9470690873994
"KATNAL2",-8.62710697536312
"ING1",-6.60331894634286
"MGRN1",-7.52056410516413
"SLC25A46",-7.34871350267393
"CHN2",-3.03400077246583
"C19orf33",-5.81851872344144
"WWC2",-5.53348923507931
"TOP3B",-7.30517229458255
"PRR12",-6.40827703565859
"TTC12",-7.47677186473002
"KCNT1",-9.72865997841051
"MCPH1",-7.32701011116763
"GSS",-9.7820763796488
"MOGS",-7.97277460914595
"PRAMEF10",-5.84359188035162
"HMGN2",-0.665269844766584
"KRTAP5-2",-5.72634451930686
"EIF2AK1",-6.12644233508876
"PPP1R17",-8.0210439348556
"ERI1",-6.10884680285725
"NRG4",-5.81997933734003
"EMSY",-8.54968039638181
"TCEAL1",-4.88608628796601
"MBNL1",-6.10674612293046
"KIAA0232",4.42902024375246
"DUS1L",-6.8520898439222
"TMEM140",-5.79747531098176
"GRIN1",-9.05611623755079
"SLC16A1",-6.5848643982024
"IFNA5",-5.89376641666233
"HIST1H1A",-6.5641024473456
"TCF24",-5.90133249928191
"RYBP",-1.1655164849016
"HIST1H2BK",-4.3734014470353
"RPS6KA3",-7.17157563758546
"HIST1H1E",-6.86741766769434
"MYH2",-12.7148007612548
"TOMM7",-2.55692225763128
"TMEM14C",-5.20015322470147
"RIPPLY1",-5.94586652134191
"SMIM15",-3.4703069001726
"TPBGL",-5.95047644617973
"BDKRB2",-6.69136157899521
"NRSN2",-6.05792410223112
"IFITM1",-5.02193693199766
"ARF1",-1.67569451779793
"MSH2",-7.99851579215123
"SCNN1D",-6.52346734417866
"RAC3",-7.60052125421047
"RPS12",-0.628951893481284
"SMIM22",-5.97978766736879
"NBPF20",1.8852990274684
"ZNF71",-4.82171718327859
"EFCAB9",-6.01616295399346
"C2orf72",-4.20734510035092
"PTMS",-1.81073999224863
"ZNF580",-5.22701527012
"ARF3",-7.57603616376742
"MLANA",-6.3244580843135
"LLPH",-6.44372446713558
"LSM10",-6.668846276182
"GSTA2",-6.03013646991615
"C3orf56",-6.02591289218902
"BST2",-8.65996435135465
"WASHC3",-6.06922771393994
"GATC",-3.657326606989
"TGFBR3L",-6.55213635807741
"VIP",-5.73657382086222
"UBA6",-4.24315000654331
"NUDCD2",-7.33805529121141
"FCER1G",-9.62090211756397
"YWHAZ",-1.40291726956646
"MKX",-6.90038844762543
"BPIFA1",-6.06668530731226
"IL3",-6.06843352205183
"VPREB3",-6.37077661962583
"ABCC5",-6.77955781245354
"MDFI",-5.84104941605231
"CA3",-4.17716693171918
"CD59",-4.86086671659377
"C4orf19",-6.95298819556794
"CARHSP1",-7.16398133343115
"CDH13",-3.62286894942081
"CORO2B",-3.66895611846315
"NDUFB6",1.68911851673192
"UMODL1",-3.38873181055405
"MRPS28",-7.12612493188485
"HHAT",-8.12700268379706
"SPP2",-6.11207888636613
"ASB17",-6.12379920044362
"PLA2G16",-7.44095868085937
"SLC6A13",-5.77019614437557
"PCDHA8",-6.55826885110892
"TMEM179",-4.57484018183654
"ZNF781",-2.05174567386878
"C11orf24",-6.96706795500604
"GALNT18",-6.69945434632708
"GADD45G",-4.70716728082299
"TLR3",-7.94072208883455
"IL27",-6.15242654137537
"ISL2",-7.91669131520134
"ARHGAP18",-7.28617430089998
"NCKAP1L",-10.9918177751821
"GLYAT",-6.16488555809178
"CST2",-6.16204053228611
"GHRL",-6.16271794157052
"ZDHHC2",-7.78108455482465
"PTPRE",-8.00520106829115
"SNAPC4",-6.6425059249512
"KRTAP10-6",-6.16579528578843
"PRR32",-6.166604035526
"TMEM39B",-6.11646969934239
"LYPD4",-6.18653082056885
"TMEM249",-5.09241297918759
"FPR3",-6.18960605332009
"DCDC2B",-7.19150661922324
"EBF1",-0.569200238852749
"MADCAM1",-6.1712257955615
"AMPD1",-7.63076321713086
"DOT1L",-7.6454761694395
"RNF151",-6.23128435621599
"PRDX6",-4.11988940477843
