,0,1,2,3,4,5,6,7
SCN2A,0.98846155,0.9910036,0.9925518,0.9880614,0.98914504,0.9888395,0.99501634,0.9892924
CHD8,0.9956964,0.9966266,0.99727154,0.99552965,0.9959787,0.99565125,0.9981628,0.9959798
ADNP,0.9962376,0.997198,0.9976765,0.9961556,0.99655056,0.9964239,0.99853754,0.99659395
SHANK3,0.9993819,0.9996917,0.99963665,0.99938715,0.9994781,0.9992471,0.99983627,0.9991647
PTEN,0.98849666,0.9911152,0.9927361,0.9881164,0.98965967,0.9886781,0.9951432,0.99008775
SYNGAP1,1.0012574,1.000942,1.0008969,1.0014724,1.0011541,1.001274,1.0005616,1.0008552
MECP2,0.9976847,0.99824905,0.9986479,0.9976396,0.9982159,0.9976324,0.9990307,0.99815667
KDM5B,0.9926382,0.99420506,0.9953184,0.99230677,0.993443,0.99281776,0.99674726,0.99339163
FOXP1,0.99443245,0.99583876,0.99646497,0.9942298,0.99499583,0.9946448,0.99769473,0.99497795
ARID1B,0.9954585,0.9965302,0.99723136,0.9954809,0.9959135,0.9958354,0.99818236,0.99612665
POGZ,0.9953313,0.9963329,0.9971293,0.99537647,0.9955182,0.99571735,0.9980783,0.9963886
ASH1L,0.99708414,0.99774885,0.9980412,0.9968512,0.9970429,0.9971981,0.99869084,0.9973825
KMT5B,0.99398947,0.9954463,0.9961293,0.99374115,0.9942464,0.9943365,0.9974997,0.99441814
SLC6A1,0.9940773,0.99548614,0.9960126,0.99362314,0.99421066,0.9940677,0.9974091,0.9950609
GIGYF1,0.9972092,0.99780625,0.99818134,0.99704444,0.9975353,0.996987,0.99875116,0.9972793
DYRK1A,0.9990486,0.9994669,0.99927247,0.99887276,0.9986955,0.99935913,0.9996519,0.9992609
CHD2,0.9956293,0.9965856,0.99733484,0.9955634,0.99640465,0.9956883,0.99812555,0.9960537
ASXL3,0.9933504,0.99477196,0.99544567,0.9927124,0.99346244,0.99313855,0.9970349,0.99397355
TAOK1,0.996445,0.9972284,0.99764776,0.9961971,0.9963641,0.9965677,0.99844277,0.9968548
DNMT3A,0.9946836,0.9959063,0.9969505,0.99488014,0.9957349,0.99502754,0.9978901,0.99552333
GRIN2B,1.0048147,1.0037626,1.0030844,1.0050052,1.0041995,1.0046589,1.0021013,1.0040889
BRSK2,0.9969442,0.9976592,0.9981314,0.99697334,0.99738896,0.9971665,0.9987459,0.9968838
KMT2A,0.99298716,0.99455434,0.99534816,0.992491,0.9935812,0.9928632,0.99687576,0.9932759
NF1,0.9972111,0.99776256,0.99819756,0.9971485,0.9970993,0.99731237,0.99879074,0.9975292
STXBP1,0.99558914,0.99654454,0.99715114,0.9953878,0.9957522,0.99578094,0.9980638,0.9961045
CUL3,0.9963373,0.9973077,0.997766,0.996224,0.99702775,0.9964527,0.9985131,0.9966531
MED13L,0.99899447,0.9991195,0.999475,0.9992333,0.99879456,0.9993356,0.99962544,0.99912715
ANK2,0.9933376,0.99472713,0.995626,0.9929879,0.99331456,0.99370354,0.9970477,0.9939003
MYT1L,0.9919489,0.99384165,0.9947955,0.9915798,0.9924612,0.99239683,0.996511,0.9922837
RORB,1.0051354,1.0037138,1.0029626,1.0050046,1.0039045,1.0046961,1.0019451,1.0039887
TBL1XR1,0.9960927,0.99704754,0.99750996,0.99590254,0.99661183,0.99605405,0.99833214,0.9964386
TBR1,0.99097544,0.9930371,0.9947213,0.99111044,0.99244875,0.991729,0.9963418,0.9938699
DYNC1H1,0.9947515,0.9959041,0.9964453,0.99430144,0.9949013,0.9947069,0.997632,0.99505913
WAC,0.99557686,0.9966343,0.997105,0.9953161,0.9956591,0.9956803,0.9981178,0.995857
PHF21A,0.9982151,0.998811,0.9989776,0.99821603,0.9985354,0.99846435,0.99936986,0.9991395
KDM6B,0.9960251,0.99703187,0.9975354,0.9959238,0.9964123,0.99628925,0.9984137,0.99630284
DDX3X,0.9959235,0.9968487,0.9974942,0.99590874,0.9962034,0.99612,0.9983393,0.99635524
CTNNB1,0.9943713,0.99572444,0.9965055,0.9941888,0.99514365,0.99455416,0.99766827,0.9951674
MED13,0.9911542,0.99308205,0.99443656,0.9909165,0.99242806,0.99125326,0.99616337,0.99176
ANKRD11,0.99372005,0.9951061,0.9957676,0.99314487,0.994184,0.99344736,0.99714863,0.9939421
CTCF,0.9938674,0.9952197,0.9960116,0.9934335,0.9945321,0.9937043,0.9972857,0.9945198
RFX3,0.9969562,0.99767184,0.997779,0.99646175,0.9970921,0.99666715,0.9985182,0.99699503
ARHGEF9,1.0007482,1.0007795,1.0007026,1.0010152,1.0008593,1.000987,1.0005575,1.000611
SHANK2,0.99610484,0.9969258,0.9973024,0.9957559,0.99625444,0.9958669,0.9981947,0.99663264
DEAF1,0.99885005,0.99912095,0.9991958,0.99876606,0.99871385,0.99872583,0.9995029,0.9991343
SMARCC2,0.99633944,0.9972123,0.99753845,0.996013,0.99654424,0.9963871,0.998396,0.99662614
TLK2,0.99689686,0.99781305,0.9981354,0.9968549,0.9975692,0.99689204,0.99881494,0.9972446
TCF20,0.99854624,0.99881923,0.99887586,0.9982951,0.99829805,0.9985447,0.99926305,0.99811584
CNOT3,1.0002985,1.0002898,1.0005753,1.0007814,1.0007713,1.000575,1.0003543,1.0007983
SYNCRIP,0.9922111,0.99406624,0.99499476,0.9918361,0.99293244,0.9923627,0.9967094,0.9928863
SETD5,0.99887925,0.9991299,0.99916065,0.9986405,0.9988406,0.9986393,0.99944466,0.9987961
NAA15,0.99824476,0.99859476,0.99895406,0.998318,0.9982127,0.9983803,0.9993131,0.9984039
SCN1A,0.99542385,0.99675703,0.9976045,0.9957298,0.9971705,0.9955833,0.9983507,0.99652195
EHMT1,0.99785703,0.99819636,0.99861145,0.99780834,0.99771935,0.9979635,0.99908155,0.9980581
TCF4,0.99375415,0.9951178,0.9960723,0.9935581,0.9945673,0.99367785,0.99729884,0.99424833
SRPRA,1.0000123,0.99990654,1.0000217,1.0000156,0.99987876,0.9998478,0.99997735,1.0003217
MARK2,1.0020857,1.0018405,1.0010463,1.0017369,1.0017089,1.0016246,1.0008312,1.0011137
KMT2C,0.9930198,0.9944515,0.995306,0.9924675,0.99337244,0.9929025,0.99680537,0.9935287
MBD5,0.9994862,0.99955726,0.9997384,0.9994982,0.99977446,0.99938905,0.9997924,0.9997921
NRXN1,0.99349225,0.9948919,0.9958087,0.9932265,0.9939482,0.9935961,0.9971167,0.99373984
IRF2BPL,0.9916843,0.993452,0.9946415,0.99135137,0.9922366,0.99169266,0.99633586,0.99276257
PHIP,0.9941166,0.9953647,0.9961544,0.9938401,0.99440145,0.994138,0.99738586,0.9943976
NFE2L3,1.0058174,1.0045311,1.003634,1.0059369,1.0051329,1.0056274,1.0024841,1.005035
SKI,0.99930835,0.9994433,0.9992852,0.9989531,0.99894136,0.9988101,0.9995625,0.9989755
PSMD12,1.0013664,1.0009503,1.001217,1.0018994,1.0015557,1.0015721,1.0007496,1.0014085
KCNB1,1.0044327,1.0035577,1.0029366,1.0048091,1.0039496,1.0044222,1.0020547,1.0032585
CSDE1,0.9942514,0.9955549,0.99626136,0.99393463,0.9945858,0.99444234,0.99750245,0.9948466
TSC1,0.99775916,0.9984884,0.99851835,0.9974734,0.9981952,0.9977058,0.9991095,0.9976759
DMWD,0.9933396,0.99478126,0.9958581,0.9932532,0.99399954,0.9933804,0.9972009,0.9939947
CLCN4,0.99282765,0.9944225,0.99544847,0.9925511,0.9934919,0.9932044,0.99694294,0.99392545
MEIS2,0.9950084,0.99647737,0.9967015,0.9946954,0.99519694,0.99556,0.9979943,0.99511075
PBX1,0.993628,0.99501634,0.9957184,0.9931574,0.99367666,0.9937806,0.9971525,0.9939788
HNRNPD,0.9969959,0.9976652,0.998127,0.9969518,0.9972242,0.99709755,0.998736,0.9970535
BCL11A,0.9951918,0.99625003,0.9968375,0.99485254,0.9956312,0.9951186,0.9978768,0.99496615
TCF7L2,0.99929714,0.99976546,0.9999993,0.99969614,1.0004954,0.9994324,1.0000749,0.9996655
WDFY3,0.991644,0.99341726,0.9946496,0.99124414,0.9925374,0.99165523,0.99629194,0.99250513
PHF3,1.0001636,1.0000788,0.9999896,1.0000434,0.99974746,1.0001099,0.9999815,1.0003922
SETBP1,0.9992732,0.9994814,0.9994943,0.9991287,0.99940455,0.99912417,0.99969333,0.9991499
TGM1,1.003778,1.0029562,1.0024776,1.0040553,1.0031953,1.0038531,1.0017209,1.0031327
EBF3,0.98015606,0.98462784,0.98746395,0.97947484,0.9823597,0.98066986,0.9914696,0.9812838
PPP2R5D,1.0028644,1.002434,1.0019559,1.0030907,1.002905,1.0027331,1.0013993,1.0024023
TAF4,0.99841535,0.99870384,0.9990125,0.9983387,0.9986167,0.99820864,0.99934536,0.9989784
KCNQ2,0.9985907,0.9990067,0.999441,0.9988698,0.99936604,0.9985951,0.99964136,1.00002
CAPRIN1,0.9991212,0.99932635,0.999303,0.99892914,0.99906105,0.9989634,0.99958444,0.9988177
DSCAM,1.001466,1.0010934,1.0011564,1.0019648,1.000801,1.0020663,1.0008307,1.0021433
GABBR2,0.99550545,0.9965062,0.997033,0.9952281,0.9958619,0.9954853,0.9979923,0.99529266
PRKG2,0.9936875,0.99555814,0.9960796,0.9934478,0.9946002,0.9943454,0.9976324,0.99524313
UBN2,0.9962201,0.9969884,0.9974954,0.99596137,0.9965807,0.9960525,0.9982924,0.996168
MEF2C,1.0032146,1.0024531,1.0017186,1.0029918,1.0019076,1.0030375,1.0012498,1.0024326
TRIP12,0.9932315,0.994936,0.9959099,0.99309003,0.9945853,0.9934418,0.9972414,0.99428225
EP300,0.9987453,0.9989771,0.9992728,0.9988154,0.9988594,0.99874854,0.9994949,0.9986075
NR3C2,1.0003502,1.0003172,1.0003581,1.0004549,1.0006621,1.0003002,1.0002086,1.0004725
ARHGEF18,1.0005816,1.0004227,1.0003133,1.0005713,1.00022,1.0004058,1.0002322,1.0011579
TNPO3,0.9965252,0.99724007,0.9981487,0.9968437,0.99720067,0.9970095,0.99865484,0.9972793
SMAD6,1.0002272,1.0002326,1.0003419,1.000485,1.0000699,1.0004885,1.0002595,1.0006902
AMOT,0.998947,0.9995115,0.99929714,0.9986601,0.99953735,0.99874586,0.9996921,0.9991754
AUTS2,0.993459,0.9948839,0.99565613,0.9929774,0.9938071,0.9935324,0.99707264,0.9939041
NCKAP1,0.99515474,0.99628943,0.9967312,0.9947376,0.9952919,0.99511445,0.997823,0.9953481
DLG4,0.9914572,0.9931411,0.9948131,0.99155974,0.99223083,0.991886,0.99638665,0.99311924
ECPAS,1.0002415,1.0003092,1.0002959,1.0004205,1.0001801,1.0005221,1.000242,0.9999496
PRKAR1B,0.9954514,0.99656385,0.9973377,0.995522,0.99631375,0.99567235,0.99822235,0.99625564
FUBP3,0.99860394,0.9991816,0.9993396,0.99874073,0.9992395,0.99849635,0.99968076,0.9985864
GRIA2,0.9904541,0.9926557,0.9940133,0.9902189,0.9914549,0.9908816,0.9959745,0.991163
CCDC40,1.0052679,1.0040271,1.0033658,1.0053993,1.0050387,1.0049558,1.0021522,1.0040504
GABRA1,1.0033829,1.0024434,1.002038,1.0035858,1.002414,1.0036451,1.0013603,1.0021063
TSC2,0.9940294,0.9955218,0.99633145,0.9939357,0.9950861,0.99416924,0.9975543,0.99402666
C1orf185,0.9971036,0.99783415,0.99823093,0.9970516,0.9974482,0.9972316,0.99884033,0.9975717
METTL23,0.99669766,0.9975395,0.99799293,0.9965991,0.99740773,0.996655,0.998633,0.99752617
HNRNPUL2,0.9959154,0.9969503,0.99742955,0.9957265,0.9964614,0.99595225,0.99834025,0.9966762
PAX5,0.9872583,0.9902843,0.9919623,0.9868658,0.98873496,0.98785484,0.99459726,0.98830026
ATF4,0.99631906,0.9971639,0.9976951,0.9962473,0.99642766,0.99656665,0.99849474,0.996787
RERE,0.9967393,0.99752104,0.9978547,0.99653065,0.99677575,0.9967874,0.9986191,0.9970573
DHFR2,1.0025136,1.0018176,1.0017148,1.0028126,1.0019457,1.0026003,1.0011325,1.0029322
TMC4,1.0026462,1.0021107,1.0017791,1.00284,1.0020597,1.0028749,1.0012507,1.0029182
FXYD5,0.9943397,0.9954949,0.9963209,0.9939834,0.9951483,0.9940075,0.99738866,0.9940541
EBAG9,0.99958414,0.9998251,0.9998423,0.999683,0.9999577,0.9998299,1.0000112,1.00021
ITGB5,0.99908316,0.9993592,0.9991983,0.99869573,0.9989159,0.99886626,0.99952495,0.99936616
INTS2,1.0004212,1.0005177,1.0004792,1.0005888,1.0011303,1.0003829,1.0004106,1.0004374
RAI1,0.9968854,0.9973883,0.99805236,0.99690056,0.9968612,0.99700904,0.9986435,0.9971564
FOXG1,0.99418557,0.99558103,0.996511,0.9942088,0.99488825,0.9946335,0.9976729,0.9953468
PLEKHG6,0.99827147,0.99864787,0.9989053,0.9981977,0.9984589,0.9982374,0.9992484,0.99826336
MAVS,0.9979428,0.9983852,0.99876,0.99794495,0.99821293,0.99775404,0.9991537,0.9988079
C1QC,0.9928769,0.9943949,0.99532163,0.9925548,0.99328315,0.9929452,0.9968465,0.99320424
TMEM116,1.0000999,0.9999726,1.0004412,1.0006078,1.0001352,1.0006856,1.0001973,1.0013822
SIN3A,0.9981101,0.9986429,0.9989548,0.998381,0.9977976,0.9988885,0.99942786,0.99853355
ANP32A,0.9973613,0.99792993,0.9983235,0.9972745,0.99745256,0.997312,0.9988977,0.997882
PRR14L,0.99509317,0.996063,0.99685574,0.9948845,0.99516773,0.9953703,0.99785286,0.9968453
CSNK2B,0.99491644,0.9961144,0.99700594,0.99501336,0.9957474,0.9952632,0.99795306,0.99572533
PMM2,1.0079322,1.0064021,1.0048407,1.0078694,1.0070059,1.0074952,1.0034357,1.0063874
PFN2,0.9996996,0.9997821,0.99984825,0.9997331,0.9995254,0.99987996,0.9999218,0.9999862
LMTK3,1.0021288,1.0015574,1.0013583,1.0022972,1.0015149,1.002131,1.0008924,1.0016589
SPRY2,0.99663436,0.9974779,0.9981736,0.9968759,0.997579,0.9967091,0.9987849,0.9972353
CMPK2,1.0028992,1.0024618,1.0021311,1.0033871,1.0027447,1.0033058,1.0015782,1.0024121
IQSEC2,1.0093348,1.0070806,1.0059259,1.0098602,1.0076021,1.0094349,1.0039846,1.007825
RIPK1,1.0018654,1.0014982,1.0011731,1.0019445,1.0013046,1.0021642,1.0008128,1.0018145
TPK1,0.9989494,0.9991398,0.9994758,0.9991025,0.99921316,0.99891686,0.9995693,0.99904263
CASZ1,1.0078483,1.0059024,1.0048102,1.0080813,1.006248,1.007465,1.0032399,1.0065358
ZBTB45,1.001229,1.0010319,1.0009143,1.0015013,1.0009505,1.0015501,1.000699,1.0017617
NUDT17,0.9994719,0.9996963,0.9996085,0.9992814,0.9996005,0.9993191,0.9998131,0.9993843
FANCE,1.0034447,1.0026441,1.0022765,1.003732,1.0027251,1.0035025,1.0016117,1.0034189
ZNF396,1.0021689,1.0018321,1.0015422,1.0024967,1.001822,1.0025465,1.0011833,1.0027301
NR4A2,0.9849695,0.9884082,0.9904871,0.98440254,0.98634565,0.985546,0.9935992,0.98723334
TBCEL,1.0002148,1.0001616,1.0005083,1.0007858,1.0004414,1.0003918,1.0003518,1.0002464
ADAM21,0.9969723,0.9977237,0.9981342,0.9968987,0.9973333,0.99707174,0.9987705,0.9973818
TCF3,0.9959534,0.99667776,0.99731976,0.99564254,0.9963617,0.99543154,0.9981122,0.99597126
AAAS,0.99378306,0.995459,0.9965174,0.99396974,0.99551463,0.9942279,0.99766827,0.99541044
CELF6,1.0020756,1.0017607,1.0013309,1.0021111,1.0016932,1.0022733,1.000978,1.0015512
INSC,0.99803156,0.9985511,0.9989008,0.99808156,0.9984542,0.9982567,0.99926835,0.9986463
ZMYND8,0.99610716,0.9970737,0.99743956,0.9958268,0.99658704,0.99598753,0.9983269,0.99614346
CLTC,0.9948963,0.99605477,0.99669695,0.99466825,0.99499464,0.9951153,0.9978063,0.9955826
TCHHL1,0.9972958,0.9979758,0.99834156,0.9972415,0.9975933,0.9974085,0.9989146,0.9977155
CTDSPL2,1.0040402,1.0031978,1.0026507,1.0043272,1.0032372,1.0041133,1.0019109,1.0041198
ZNF292,0.9916395,0.99347085,0.99448264,0.9911035,0.99219084,0.99166274,0.9962574,0.9919324
KCNQ3,1.0005653,1.000462,1.0004044,1.00064,1.0003042,1.0004784,1.0003157,1.0003953
RALGAPB,1.0032946,1.0024905,1.0020245,1.0035038,1.0021092,1.00331,1.0014448,1.0028957
SRCAP,1.0023273,1.0018561,1.001291,1.0021063,1.0022132,1.0016005,1.0008942,1.0015578
RAB11FIP4,0.99339634,0.99485314,0.9959687,0.9933897,0.99415576,0.9938855,0.9972687,0.99445635
ZNF865,1.0034959,1.0028433,1.0021626,1.0034016,1.0034181,1.0029985,1.0015363,1.0033262
CASKIN1,0.99952805,0.9999527,0.999758,0.99947715,1.0001154,0.9997331,0.9999554,0.9996042
RANBP17,1.007117,1.0059394,1.004184,1.0069071,1.0059288,1.0069531,1.0030935,1.0050669
FBN1,1.0074086,1.0059363,1.0051104,1.0084069,1.005991,1.0082881,1.0036749,1.0070964
ACTB,0.9944737,0.9956397,0.9963129,0.9940722,0.9947218,0.99449205,0.9975022,0.99458313
CNNM2,1.0061593,1.0048959,1.003962,1.0064245,1.0054712,1.0061367,1.0027833,1.0055476
TSHZ1,1.0022227,1.0020854,1.0013888,1.0021923,1.0023422,1.0019438,1.0011029,1.0012503
UPF3B,1.0006882,1.0006044,1.0005479,1.0007744,1.0009038,1.0006981,1.0003861,1.0009036
PHF2,1.0002203,1.0002893,1.0002506,1.0003587,0.99995637,1.0005496,1.0002501,1.0004911
FMR1,1.0012038,1.0010539,1.000813,1.0012989,1.0011528,1.0010643,1.0006326,1.0010723
MIB1,0.9967614,0.99759907,0.99799806,0.9966416,0.99716806,0.99685305,0.9987254,0.99711376
FADS1,0.99836653,0.9987458,0.9989106,0.99820745,0.99847364,0.9982847,0.99928236,0.99884653
FRMD7,0.9972241,0.99792415,0.9983021,0.99717224,0.997543,0.9973445,0.99888825,0.99766517
LDB1,1.0012734,1.0007117,1.0006588,1.0011485,1.0007902,1.0007503,1.0003624,1.001569
PCDH19,0.9995161,0.99975663,0.99960774,0.9995592,0.9987993,0.9998449,0.9999138,0.999419
EIF3G,0.99837804,0.9987314,0.99901587,0.9983684,0.99868155,0.9982388,0.9993416,0.9984107
MYO1E,1.0011675,1.0010442,1.0007994,1.0010962,1.0016198,1.0008376,1.0005484,1.0009515
ZFAND5,0.997851,0.99831605,0.99847144,0.9976292,0.9975303,0.9978233,0.99904704,0.99766207
CFAP410,1.0009589,1.0008715,1.0008252,1.0012791,1.0010035,1.0011212,1.0006366,1.0010567
BICRA,1.0022962,1.0017977,1.0015541,1.0024602,1.0021725,1.0020956,1.0010837,1.0027087
MYBL2,0.99624246,0.99706215,0.99746263,0.995947,0.9965731,0.995442,0.9983618,0.9960183
KIAA1958,1.0036749,1.0030057,1.0023396,1.0037718,1.0034384,1.0034907,1.0017225,1.0029749
GABRG2,0.9992185,0.9992823,0.999385,0.99912095,0.99873245,0.9991547,0.9995526,0.9984754
SKIDA1,0.99997973,0.9999314,0.99996674,0.9999093,1.0002058,0.99966145,0.9998807,0.9995563
PSMA3,0.99774814,0.9984238,0.9987149,0.9977734,0.9983344,0.9979019,0.9991789,0.9979958
TTC37,0.99652284,0.9973594,0.9975915,0.99608105,0.99675536,0.99628127,0.99840194,0.9970772
PCYT1A,1.0062304,1.0051289,1.004059,1.0064502,1.0058233,1.006446,1.002921,1.0062916
AP1G1,0.99742675,0.9978659,0.99848866,0.99751437,0.9977658,0.9974055,0.99890006,0.99820155
FEZF2,0.9880023,0.9909977,0.99302566,0.98816407,0.990379,0.988773,0.99529696,0.990822
FGF19,0.9976344,0.99825895,0.9986284,0.9976698,0.99798226,0.9977865,0.9991122,0.99797034
MSL3,1.0011096,1.0008628,1.0004948,1.0009216,1.0003495,1.0008135,1.0004098,1.0005993
SON,0.9945705,0.99571335,0.99645466,0.9942802,0.9948529,0.9946693,0.9975958,0.99487066
DNAJC5,0.99452186,0.9957968,0.9965778,0.99435866,0.99535245,0.99471307,0.9976603,0.9953768
FBXO22,1.0008297,1.0006523,1.0007845,1.0012445,1.0010915,1.0008831,1.000499,1.0012059
TNFRSF8,0.99826324,0.99873585,0.99899346,0.9983376,0.9985144,0.9984788,0.99937445,0.9983364
HDAC11,1.0032959,1.0026585,1.0020803,1.0033425,1.0031514,1.0030072,1.0014355,1.0028415
SSR2,0.9989949,0.99925196,0.9994266,0.99903077,0.9989747,0.99908465,0.99964345,0.99944794
ACTG1,0.99378085,0.9950769,0.99585783,0.99334526,0.9940735,0.99378777,0.997185,0.99397016
PNN,0.9979732,0.9984268,0.9986171,0.9977671,0.998074,0.99786353,0.9990997,0.99831516
RUNX1T1,0.9875522,0.9902514,0.99182314,0.9868504,0.988227,0.9877073,0.99449635,0.98870933
APBB1,0.9979018,0.99832076,0.99876845,0.9979362,0.9981666,0.99806964,0.99911296,0.99848425
CERS4,0.9951676,0.9966896,0.9973892,0.9954244,0.996593,0.9957808,0.99839306,0.9965664
CELF4,0.9853646,0.98852015,0.99056196,0.9847263,0.9864056,0.98566675,0.9935748,0.9866663
