,0,1
SCN2A,-0.07596994,-2.6151626
CHD8,-0.037083518,-3.313068
ADNP,-0.04503206,-3.122811
SHANK3,-0.023212135,-3.7746632
PTEN,-0.056757126,-2.8972187
SYNGAP1,-0.01803289,-4.024564
MECP2,-0.025380626,-3.6864314
KDM5B,-0.048599593,-3.0483425
FOXP1,-0.038561944,-3.2747097
ARID1B,-0.044547953,-3.1333802
POGZ,-0.040984448,-3.2149856
ASH1L,-0.03908174,-3.2615757
KMT5B,-0.051330928,-2.9950173
SLC6A1,-0.038637757,-3.2727804
GIGYF1,-0.032467645,-3.4436994
DYRK1A,-0.02870172,-3.5651152
CHD2,-0.037222844,-3.3093853
ASXL3,-0.060349476,-2.8376255
TAOK1,-0.044346128,-3.1378202
DNMT3A,-0.032268096,-3.4497676
GRIN2B,-0.020069858,-3.918553
BRSK2,-0.031300258,-3.4797394
KMT2A,-0.060195487,-2.840105
NF1,-0.03344911,-3.4144073
STXBP1,-0.04068519,-3.222166
CUL3,-0.034468655,-3.3848903
MED13L,-0.034927275,-3.3718991
ANK2,-0.068505056,-2.714904
MYT1L,-0.056925837,-2.8943346
RORB,-0.020494133,-3.8978484
TBL1XR1,-0.03657762,-3.3265512
TBR1,-0.018086392,-4.021623
DYNC1H1,-0.052126948,-2.9800231
WAC,-0.046098046,-3.0999444
PHF21A,-0.031327523,-3.4788826
KDM6B,-0.03306709,-3.4257054
DDX3X,-0.036261745,-3.3350666
CTNNB1,-0.037336428,-3.306396
MED13,-0.042104132,-3.1885877
ANKRD11,-0.048851766,-3.0432904
CTCF,-0.046286203,-3.0959651
RFX3,-0.035044916,-3.3685958
ARHGEF9,-0.027744338,-3.5985618
SHANK2,-0.050199315,-3.0167491
DEAF1,-0.023596775,-3.7584214
SMARCC2,-0.044603024,-3.1321714
TLK2,-0.027974583,-3.5904126
TCF20,-0.040116407,-3.2359614
CNOT3,-0.018160848,-4.017556
SYNCRIP,-0.054033253,-2.94505
SETD5,-0.033781085,-3.4046981
NAA15,-0.03409094,-3.39572
SCN1A,-0.035953827,-3.3434427
EHMT1,-0.0462697,-3.0963147
TCF4,-0.046187975,-3.0980399
SRPRA,-0.02217906,-3.8196754
MARK2,-0.01775596,-4.0399
KMT2C,-0.061635904,-2.8171706
MBD5,-0.024473801,-3.722362
NRXN1,-0.053832993,-2.948665
IRF2BPL,-0.055012405,-2.9275758
