"","genes","HGNC","conditions","group","labels"
"68","BRSK2","BRSK2","SPARK.risk","SPARK.risk.xz","BRSK2"
"69","TAOK1","TAOK1","SPARK.risk","SPARK.risk.xz","TAOK1"
"70","STXBP1","STXBP1","SPARK.risk","SPARK.risk.xz","STXBP1"
"71","NF1","NF1","SPARK.risk","SPARK.risk.xz","NF1"
"72","CTCF","CTCF","SPARK.risk","SPARK.risk.xz","CTCF"
"73","RORB","RORB","SPARK.risk","SPARK.risk.xz","RORB"
"74","MYT1L","MYT1L","SPARK.risk","SPARK.risk.xz","MYT1L"
"75","TBL1XR1","TBL1XR1","SPARK.risk","SPARK.risk.xz","TBL1XR1"
"76","MED13L","MED13L","SPARK.risk","SPARK.risk.xz","MED13L"
"77","KMT2A","KMT2A","SPARK.risk","SPARK.risk.xz","KMT2A"
"78","TBR1","TBR1","SPARK.risk","SPARK.risk.xz","TBR1"
"79","RFX3","RFX3","SPARK.risk","SPARK.risk.xz","RFX3"
"80","ANK2","ANK2","SPARK.risk","SPARK.risk.xz","ANK2"
"81","WAC","WAC","SPARK.risk","SPARK.risk.xz","WAC"
"82","PHF21A","PHF21A","SPARK.risk","SPARK.risk.xz","PHF21A"
"83","SMARCC2","SMARCC2","SPARK.risk","SPARK.risk.xz","SMARCC2"
"84","KDM6B","KDM6B","SPARK.risk","SPARK.risk.xz","KDM6B"
"85","ARHGEF9","ARHGEF9","SPARK.risk","SPARK.risk.xz","ARHGEF9"
"86","DDX3X","DDX3X","SPARK.risk","SPARK.risk.xz","DDX3X"
"87","DYNC1H1","DYNC1H1","SPARK.risk","SPARK.risk.xz","DYNC1H1"
"88","ANKRD11","ANKRD11","SPARK.risk","SPARK.risk.xz","ANKRD11"
"89","DEAF1","DEAF1","SPARK.risk","SPARK.risk.xz","DEAF1"
"90","CNOT3","CNOT3","SPARK.risk","SPARK.risk.xz","CNOT3"
"91","TCF20","TCF20","SPARK.risk","SPARK.risk.xz","TCF20"
"92","SHANK2","SHANK2","SPARK.risk","SPARK.risk.xz","SHANK2"
"93","TLK2","TLK2","SPARK.risk","SPARK.risk.xz","TLK2"
"94","MARK2","MARK2","SPARK.risk","SPARK.risk.xz","MARK2"
"95","TCF4","TCF4","SPARK.risk","SPARK.risk.xz","TCF4"
"96","NAA15","NAA15","SPARK.risk","SPARK.risk.xz","NAA15"
"97","SETD5","SETD5","SPARK.risk","SPARK.risk.xz","SETD5"
"98","CLCN4","CLCN4","SPARK.risk","SPARK.risk.xz","CLCN4"
"99","KMT2C","KMT2C","SPARK.risk","SPARK.risk.xz","KMT2C"
"100","EBF3","EBF3","SPARK.risk","SPARK.risk.xz","EBF3"
