,week_10:hPeric,week_10:hRgl2a,week_11:hRgl2a,week_10:Unk,week_11:hPeric,week_9:Unk,week_6:hProgFPM,week_8:Unk,week_11:hRgl2b,week_9:hGaba,week_6:hProgBP,week_8:hNbM,week_8:hNProg,week_11:hEndo,week_11:Unk,week_6:hProgM,week_6:hProgFPL,week_6:Unk,week_8:hProgBP,week_8:hNbML1,week_9:hNbML5,week_8:hOMTN,week_6:hNProg,week_6:hOMTN,week_11:hRgl3,week_10:hEndo,week_8:hProgFPM,week_8:hRN,week_9:hOMTN,week_10:hDA2,week_10:hRgl3,week_11:hOPC,week_11:hRgl2c,week_10:hNbM,week_10:hDA1,week_9:hProgBP,week_8:hProgM,week_10:hRgl2b,week_7:hRgl2a,week_7:hOMTN,week_7:Unk,week_10:hRgl1,week_7:hProgBP,week_10:hDA0,week_9:hNbGaba,week_9:hDA0,week_9:hDA1,week_9:hNProg,week_8:hProgFPL,week_9:hRgl2a,week_9:hDA2,week_6:hNbML1,week_9:hNbM,week_9:hNbML1,week_6:hNbM,week_10:hGaba
LINC00672,26,18,9,13,16,3,10,6,3,2,9,6,9,1,7,5,4,1,6,7,4,11,1,5,5,6,2,3,5,7,6,4,3,1,5,4,4,0,4,4,3,2,0,2,3,0,0,1,2,3,0,4,3,3,3,3
FBXO47,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LOC100131347_p1,2,2,1,1,2,1,0,3,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
PLXDC1,106,6,5,4,64,1,1,0,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,6,0,0,1,2,0,0,1,1,1,1,1,2,0,0,0,1,0,0,5,1,0,0,0,0,1,0,0,1,0,0
CACNB1,4,15,7,6,5,4,0,0,2,4,0,9,3,2,4,3,2,0,3,4,3,6,2,5,1,1,1,0,3,2,3,2,1,4,7,2,2,1,1,1,0,2,0,0,1,1,0,0,0,0,2,0,0,1,3,1
RPL19,112,91,78,63,68,28,53,49,43,10,45,38,36,41,25,36,33,29,31,29,15,28,26,26,23,19,23,21,16,19,20,20,19,18,18,15,18,16,16,16,15,15,15,15,9,6,6,7,13,8,6,11,8,8,8,9
STAC2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FBXL20,23,31,18,14,19,11,11,8,8,12,5,7,5,3,6,6,5,1,6,8,7,7,5,6,6,6,1,6,3,3,5,2,4,13,6,5,3,5,2,2,1,6,2,1,4,2,5,3,7,4,2,2,0,3,0,4
MED1,23,19,17,10,19,3,13,6,7,12,12,10,9,6,15,8,12,2,10,10,13,7,2,6,7,4,2,4,8,6,4,6,2,3,4,6,9,4,6,2,3,3,3,1,6,3,6,5,7,4,1,4,2,4,2,1
CDK12,24,26,18,12,16,5,7,10,6,9,9,11,6,8,2,8,7,0,5,3,2,4,7,6,5,1,4,3,7,3,4,2,3,4,2,5,7,5,2,1,2,0,3,2,2,3,6,3,3,4,2,1,1,4,0,3
NEUROD2,4,2,2,6,2,1,2,0,3,2,1,2,2,3,1,1,0,2,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
STARD3,13,18,18,4,6,2,0,1,4,1,1,2,3,9,6,3,5,1,3,3,3,0,2,3,5,1,4,1,1,3,5,1,0,5,4,3,2,1,2,1,0,2,0,3,1,0,3,1,0,0,0,0,0,1,0,1
TCAP,0,0,1,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
PNMT,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGAP3,4,7,8,6,6,0,6,3,2,1,1,0,2,0,2,6,5,1,0,1,3,1,1,2,2,2,1,2,2,1,3,3,1,1,3,1,1,2,3,1,1,2,0,0,1,0,1,1,1,1,0,0,0,2,0,1
ERBB2,5,26,28,3,6,3,10,1,12,2,11,1,2,5,7,9,10,5,9,1,1,1,2,3,10,1,2,1,2,0,6,4,3,0,0,2,1,3,2,1,1,3,2,0,1,2,0,1,2,2,0,2,1,1,0,0
MIEN1,9,8,9,9,7,3,1,3,2,0,5,5,3,3,5,2,4,2,2,6,2,6,1,8,4,2,2,2,1,1,1,1,2,1,2,2,1,3,0,0,1,1,1,2,1,0,0,1,3,0,0,2,3,0,1,2
IKZF3,2,2,1,0,0,2,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
GSDMB,5,10,6,1,2,1,1,1,0,4,2,1,2,3,2,0,2,0,0,0,3,0,1,1,2,2,1,1,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,2,0,1,0,1,0,1,2,0,0,0,0,0
ORMDL3,16,20,22,11,8,3,5,3,13,5,5,8,6,4,4,5,4,2,7,1,5,2,2,6,4,5,3,3,5,1,1,4,6,4,1,3,2,2,2,1,2,3,0,0,0,2,1,1,3,2,2,1,0,4,0,3
GSDMA,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PSMD3,33,31,25,18,21,11,14,8,13,13,12,9,5,13,12,16,19,11,6,7,4,6,12,11,10,7,8,3,7,8,6,10,4,10,8,7,5,4,4,1,1,5,4,8,3,2,4,2,6,3,2,1,4,2,2,6
CSF3,0,0,0,0,1,2,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MED24,16,18,16,9,12,4,7,5,10,5,9,4,3,3,5,6,10,2,4,4,2,9,1,6,9,4,3,0,5,4,4,4,5,8,6,5,3,3,2,2,1,1,2,4,3,1,1,1,2,4,0,0,3,1,1,0
THRA,19,34,35,21,10,3,4,5,12,13,3,1,5,5,12,4,3,0,6,3,9,8,1,5,13,4,4,1,10,8,9,6,5,6,6,5,3,6,1,3,3,7,0,7,4,2,6,2,1,1,1,1,0,3,2,7
NR1D1,3,0,0,1,4,0,2,0,0,0,1,1,0,3,2,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MSL1,34,53,32,19,14,10,21,18,16,19,17,12,12,14,10,10,21,4,13,14,10,16,6,6,10,7,10,5,14,9,9,5,7,6,9,4,6,7,8,5,5,5,2,4,6,5,8,4,5,6,3,5,5,4,3,3
CASC3,24,36,34,14,19,13,14,11,17,21,11,14,12,13,11,8,18,10,10,7,12,7,9,10,6,8,7,9,5,6,3,7,6,8,6,6,3,9,4,4,3,8,4,7,1,4,4,4,6,6,5,3,4,4,4,5
RAPGEFL1,5,13,6,9,5,0,2,3,3,1,1,0,1,0,1,2,3,0,1,0,0,0,0,2,3,1,0,1,1,2,1,1,1,2,2,3,4,1,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0
WIPF2,18,51,45,12,15,10,12,5,25,6,12,5,5,9,8,7,12,4,7,3,3,11,2,6,13,6,3,4,2,6,7,3,5,6,2,5,7,4,3,1,0,6,2,1,2,3,6,3,4,7,0,1,1,4,0,3
CDC6,7,11,9,1,8,0,10,6,7,0,5,1,2,0,1,8,6,5,10,2,0,2,2,3,1,0,5,0,2,0,0,2,3,0,0,5,6,1,2,1,1,0,4,1,0,0,1,0,3,1,0,1,0,0,0,0
RARA,7,6,5,2,10,4,3,0,2,2,0,1,3,5,4,1,1,0,1,2,9,1,1,2,2,4,0,2,3,1,1,3,3,1,1,3,0,0,1,0,0,2,2,0,3,1,0,0,0,1,0,0,1,0,0,1
RARA-AS1,2,1,1,0,0,1,0,0,1,1,0,0,2,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
GJD3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0
TOP2A,27,22,15,4,12,12,44,31,22,4,35,9,16,1,10,25,30,20,19,10,8,14,9,12,4,2,18,5,6,0,0,8,15,1,0,16,11,5,9,2,6,2,11,0,1,2,4,7,8,3,0,4,3,4,1,0
IGFBP4,34,14,9,3,20,0,3,2,3,0,4,0,0,25,2,1,5,0,1,1,0,0,1,0,2,14,2,0,0,4,2,0,2,1,3,0,1,1,0,0,0,2,1,2,0,0,2,1,1,0,0,0,0,0,0,0
CCR7,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
SMARCE1,54,49,32,34,31,32,43,29,20,17,28,30,29,24,19,22,25,19,19,23,12,26,19,21,8,10,15,13,13,15,13,14,9,15,12,7,11,10,8,7,4,6,7,9,8,7,7,8,10,3,3,9,7,8,5,3
