,week_10:hPeric,week_10:hRgl2a,week_11:hRgl2a,week_10:Unk,week_11:hPeric,week_9:Unk,week_6:hProgFPM,week_8:Unk,week_11:hRgl2b,week_9:hGaba,week_6:hProgBP,week_8:hNbM,week_8:hNProg,week_11:hEndo,week_11:Unk,week_6:hProgM,week_6:hProgFPL,week_6:Unk,week_8:hProgBP,week_8:hNbML1,week_9:hNbML5,week_8:hOMTN,week_6:hNProg,week_6:hOMTN,week_11:hRgl3,week_10:hEndo,week_8:hProgFPM,week_8:hRN,week_9:hOMTN,week_10:hDA2,week_10:hRgl3,week_11:hOPC,week_11:hRgl2c,week_10:hNbM,week_10:hDA1,week_9:hProgBP,week_8:hProgM,week_10:hRgl2b,week_7:hRgl2a,week_7:hOMTN,week_7:Unk,week_10:hRgl1,week_7:hProgBP,week_10:hDA0,week_9:hNbGaba,week_9:hDA0,week_9:hDA1,week_9:hNProg,week_8:hProgFPL,week_9:hRgl2a,week_9:hDA2,week_6:hNbML1,week_9:hNbM,week_9:hNbML1,week_6:hNbM,week_10:hGaba
DDX11L1,2,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WASH7P_p1,6,9,9,5,6,4,4,1,6,5,4,2,1,4,7,4,1,1,3,3,2,2,2,3,3,1,1,5,2,1,0,1,2,3,2,0,0,1,0,1,1,1,0,2,1,0,5,0,0,1,1,0,0,1,0,0
LINC01002_loc4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LOC100133331_loc1,0,6,10,2,3,2,1,0,5,5,6,0,1,1,2,3,2,0,1,0,1,2,1,4,1,2,0,0,4,0,0,3,1,2,1,3,0,1,1,1,0,1,0,1,3,0,1,0,0,0,0,0,0,2,1,1
LOC100132287_loc2,1,2,1,0,1,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC101928626,19,5,3,6,10,0,0,0,3,2,0,0,1,2,3,0,0,0,1,0,0,0,0,0,3,2,1,1,0,1,2,2,2,0,2,0,0,2,0,1,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0
MIR6723,57,20,15,15,15,7,8,2,11,3,13,7,1,7,13,6,9,4,2,2,0,4,3,4,13,6,1,3,0,2,5,5,6,3,5,2,1,4,1,3,2,5,1,2,2,1,2,1,2,0,2,0,1,0,1,4
LOC100133331_loc2,1,4,3,2,2,3,1,0,4,7,4,2,2,0,1,1,1,1,4,0,2,2,0,3,3,1,1,1,1,1,0,2,0,1,0,1,1,2,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LOC100288069_p1,3,2,1,0,1,2,0,1,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,3,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
LINC00115,1,2,3,2,4,0,1,0,4,1,2,1,3,3,3,1,1,1,0,1,0,2,1,3,2,0,0,0,0,1,2,4,1,2,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0
LINC01128,15,7,7,6,15,3,2,3,7,7,6,1,4,5,5,5,2,3,4,2,5,5,1,5,5,4,1,0,5,0,0,1,3,5,1,2,0,1,1,2,0,1,3,1,2,1,3,1,2,0,1,1,4,1,0,0
FAM41C,1,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
SAMD11,0,1,0,1,1,1,1,1,1,3,1,0,2,0,0,0,0,0,0,1,3,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
NOC2L,12,7,9,3,6,2,2,3,2,3,4,3,2,4,5,2,4,7,4,2,2,3,0,3,3,2,4,4,3,2,3,5,1,3,1,3,3,0,1,1,2,0,1,1,2,2,3,0,1,0,0,0,3,1,0,0
KLHL17,4,2,2,1,1,1,3,1,0,1,0,0,1,0,1,0,3,2,2,3,1,2,0,3,0,0,1,0,0,2,2,1,3,3,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,2
PLEKHN1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PERM1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HES4,24,29,35,5,26,4,4,2,10,3,8,4,3,12,4,4,4,0,7,2,2,3,2,2,14,4,4,1,1,2,5,2,3,1,1,6,1,3,0,0,1,2,1,0,0,1,1,3,3,1,0,0,1,0,0,1
ISG15,48,14,4,2,35,0,2,3,3,1,3,2,0,12,2,2,2,0,2,1,1,2,1,0,1,5,1,0,1,2,1,4,1,2,0,1,3,4,0,0,0,1,0,2,0,0,0,1,1,1,0,0,0,0,0,0
AGRN,108,84,72,32,70,25,13,16,31,19,15,16,11,35,20,16,19,10,11,9,12,17,9,16,23,20,5,7,14,7,15,17,16,8,6,10,6,8,11,9,4,10,5,7,2,3,5,6,7,12,7,5,6,8,2,4
C1orf159,6,9,9,7,5,0,3,5,6,1,4,1,3,1,4,4,4,2,2,1,1,2,2,0,4,0,1,2,0,1,4,3,2,2,1,1,1,0,0,0,0,1,0,3,4,1,1,1,0,2,0,2,0,1,0,0
SDF4,22,28,30,7,21,3,9,3,11,7,9,3,4,10,6,6,8,1,2,3,2,1,3,9,8,5,2,2,3,2,5,4,5,5,3,3,2,2,1,2,1,3,1,1,0,3,1,1,1,2,0,2,0,1,1,2
B3GALT6,12,10,10,7,14,6,3,4,5,11,3,1,1,5,2,3,7,1,1,2,2,5,1,3,4,2,2,2,6,4,1,4,6,1,4,3,0,2,1,0,0,2,0,0,1,1,1,2,1,1,0,0,0,1,0,1
UBE2J2,10,13,16,6,3,5,4,5,6,4,5,4,5,6,4,2,3,0,4,3,0,1,2,2,4,0,3,0,4,1,3,2,4,2,1,4,2,3,2,1,0,0,0,1,3,0,1,0,1,2,1,1,1,3,0,0
SCNN1D,11,15,8,3,11,3,5,3,2,3,4,1,1,2,2,2,2,1,1,3,0,1,1,0,7,0,0,1,1,2,0,2,1,2,2,1,0,3,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1
ACAP3,8,9,4,16,9,3,6,0,5,2,4,6,1,6,11,4,0,1,2,6,2,2,0,3,2,2,2,2,4,2,4,2,1,4,1,2,2,6,0,3,1,1,1,3,0,2,1,2,1,0,0,1,0,1,1,3
PUSL1,1,3,1,2,4,0,2,0,1,2,1,0,2,2,1,1,2,0,0,0,0,0,1,1,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,2,0,0,0,0,1,0,0
CPSF3L,18,17,12,11,7,4,9,7,6,8,9,7,4,5,9,10,6,2,3,3,8,6,3,7,3,4,5,5,6,1,4,2,3,2,4,5,1,1,1,4,0,2,1,2,3,1,3,0,4,5,2,2,2,1,1,2
CPTP,4,5,8,2,3,1,0,0,1,2,1,2,1,2,2,0,1,1,1,0,1,3,0,3,1,0,0,2,1,0,0,2,1,2,0,0,3,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0
DVL1,9,11,13,7,3,3,3,2,4,2,3,2,0,2,3,1,3,0,1,1,1,3,0,3,4,1,1,2,1,0,2,2,3,3,3,3,1,2,1,1,0,0,1,1,2,1,1,2,0,0,0,0,1,0,0,3
MXRA8,11,12,16,1,9,0,4,2,6,0,8,1,2,1,1,1,1,2,4,1,1,2,1,1,9,3,0,0,2,0,5,2,1,0,0,1,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
AURKAIP1,15,15,17,10,16,1,12,12,3,4,9,8,7,5,4,5,12,2,6,3,2,4,7,7,9,5,3,4,4,2,9,3,6,2,5,4,4,2,1,3,0,3,0,5,0,2,0,2,3,0,0,3,1,0,2,2
CCNL2,42,40,40,21,30,24,17,13,22,25,12,14,11,22,13,16,15,4,10,12,12,9,9,13,8,9,5,6,14,9,4,8,7,8,8,9,7,5,3,3,3,5,1,5,5,9,7,4,8,3,4,4,5,8,4,6
LOC148413,3,4,6,1,3,0,2,2,0,0,4,4,0,3,4,1,0,1,5,0,0,3,1,2,1,3,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
MRPL20,59,57,33,32,39,10,35,19,18,11,26,19,14,23,12,27,22,14,18,14,9,19,10,22,12,15,11,12,9,12,10,8,10,11,11,4,9,6,8,10,7,11,7,8,3,7,6,3,10,6,2,7,3,4,3,4
ANKRD65,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
VWA1,2,2,3,2,3,0,0,1,0,0,1,0,0,20,0,0,1,0,0,0,0,0,1,0,1,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
ATAD3C,2,6,1,3,2,1,1,1,1,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,1,0,0,2,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATAD3B,5,3,6,4,1,3,4,1,1,3,4,1,1,6,2,2,2,2,0,2,1,1,2,2,1,2,1,0,0,2,2,0,2,0,3,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1
ATAD3A,3,8,11,4,7,4,4,0,6,3,5,3,2,1,1,4,2,0,1,3,0,1,0,2,0,0,0,2,1,2,2,1,1,3,2,0,3,1,1,1,2,1,0,2,0,0,1,1,0,2,0,2,0,0,1,2
TMEM240,1,2,2,0,4,0,0,0,2,2,0,0,0,0,2,0,0,0,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SSU72,23,28,27,11,12,2,16,12,7,2,7,8,6,12,7,6,10,4,5,10,4,9,1,8,11,10,4,6,5,4,6,5,4,3,5,4,8,2,5,2,3,2,3,3,1,0,1,0,5,3,0,2,1,4,2,2
C1orf233,3,4,1,3,2,2,1,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,2,1,0,0,1,3,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MIB2,3,8,8,3,5,2,2,0,2,5,5,4,2,1,0,1,2,1,2,1,0,3,0,1,0,0,0,0,1,0,1,1,1,0,2,2,0,0,1,0,0,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0
MMP23A_p1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDK11B,16,21,13,4,10,5,12,7,7,8,7,8,7,11,4,8,6,4,5,5,1,4,2,9,2,9,3,1,2,3,6,4,5,5,5,1,3,1,2,1,0,1,1,4,3,1,3,1,3,2,1,2,1,3,0,3
SLC35E2B,30,46,37,26,23,17,11,10,11,26,13,20,11,12,14,11,12,3,13,14,9,19,8,10,11,5,9,7,11,7,9,9,8,8,11,6,7,6,3,7,4,5,2,6,8,8,6,1,8,3,4,5,3,4,3,5
CDK11A,17,16,20,11,17,9,9,5,7,10,9,2,7,12,11,8,12,6,4,4,5,6,3,7,7,10,1,1,7,5,2,5,4,5,4,3,4,5,0,3,0,0,1,4,2,3,3,0,4,2,0,2,1,4,1,2
SLC35E2,1,13,8,9,3,7,4,6,1,7,2,6,6,4,4,7,6,2,4,5,3,5,4,4,2,3,3,1,5,4,1,3,2,3,5,2,4,3,2,3,1,0,1,6,1,1,4,2,3,1,1,2,1,1,0,2
NADK,17,21,27,7,12,4,5,6,12,3,5,2,1,6,4,8,2,1,4,2,1,8,2,4,7,3,3,2,6,5,3,0,5,3,3,3,1,2,3,1,1,2,1,2,5,1,1,2,3,0,1,0,1,0,1,0
GNB1,76,69,51,39,46,32,34,27,23,34,30,33,19,37,21,27,27,13,18,24,17,26,16,20,21,15,17,14,19,16,17,15,13,14,16,11,12,11,12,12,6,7,7,12,11,11,11,7,11,9,11,9,8,9,5,6
TMEM52,1,3,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
CFAP74,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GABRD,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PRKCZ,4,12,2,15,0,3,3,2,0,9,2,3,0,0,5,4,3,1,2,2,2,6,0,3,0,2,1,2,2,5,2,4,0,3,2,1,2,0,0,1,0,0,0,4,2,3,2,0,3,0,0,1,1,2,0,2
C1orf86,7,10,6,5,9,2,1,5,4,1,2,4,4,2,5,3,3,1,3,0,2,3,1,1,5,2,2,0,2,2,4,7,1,6,3,0,1,1,3,0,0,1,1,1,0,0,2,1,3,1,1,1,0,2,1,0
SKI,19,21,15,12,15,8,7,1,5,9,5,1,4,12,5,4,4,0,2,2,4,4,3,4,5,3,2,2,4,2,5,8,5,3,4,4,1,2,0,2,0,1,0,1,1,2,2,1,0,2,0,2,3,3,0,1
MORN1,0,1,3,2,4,1,1,2,0,1,2,0,0,1,3,0,0,0,1,1,0,0,0,1,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LOC100129534_p1,1,0,2,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
RER1,16,17,16,6,10,5,6,4,10,3,7,5,9,5,3,3,10,2,3,3,3,3,3,2,5,5,3,2,2,3,1,3,3,1,4,2,3,0,0,1,1,2,1,0,0,1,0,1,4,0,0,0,1,0,1,1
PEX10,2,5,4,1,3,1,0,3,2,0,2,0,1,2,0,1,1,0,1,1,0,1,1,0,2,1,1,0,0,0,2,2,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PLCH2,2,2,0,1,0,3,0,0,1,3,1,0,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,2,1,1,1,0,2,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,1,0,0
PANK4,8,7,10,2,4,2,2,2,5,5,4,3,2,6,1,3,8,4,2,3,3,0,0,0,2,4,3,1,4,1,3,2,1,2,2,1,0,2,1,0,1,2,0,1,1,1,1,0,4,1,0,1,0,1,0,1
HES5,20,94,63,8,19,8,4,22,33,8,20,8,14,12,10,7,18,12,23,6,4,8,8,3,20,3,11,5,4,2,20,14,14,4,1,12,12,14,11,1,2,16,10,1,2,3,1,2,8,10,1,1,1,3,0,1
LOC115110,0,1,0,0,0,1,0,2,0,0,0,1,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
TNFRSF14,2,0,1,2,4,0,2,0,1,0,0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FAM213B,5,14,8,5,2,4,2,3,5,3,0,3,1,9,3,5,6,2,5,1,2,4,2,1,6,3,1,1,1,2,4,0,2,1,2,0,0,1,1,1,2,0,0,1,3,0,2,0,0,1,1,2,0,0,1,0
MMEL1,1,1,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LINC00982,1,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PRDM16,2,9,11,1,0,2,0,0,1,3,0,0,3,1,2,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,2,0,0,4,0,1,1,0,2,0,1,1,0,0,1,0,0,0
ARHGEF16,0,2,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGF6,4,3,3,2,1,1,3,0,2,4,2,2,2,2,2,0,2,1,0,2,0,0,1,0,1,3,0,1,0,0,1,1,0,3,1,2,1,0,0,0,1,0,0,0,2,0,0,2,0,1,0,0,1,0,0,0
TPRG1L,16,14,7,7,9,6,6,4,1,4,5,6,5,9,3,3,8,3,4,3,3,6,1,10,7,3,3,1,3,3,2,1,3,1,4,1,3,0,1,2,0,0,0,1,4,1,2,2,4,0,2,1,1,1,0,4
WRAP73,4,11,7,7,4,1,3,0,3,2,3,2,2,5,3,2,3,1,2,0,2,0,2,2,4,1,3,1,0,2,2,3,3,1,0,0,3,2,0,0,0,1,0,1,1,1,1,0,2,2,0,1,2,2,0,0
TP73,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0
TP73-AS1,12,11,8,9,6,3,4,2,8,2,2,4,2,2,4,5,5,2,4,3,1,0,0,1,3,1,2,3,1,0,2,3,3,1,1,1,1,1,1,1,1,7,0,1,1,0,3,0,0,0,1,1,0,2,0,0
SMIM1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC47,22,27,17,13,14,9,7,9,9,7,10,6,4,6,6,7,8,3,2,4,4,7,4,9,3,2,5,4,10,4,2,4,2,4,4,4,1,4,3,4,2,3,3,5,3,4,6,1,2,1,1,4,1,1,3,3
CEP104,14,9,13,8,6,7,1,4,2,11,2,3,1,2,5,5,1,2,2,4,5,5,0,2,1,3,1,3,3,3,3,1,6,2,5,3,1,2,1,0,0,0,0,2,0,2,5,0,3,1,0,0,3,1,0,2
DFFB,3,4,2,2,1,3,1,0,1,2,0,4,1,4,3,1,1,1,1,1,0,0,0,0,0,1,2,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,1,2,0,0
C1orf174,24,20,10,9,18,4,9,6,1,4,11,2,6,4,9,7,13,2,4,3,3,8,2,7,4,3,3,5,3,4,3,3,3,9,5,2,2,5,3,3,0,1,4,3,2,2,2,2,2,2,0,0,1,0,3,3
LINC01134,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AJAP1,6,7,1,6,1,6,0,0,0,4,0,2,0,5,0,0,0,0,0,2,4,0,0,0,1,3,0,2,0,2,2,1,1,4,6,2,0,2,0,3,0,2,0,4,2,3,4,0,0,0,2,0,2,1,1,4
NPHP4,5,5,6,5,4,2,0,2,2,2,2,1,0,3,4,1,1,1,2,3,1,2,2,1,3,2,1,0,3,1,1,0,1,1,3,2,2,1,0,0,0,0,0,0,2,0,2,0,1,0,0,1,0,0,0,0
KCNAB2,1,2,4,2,3,1,0,0,2,3,0,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
CHD5,23,18,7,29,5,8,0,0,14,14,0,0,0,5,12,0,0,0,0,0,2,2,0,0,5,5,0,0,5,7,6,3,1,4,9,0,0,4,0,3,1,0,0,2,4,5,4,0,0,3,3,1,2,3,0,5
RPL22,88,85,64,44,57,34,52,41,32,21,41,39,38,25,19,33,32,27,32,27,14,27,24,25,18,20,21,16,19,12,8,17,16,14,14,14,18,15,15,14,11,11,14,8,6,7,7,9,13,8,6,11,5,9,9,8
RNF207,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1
ICMT,13,12,9,4,8,1,9,5,5,2,5,5,6,4,2,5,5,4,2,0,1,3,1,3,3,3,3,0,2,1,1,4,4,2,0,2,2,1,3,0,1,3,1,3,2,0,1,1,3,2,1,2,2,0,1,0
LINC00337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GPR153,16,6,9,11,10,2,1,0,2,5,1,6,5,1,4,0,1,1,1,5,2,5,1,3,1,0,0,0,4,3,0,3,2,1,0,1,0,1,0,3,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1
ACOT7,20,20,12,31,6,18,13,12,2,8,14,18,7,3,13,12,13,8,8,13,10,22,3,13,4,7,7,11,16,12,7,7,5,7,11,2,3,4,3,10,4,4,2,12,6,7,5,5,6,1,2,6,1,2,2,4
HES2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
ESPN,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF25,8,12,12,10,4,1,3,3,5,6,1,3,1,8,7,0,2,1,2,3,3,0,1,2,3,4,0,4,2,3,2,3,2,5,3,0,2,3,0,1,0,1,0,4,1,1,1,1,1,0,2,0,1,4,0,1
PLEKHG5,12,25,16,4,5,13,8,3,7,9,5,8,5,11,5,4,4,2,3,1,7,6,2,5,2,7,3,3,9,6,2,1,1,6,4,3,3,2,0,0,2,4,1,5,6,2,4,3,1,2,3,2,1,2,3,3
NOL9,15,11,15,4,8,3,8,2,6,6,4,3,5,10,2,4,7,1,4,1,7,7,3,2,3,3,4,1,4,3,4,2,5,4,3,1,1,2,0,2,1,1,0,0,2,3,4,2,2,2,3,1,5,1,1,1
ZBTB48,5,8,5,6,3,2,2,1,2,1,6,1,1,3,3,1,1,1,5,1,4,2,0,2,1,0,0,0,0,0,2,1,0,0,1,1,2,2,0,1,0,1,0,3,0,0,1,1,0,0,0,1,0,0,1,0
KLHL21,10,14,9,5,12,2,5,2,6,1,5,2,1,4,2,4,2,1,4,0,1,4,0,0,2,3,1,0,0,0,2,3,2,2,0,1,2,1,1,0,0,3,0,0,1,1,0,0,1,1,0,0,3,0,0,0
PHF13,18,14,15,5,9,4,4,3,6,3,4,3,3,3,1,6,8,1,3,3,3,2,1,2,4,6,0,2,1,2,2,3,2,3,0,4,1,0,1,0,0,2,2,2,3,1,4,1,2,2,1,2,3,1,1,1
THAP3,21,13,12,4,7,2,4,3,3,1,6,5,1,4,3,3,5,3,0,1,3,2,0,4,1,5,3,2,4,4,4,6,1,1,2,0,3,2,3,1,1,3,3,2,1,0,3,0,4,0,2,2,1,1,1,1
DNAJC11,14,15,12,5,11,5,11,6,5,6,14,8,6,10,3,10,6,4,5,3,4,5,1,4,2,4,1,2,1,3,2,4,2,4,3,2,6,1,1,0,0,2,2,1,5,1,0,4,4,2,1,2,0,1,2,2
CAMTA1,37,69,47,39,31,36,40,22,28,38,27,24,24,19,14,20,26,18,21,14,21,21,13,15,14,10,16,10,19,11,17,12,15,10,14,11,12,8,7,11,5,10,7,9,13,9,11,7,7,6,7,9,7,8,3,8
VAMP3,29,21,19,8,26,6,7,4,7,4,4,2,4,20,2,7,4,1,1,4,1,3,1,0,10,12,2,2,5,1,6,1,5,4,0,0,1,5,1,0,0,2,0,1,0,1,2,0,0,0,1,3,1,0,0,0
PER3,6,6,10,4,4,0,1,3,0,3,2,2,0,1,2,2,1,1,0,2,0,1,0,2,3,0,3,0,1,0,0,0,1,1,0,1,2,0,0,0,1,1,0,0,2,1,0,1,1,1,2,1,0,1,1,0
TNFRSF9,2,0,1,2,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
PARK7,79,78,62,44,54,23,42,34,28,19,37,25,29,23,21,32,31,21,24,19,11,27,15,23,22,17,14,11,14,13,17,10,13,14,11,10,12,9,9,9,10,12,11,6,7,5,4,4,8,7,4,7,3,3,6,4
ERRFI1,14,18,16,2,8,5,9,1,5,8,3,6,6,8,4,5,6,3,5,4,3,0,1,2,0,5,1,2,7,2,2,3,2,3,1,4,2,1,3,0,1,4,0,2,4,2,1,1,3,3,3,2,1,4,3,0
SLC45A1,2,5,1,1,1,1,1,1,3,5,0,0,2,1,2,1,0,1,0,0,0,2,0,2,1,1,0,1,0,1,0,0,1,1,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
RERE,67,62,50,42,31,21,33,33,24,26,34,30,21,24,23,29,26,18,20,19,11,26,14,22,17,12,14,15,11,15,11,16,10,12,13,5,11,5,7,6,6,7,4,10,9,5,7,6,13,3,2,11,7,7,7,6
ENO1,97,96,72,46,56,27,55,40,37,19,45,26,35,31,20,37,34,29,27,20,17,26,25,26,24,19,23,13,12,16,20,16,16,13,13,14,18,14,15,11,9,16,13,6,7,4,6,9,13,10,5,10,8,6,7,5
ENO1-AS1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC2A7,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
