,GW16:Neurons,GW26:GABAergic neurons,GW23:GABAergic neurons,GW16:Stem cells,GW26:Neurons,GW10:Neurons,GW23:Neurons,GW10:Stem cells,GW16:GABAergic neurons,GW19:Neurons,GW26:OPC,GW26:Astrocytes,GW12:Neurons,GW09:Stem cells,GW26:Microglia,GW09:Neurons,GW23:OPC,GW19:GABAergic neurons,GW13:Neurons,GW08:Neurons,GW16:OPC,GW12:Stem cells,GW16:Microglia,GW23:Microglia
A1BG,62,68,17,15,7,15,5,18,8,1,7,9,16,1,5,6,4,3,4,1,1,4,0,0
A1BG-AS1,1,10,3,1,0,0,0,0,1,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0
A1CF,12,14,2,3,4,0,1,2,1,3,1,4,0,1,1,0,0,0,0,0,0,0,0,0
A2M,102,113,36,19,18,9,13,12,11,12,24,23,3,7,40,3,7,3,1,5,4,0,11,10
A2M-AS1,12,17,7,1,5,2,1,2,1,1,2,2,1,0,4,0,1,0,0,0,0,0,3,2
A2ML1,12,8,8,3,0,7,1,3,0,2,2,7,1,1,1,0,1,0,0,0,0,0,0,0
A2MP1,7,4,2,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0
A3GALT2,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A4GALT,1,4,2,0,1,1,1,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0
A4GNT,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AA06,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,371,168,70,92,49,61,45,62,51,37,39,44,35,34,20,18,15,10,11,12,11,8,8,3
AACS,261,151,36,59,24,43,17,38,23,18,28,39,23,17,22,10,4,4,3,9,7,7,5,2
AACSP1,5,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
AADAC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACP1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
AADAT,199,139,29,51,32,23,21,29,29,25,22,27,13,16,15,11,5,3,2,3,10,5,6,0
AAED1,10,14,4,3,2,0,0,1,0,0,2,3,0,0,1,0,1,0,3,1,0,0,1,0
AAGAB,139,97,13,39,21,14,20,20,15,17,12,19,7,9,12,8,4,3,3,3,4,3,2,1
AAK1,447,307,137,104,79,81,65,67,63,73,53,54,48,31,35,32,19,19,16,12,12,12,11,8
AAMDC,167,79,29,67,23,22,23,40,24,26,26,25,18,26,11,9,12,2,6,4,3,6,3,1
AAMP,361,222,115,100,65,67,64,52,48,46,41,41,36,34,30,22,19,16,12,13,9,9,5,8
AANAT,5,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
AAR2,246,148,42,67,39,30,28,35,21,32,31,24,11,25,12,16,5,8,3,7,10,1,4,2
AARD,20,18,10,3,5,1,1,2,3,2,3,6,0,4,5,4,4,1,0,0,0,0,0,0
AARS,278,164,51,78,34,42,34,46,29,35,39,41,18,20,24,16,13,8,7,7,8,4,9,5
AARS2,157,134,38,48,25,21,14,35,24,15,30,22,18,13,11,8,6,2,1,5,3,4,5,3
AARSD1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AASDH,208,130,44,49,31,30,26,28,32,24,24,28,17,15,13,11,12,5,7,2,2,7,2,5
AASDHPPT,458,300,108,113,75,77,57,62,58,57,51,54,47,41,27,30,17,13,10,11,13,10,9,6
AASS,389,228,56,102,48,68,31,69,44,28,62,53,38,39,22,21,16,8,8,8,12,10,9,5
AATBC,4,3,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
AATF,227,96,33,57,29,38,35,34,29,23,25,23,28,19,12,16,7,4,9,3,4,10,5,4
AATK,17,14,7,0,4,2,5,1,0,4,4,6,0,1,0,0,2,0,0,0,1,1,0,1
AATK-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABALON,129,61,28,27,15,24,10,25,11,19,6,12,13,12,4,11,4,2,3,7,3,5,0,2
ABAT,229,187,50,73,39,39,23,48,21,37,41,47,22,25,21,12,17,3,4,6,11,6,4,0
ABCA1,328,111,43,71,35,35,35,41,29,28,18,22,17,15,20,13,10,5,3,2,7,8,11,6
ABCA10,7,14,3,1,4,1,1,1,0,0,0,2,0,0,3,1,1,0,0,0,0,0,1,0
ABCA11P,77,35,12,16,5,9,7,7,9,2,9,7,4,4,4,6,4,0,1,4,0,1,4,0
ABCA12,16,8,10,8,0,0,0,4,2,2,5,3,0,0,2,1,0,4,0,0,1,0,2,0
ABCA13,47,41,11,8,4,11,4,15,7,4,4,5,4,4,5,2,3,1,2,0,0,2,1,1
ABCA17P,11,13,2,2,2,0,3,0,2,3,1,4,0,0,2,0,0,1,0,0,1,0,1,0
ABCA2,147,172,44,34,26,16,14,14,15,9,24,34,4,3,19,7,3,2,1,2,7,2,5,3
ABCA3,235,212,35,48,43,25,21,21,27,25,41,43,11,7,26,8,13,3,1,2,3,2,4,4
ABCA4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA5,58,135,44,9,14,6,10,10,4,7,12,29,7,1,14,3,4,2,1,0,1,2,4,0
ABCA6,5,13,2,1,1,2,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1
ABCA7,55,22,7,14,5,15,5,21,3,0,1,7,2,0,1,5,2,0,6,0,2,2,0,1
ABCA8,3,2,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA9,30,22,7,4,3,0,0,4,1,1,3,3,0,0,3,0,1,2,0,0,0,0,0,0
ABCA9-AS1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ABCB1,8,15,7,1,3,1,1,4,2,2,3,4,1,0,1,0,1,0,1,1,0,0,0,0
ABCB10,140,81,22,29,12,8,9,24,15,13,12,18,4,2,13,3,2,1,0,4,3,0,3,3
ABCB11,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ABCB4,6,2,6,6,0,1,3,6,1,1,6,3,0,6,2,0,2,0,0,0,0,0,0,0
ABCB5,25,22,5,4,1,4,1,6,1,1,3,5,0,5,2,1,0,0,0,0,0,0,0,0
ABCB6,217,160,40,61,36,17,31,29,23,21,41,38,13,14,15,8,7,3,6,3,5,4,5,2
ABCB7,107,59,21,35,12,20,15,21,12,9,9,14,10,5,10,8,4,6,1,3,3,3,3,1
ABCB8,156,135,37,43,30,20,16,27,26,5,22,30,14,11,16,6,9,3,4,2,3,0,2,1
ABCB9,70,56,13,10,14,12,8,14,3,13,8,10,5,1,7,4,1,1,3,0,2,1,0,0
ABCC1,51,57,18,13,12,3,2,5,8,3,4,11,3,1,8,1,3,1,3,2,2,0,3,1
ABCC10,119,71,26,12,17,14,17,6,9,10,13,22,6,5,10,8,3,3,3,4,4,2,1,1
ABCC11,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
ABCC12,2,8,5,0,1,2,1,3,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
ABCC13,6,11,1,1,1,0,0,1,0,1,1,2,0,0,1,1,1,1,0,0,0,0,1,1
ABCC2,4,7,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
ABCC3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ABCC4,40,23,5,27,8,6,2,29,6,3,8,11,2,14,16,1,4,0,0,0,1,0,3,2
ABCC5,381,259,101,86,70,43,50,46,55,39,55,45,23,15,31,20,15,11,7,6,10,7,7,8
ABCC5-AS1,5,2,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC6,1,10,3,2,1,0,2,3,0,1,5,3,0,0,1,0,0,0,0,0,0,0,0,0
ABCC6P1,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC6P2,3,1,0,2,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0
ABCC8,47,110,18,8,16,2,11,8,6,6,12,16,0,0,6,0,5,1,0,0,1,0,0,1
ABCC9,498,345,158,113,98,86,82,80,69,72,65,56,56,38,34,33,24,17,16,15,14,12,10,10
ABCD1,30,41,6,7,6,6,5,10,6,5,2,8,4,4,7,3,2,2,1,1,1,1,2,2
ABCD2,45,13,3,7,4,8,1,3,6,3,1,8,5,0,1,3,2,2,2,3,1,1,1,0
ABCD3,268,143,34,96,40,22,22,45,24,24,38,49,28,18,12,8,12,3,3,2,6,5,5,3
ABCD4,316,156,57,95,43,36,30,34,39,32,36,41,13,22,21,17,11,7,5,2,8,5,6,4
ABCE1,302,154,56,84,34,38,35,50,30,26,31,27,28,26,19,21,13,2,5,4,5,8,7,4
ABCF1,352,200,94,97,49,70,41,66,39,45,35,42,34,32,23,27,16,9,10,11,9,5,9,4
ABCF2,234,112,37,57,22,29,14,31,22,25,25,33,20,21,13,9,11,3,9,7,6,3,4,1
ABCF3,183,123,36,47,18,27,17,30,28,15,24,32,6,19,10,14,6,3,6,9,6,1,2,3
ABCG1,53,28,15,9,7,6,3,6,2,3,8,3,2,2,10,2,4,2,2,1,1,0,3,5
ABCG2,28,50,18,7,7,2,5,1,1,1,7,12,2,0,25,1,0,0,4,2,1,1,8,6
ABCG4,45,31,7,9,2,2,1,2,4,5,4,3,0,0,1,1,1,0,0,0,1,0,2,0
ABCG5,4,7,0,1,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
ABCG8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD1,8,2,1,2,0,0,1,1,1,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0
ABHD10,293,166,72,78,46,43,26,45,39,24,32,29,31,27,17,21,11,6,3,4,4,8,6,2
ABHD11,180,83,29,43,19,20,15,27,15,16,15,23,12,3,13,10,9,2,10,1,2,2,3,3
ABHD11-AS1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD12,268,179,50,74,49,46,26,40,32,15,43,43,21,14,31,17,13,6,7,9,13,6,8,7
ABHD12B,2,4,3,3,0,0,2,2,2,0,1,1,0,0,0,0,0,0,0,0,1,0,2,1
ABHD13,182,116,32,45,21,20,17,17,21,19,19,26,24,9,14,6,3,2,2,8,2,4,5,2
ABHD14A,354,217,61,83,56,57,42,52,40,32,40,48,40,20,22,20,10,5,11,12,11,8,9,4
ABHD14A-ACY1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD14B,32,35,13,8,8,6,4,8,2,4,1,6,3,5,12,2,3,0,2,0,1,1,3,1
ABHD15,24,23,4,8,4,4,2,2,3,1,0,4,2,0,8,2,1,0,2,0,1,0,1,4
ABHD16A,366,161,58,94,49,63,49,41,46,39,33,34,25,19,15,20,13,8,12,9,8,5,5,8
ABHD16B,49,13,4,12,6,1,2,2,1,5,6,7,0,0,2,0,1,2,1,0,1,0,2,0
ABHD17A,119,81,23,29,18,10,4,16,14,11,12,18,6,2,16,3,3,1,1,1,2,1,4,0
ABHD17B,243,140,41,65,27,19,15,30,32,18,21,19,5,7,16,5,8,6,5,1,7,3,8,1
ABHD17C,188,144,21,42,21,29,13,34,18,5,18,30,12,9,12,9,2,2,1,1,3,0,3,0
ABHD2,246,158,55,61,41,30,25,33,30,19,40,31,20,10,13,10,11,6,6,2,9,4,7,4
ABHD3,111,55,13,70,11,13,12,29,17,9,26,45,6,16,12,1,7,1,1,3,3,6,6,2
ABHD4,97,55,16,51,19,4,14,13,10,11,35,34,3,9,10,1,10,1,1,0,8,4,3,0
ABHD5,153,102,30,42,25,11,10,18,25,14,21,23,10,9,11,5,6,0,3,5,5,2,5,2
ABHD6,230,49,22,59,18,27,14,13,30,24,11,15,18,4,6,7,2,2,5,4,6,2,6,0
ABHD8,127,101,28,17,18,11,7,19,6,13,16,21,7,3,10,1,4,2,2,9,2,1,1,1
ABI1,294,174,64,79,46,33,33,31,40,39,42,47,21,16,26,19,17,9,4,6,8,7,6,5
ABI2,442,302,125,102,88,72,62,68,60,59,62,56,50,36,36,30,23,10,11,10,11,10,8,8
ABI3,8,18,7,1,2,0,2,3,1,0,2,5,0,0,19,0,1,0,0,0,0,0,6,4
ABI3BP,30,22,11,11,0,2,1,0,4,2,2,2,2,0,2,0,1,0,0,0,0,0,0,0
ABL1,235,127,38,57,29,24,15,43,27,14,22,30,10,23,10,8,10,2,3,6,6,2,6,1
ABL2,321,249,71,70,50,41,31,50,33,42,37,39,19,21,29,20,12,10,5,5,9,8,5,3
ABLIM1,183,232,60,33,40,13,22,19,19,12,37,43,12,0,23,2,8,3,1,6,7,2,7,4
ABLIM2,25,60,11,10,5,4,4,3,0,3,5,12,1,0,4,0,2,1,0,0,2,0,1,0
ABLIM3,78,101,31,12,17,9,4,12,13,11,15,16,11,0,8,4,4,0,1,1,0,3,2,2
ABO,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ABR,386,284,99,99,76,62,53,55,50,39,49,50,25,21,33,19,10,9,7,11,11,2,8,6
ABRA,1,2,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ABRACL,495,193,79,110,46,90,45,74,64,43,28,33,60,42,26,35,10,10,13,13,11,10,11,7
ABT1,310,123,47,82,37,36,30,41,44,30,27,29,16,21,20,23,9,8,12,10,7,4,8,1
ABTB1,121,81,27,27,21,23,16,20,14,14,10,18,18,6,17,9,6,1,1,0,2,0,1,5
ABTB2,88,50,25,33,6,6,5,25,10,3,6,15,3,8,4,2,4,1,0,1,1,1,3,0
ACAA1,245,131,60,60,33,39,27,38,27,30,37,49,28,19,24,20,14,4,7,7,7,4,4,6
ACAA2,294,101,44,98,30,50,24,59,28,28,36,43,28,32,17,25,17,4,7,8,8,7,8,4
ACACA,360,225,67,81,69,48,50,49,37,42,44,39,29,22,21,15,12,8,11,6,7,5,9,4
ACACB,25,17,2,5,6,5,1,5,3,0,1,5,0,3,1,0,0,0,1,0,1,1,0,0
ACAD10,106,90,23,30,17,15,15,18,14,7,11,14,8,8,6,8,8,0,1,2,3,0,1,1
ACAD11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAD8,215,161,39,64,29,35,17,30,31,28,32,35,15,10,16,11,12,6,4,4,5,4,5,3
ACAD9,178,87,42,51,9,24,21,23,23,23,17,16,4,7,14,5,8,2,3,3,6,6,4,4
ACADL,18,26,5,5,2,0,0,0,4,4,5,10,1,1,2,0,1,3,0,0,0,0,0,0
ACADM,395,177,82,100,47,47,41,56,47,56,38,37,30,30,24,22,14,5,5,3,8,6,9,5
ACADS,48,35,14,13,16,6,7,3,4,8,5,13,3,2,9,2,3,1,2,2,0,0,2,0
ACADSB,101,83,31,31,15,13,15,13,14,11,12,19,10,4,12,5,6,2,4,4,5,4,4,1
ACADVL,340,255,88,95,72,37,49,46,42,36,51,52,18,19,34,14,18,7,9,13,7,8,8,8
ACAN,4,2,1,0,0,1,3,3,0,0,4,1,0,0,0,0,3,0,1,0,3,0,0,0
ACAP1,26,35,17,5,7,8,7,12,2,1,10,14,4,5,4,3,5,1,0,1,1,0,1,2
ACAP2,289,211,93,72,52,37,41,47,42,36,44,50,25,20,27,26,11,4,6,7,9,4,10,8
ACAP3,343,268,54,88,65,41,26,46,40,23,39,46,7,4,35,14,7,5,1,2,10,3,7,4
ACAT1,396,261,91,92,68,53,40,47,50,42,47,53,51,27,31,25,15,11,6,6,12,6,10,7
ACAT2,298,121,32,78,36,71,32,53,18,37,31,46,35,29,7,23,11,2,11,13,7,9,6,3
ACBD3,210,130,41,40,22,22,16,21,23,12,17,29,12,5,15,14,5,1,6,2,5,3,6,5
ACBD4,25,29,12,12,4,5,5,6,3,4,0,6,1,2,5,0,1,1,0,0,0,0,1,0
ACBD5,218,156,59,50,36,23,31,33,17,24,44,41,18,9,18,5,15,4,2,1,9,2,5,1
ACBD6,356,203,76,87,50,48,56,59,43,38,41,41,57,32,24,22,19,9,9,12,10,12,7,6
ACBD7,103,57,18,39,7,12,7,32,13,7,17,13,2,6,6,4,3,1,0,0,1,3,2,3
ACCS,30,34,7,8,2,10,4,14,4,1,5,9,2,1,4,1,1,0,0,0,2,0,6,1
ACCSL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ACD,255,184,48,68,47,47,35,36,30,40,34,28,23,23,20,20,7,11,7,7,6,4,4,4
ACE,3,37,5,1,8,1,0,2,1,0,0,6,2,0,1,0,1,1,0,0,1,0,0,0
ACE2,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACER1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACER2,3,1,0,0,2,1,0,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
ACER3,270,179,67,64,41,40,24,42,32,26,33,48,14,14,28,11,13,3,4,3,7,7,6,6
ACHE,33,67,15,16,10,4,6,4,4,2,7,9,1,0,7,2,2,0,1,0,0,0,1,3
ACIN1,352,235,81,89,62,63,49,63,43,36,39,33,20,29,27,19,17,7,10,9,9,7,7,7
ACKR1,98,99,20,21,19,8,7,13,8,2,8,17,1,2,12,2,2,2,0,1,1,0,0,2
ACKR2,6,4,5,1,0,3,0,7,1,0,1,2,0,2,3,0,2,0,4,0,0,0,1,1
ACKR3,73,207,63,19,16,1,1,5,41,5,11,28,3,6,12,1,5,6,0,1,1,0,1,0
ACKR4,7,6,1,1,1,0,0,3,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
ACLY,448,255,78,114,59,86,44,71,55,47,48,57,46,38,30,35,15,5,15,14,10,11,6,4
ACMSD,6,2,4,2,1,2,2,2,1,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0
ACO1,139,105,21,49,31,26,15,33,14,24,30,28,20,12,10,14,6,3,3,5,7,3,2,1
ACO2,40,29,13,14,9,2,7,7,5,4,4,9,2,8,3,6,4,1,2,0,2,1,2,1
ACOT1,26,18,10,6,11,10,10,5,0,4,7,9,3,4,0,2,5,1,3,3,1,1,1,0
ACOT11,7,4,0,2,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0
ACOT12,0,2,1,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
ACOT13,199,89,31,50,19,23,12,37,26,12,21,25,24,22,18,12,8,1,5,4,5,6,5,1
ACOT2,190,112,38,51,29,22,21,25,25,19,34,32,20,21,13,7,13,3,5,5,5,5,6,4
ACOT4,12,11,3,0,1,1,2,1,2,2,0,0,3,1,1,1,1,0,2,0,0,1,0,0
ACOT6,3,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
ACOT7,511,321,112,117,84,83,72,69,67,69,55,53,56,42,32,34,18,18,13,14,13,11,9,8
ACOT8,83,34,22,23,18,21,11,8,11,8,12,14,8,11,2,13,3,1,2,3,3,3,3,2
ACOT9,71,38,13,32,9,5,6,16,3,9,15,22,5,9,10,7,4,1,1,2,3,3,2,2
ACOX1,261,133,44,60,29,40,25,37,26,21,25,29,23,12,11,10,10,0,6,8,7,4,5,4
ACOX2,0,7,2,1,1,0,0,3,0,0,4,7,1,0,1,0,1,0,0,0,0,0,0,0
ACOX3,121,69,12,24,18,24,8,15,20,15,10,16,6,8,5,6,3,5,8,4,5,1,5,2
ACOXL,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
ACP1,488,257,106,117,77,82,64,76,63,61,59,52,50,43,32,31,19,11,15,14,13,12,9,7
ACP2,74,63,29,26,13,9,16,13,9,11,16,16,14,6,9,5,5,1,3,5,2,3,5,3
ACP5,6,4,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
ACP6,24,20,3,13,4,2,1,8,0,3,7,5,1,1,5,0,0,2,1,0,0,1,2,0
ACPP,7,10,3,1,1,0,1,5,2,1,2,1,0,0,2,0,0,1,2,1,0,1,1,0
ACPT,3,5,2,2,1,0,0,1,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,1
ACR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACRBP,16,16,7,1,2,0,4,0,1,1,2,0,0,0,5,0,0,0,0,0,1,0,0,1
ACRC,18,29,2,6,7,2,1,0,1,1,5,8,1,0,2,2,0,0,0,0,1,1,0,0
ACRV1,9,14,5,6,3,0,2,4,2,2,4,2,0,1,0,0,0,0,0,0,0,1,0,0
ACSBG1,10,45,5,19,5,1,3,3,1,6,10,40,0,1,4,0,3,0,0,0,0,0,0,0
ACSBG2,11,3,3,4,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
ACSF2,21,17,3,10,5,1,1,8,1,1,5,10,0,1,5,0,3,2,1,1,0,1,2,0
ACSF3,111,50,16,38,7,12,10,19,16,8,14,14,5,3,3,3,3,0,0,3,1,2,3,4
ACSL1,147,90,37,29,10,17,22,13,20,20,17,11,14,1,11,4,4,2,4,3,3,3,3,4
ACSL3,293,180,83,73,44,49,49,47,33,35,45,43,30,22,24,17,15,6,5,5,7,6,7,6
ACSL4,282,218,52,58,58,29,30,27,30,18,31,39,18,2,21,11,4,3,6,6,11,4,7,2
ACSL5,12,12,8,1,1,3,1,1,1,2,3,0,1,1,9,0,0,0,0,0,0,0,1,1
ACSL6,82,177,22,16,36,6,9,13,9,16,32,38,1,1,12,3,5,0,1,0,5,0,1,4
ACSM1,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSM2A,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSM2B,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSM3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ACSM4,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSM5,1,4,0,1,0,0,0,0,0,0,0,2,0,0,10,1,0,0,0,0,0,0,2,4
ACSM6,5,4,0,2,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0
ACSS1,53,45,10,28,5,8,3,31,9,4,10,26,1,6,7,1,4,1,2,1,1,4,3,3
ACSS2,136,104,22,32,22,11,9,16,13,12,16,21,6,4,13,7,6,1,3,3,1,2,3,1
ACSS3,7,3,4,3,0,2,1,3,2,0,3,2,0,0,0,1,1,0,0,0,0,0,0,0
ACTA1,40,46,3,8,5,4,1,2,1,3,6,3,0,0,6,1,0,0,1,0,0,0,1,1
ACTA2,3,4,2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0
ACTA2-AS1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ACTB,545,402,174,123,118,93,90,84,83,82,72,63,63,50,40,35,25,22,16,15,14,12,11,10
ACTBL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTC1,18,8,5,6,0,10,5,20,1,1,0,0,0,3,1,5,1,0,0,1,0,0,2,1
ACTG1,545,402,174,123,117,93,90,84,83,82,72,63,63,50,40,35,25,22,16,15,14,12,11,10
ACTG1P17,23,14,1,9,2,6,2,12,1,2,3,4,2,1,3,3,0,0,0,0,0,1,0,0
ACTG1P20,66,47,13,21,8,14,8,14,9,13,5,13,3,8,7,4,2,3,1,0,4,2,2,2
ACTG1P4,10,13,1,1,1,0,0,0,1,0,4,0,1,0,3,0,0,1,0,0,1,0,0,1
ACTG2,14,0,1,3,1,1,0,1,2,3,1,0,1,2,1,5,0,0,0,0,0,0,0,0
ACTL10,6,9,0,1,1,0,1,0,0,0,0,1,0,3,2,1,0,0,0,0,0,0,0,0
ACTL6A,364,131,65,104,37,57,35,64,49,32,27,27,30,39,18,29,10,8,8,8,9,9,8,2
ACTL6B,371,205,94,70,52,61,57,42,51,47,23,30,43,11,14,23,10,13,9,12,4,7,6,4
ACTL7A,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTL7B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTL8,1,1,3,0,0,5,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTL9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTN1,207,119,29,76,22,30,14,41,31,21,19,21,15,11,8,8,9,6,11,4,5,5,2,2
ACTN1-AS1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTN2,64,246,64,7,54,2,37,1,11,28,39,48,1,0,22,0,10,2,1,2,1,0,2,3
ACTN3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTN4,126,131,36,40,18,15,8,34,20,13,18,28,12,12,13,7,6,2,5,5,4,3,3,2
ACTR10,485,276,110,112,76,69,62,57,58,58,58,48,52,35,30,26,20,13,13,12,13,10,10,6
ACTR1A,516,319,128,117,94,87,74,76,71,72,60,54,54,38,32,34,19,17,15,14,13,12,11,9
ACTR1B,217,141,27,58,33,30,29,51,27,15,21,26,13,13,12,13,7,6,4,6,5,2,6,1
ACTR2,359,226,85,80,46,66,38,56,38,33,38,45,27,25,34,23,13,6,10,9,11,8,9,6
ACTR3,414,256,96,94,67,63,51,69,57,60,42,48,40,36,29,25,17,7,14,13,11,8,9,9
ACTR3B,298,166,40,75,42,18,26,24,35,28,29,33,15,3,19,6,4,2,3,3,7,3,6,3
ACTR3BP2,0,3,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
ACTR3BP5,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR3C,2,9,6,1,3,0,1,0,1,3,1,6,1,0,0,0,0,0,0,0,0,0,0,0
ACTR5,108,50,20,35,24,23,10,23,12,19,13,11,4,6,6,3,2,1,0,1,1,1,3,1
ACTR6,397,208,73,101,53,43,49,44,43,45,40,43,39,27,23,23,15,8,13,11,12,8,8,3
ACTR8,121,70,27,36,15,25,13,18,13,16,19,16,4,13,10,3,4,2,5,1,9,1,1,0
ACTRT1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTRT3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
