,0,1
SCN2A,1.1924706,1.0626459
CHD8,1.1924706,1.0626459
ADNP,1.1924706,1.0626459
SHANK3,1.1924706,1.0626459
PTEN,1.1924706,1.0626459
SYNGAP1,1.1924706,1.0626459
MECP2,1.1924706,1.0626459
KDM5B,1.1924706,1.0626459
FOXP1,1.1924706,1.0626459
ARID1B,1.1924706,1.0626459
POGZ,1.1924706,1.0626459
ASH1L,1.1924706,1.0626459
KMT5B,1.1924706,1.0626459
SLC6A1,1.1924706,1.0626459
GIGYF1,1.1924706,1.0626459
DYRK1A,1.1924706,1.0626459
CHD2,1.1924706,1.0626459
ASXL3,1.1924706,1.0626459
TAOK1,1.1924706,1.0626459
DNMT3A,1.1924706,1.0626459
GRIN2B,1.1924706,1.0626459
BRSK2,1.1924706,1.0626459
KMT2A,1.1924706,1.0626459
NF1,1.1924706,1.0626459
STXBP1,1.1924706,1.0626459
CUL3,1.1924706,1.0626459
MED13L,1.1924706,1.0626459
ANK2,1.1924706,1.0626459
MYT1L,1.1924706,1.0626459
RORB,1.1924706,1.0626459
TBL1XR1,1.1924706,1.0626459
TBR1,1.1924706,1.0626459
DYNC1H1,1.1924706,1.0626459
WAC,1.1924706,1.0626459
PHF21A,1.1924706,1.0626459
KDM6B,1.1924706,1.0626459
DDX3X,1.1924706,1.0626459
CTNNB1,1.1924706,1.0626459
MED13,1.1924706,1.0626459
ANKRD11,1.1924706,1.0626459
CTCF,1.1924706,1.0626459
RFX3,1.1924706,1.0626459
ARHGEF9,1.1924706,1.0626459
SHANK2,1.1924706,1.0626459
DEAF1,1.1924706,1.0626459
SMARCC2,1.1924706,1.0626459
TLK2,1.1924706,1.0626459
TCF20,1.1924706,1.0626459
CNOT3,1.1924706,1.0626459
SYNCRIP,1.1924706,1.0626459
SETD5,1.1924706,1.0626459
NAA15,1.1924706,1.0626459
SCN1A,1.1924706,1.0626459
EHMT1,1.1924706,1.0626459
TCF4,1.1924706,1.0626459
SRPRA,1.1924706,1.0626459
MARK2,1.1924706,1.0626459
KMT2C,1.1924706,1.0626459
MBD5,1.1924706,1.0626459
NRXN1,1.1924706,1.0626459
IRF2BPL,1.1924706,1.0626459
PHIP,1.1924706,1.0626459
NFE2L3,1.1924706,1.0626459
SKI,1.1924706,1.0626459
PSMD12,1.1924706,1.0626459
KCNB1,1.1924706,1.0626459
CSDE1,1.1924706,1.0626459
TSC1,1.1924706,1.0626459
DMWD,1.1924706,1.0626459
CLCN4,1.1924706,1.0626459
MEIS2,1.1924706,1.0626459
PBX1,1.1924706,1.0626459
HNRNPD,1.1924706,1.0626459
BCL11A,1.1924706,1.0626459
TCF7L2,1.1924706,1.0626459
WDFY3,1.1924706,1.0626459
PHF3,1.1924706,1.0626459
SETBP1,1.1924706,1.0626459
TGM1,1.1924706,1.0626459
EBF3,1.1924706,1.0626459
PPP2R5D,1.1924706,1.0626459
TAF4,1.1924706,1.0626459
KCNQ2,1.1924706,1.0626459
CAPRIN1,1.1924706,1.0626459
DSCAM,1.1924706,1.0626459
GABBR2,1.1924706,1.0626459
PRKG2,1.1924706,1.0626459
UBN2,1.1924706,1.0626459
MEF2C,1.1924706,1.0626459
TRIP12,1.1924706,1.0626459
EP300,1.1924706,1.0626459
NR3C2,1.1924706,1.0626459
ARHGEF18,1.1924706,1.0626459
TNPO3,1.1924706,1.0626459
SMAD6,1.1924706,1.0626459
AMOT,1.1924706,1.0626459
AUTS2,1.1924706,1.0626459
NCKAP1,1.1924706,1.0626459
DLG4,1.1924706,1.0626459
ECPAS,1.1924706,1.0626459
PRKAR1B,1.1924706,1.0626459
FUBP3,1.1924706,1.0626459
GRIA2,1.1924706,1.0626459
CCDC40,1.1924706,1.0626459
GABRA1,1.1924706,1.0626459
TSC2,1.1924706,1.0626459
C1orf185,1.1924706,1.0626459
METTL23,1.1924706,1.0626459
HNRNPUL2,1.1924706,1.0626459
PAX5,1.1924706,1.0626459
ATF4,1.1924706,1.0626459
RERE,1.1924706,1.0626459
DHFR2,1.1924706,1.0626459
TMC4,1.1924706,1.0626459
FXYD5,1.1924706,1.0626459
EBAG9,1.1924706,1.0626459
ITGB5,1.1924706,1.0626459
INTS2,1.1924706,1.0626459
RAI1,1.1924706,1.0626459
FOXG1,1.1924706,1.0626459
PLEKHG6,1.1924706,1.0626459
MAVS,1.1924706,1.0626459
C1QC,1.1924706,1.0626459
TMEM116,1.1924706,1.0626459
SIN3A,1.1924706,1.0626459
ANP32A,1.1924706,1.0626459
PRR14L,1.1924706,1.0626459
CSNK2B,1.1924706,1.0626459
PMM2,1.1924706,1.0626459
PFN2,1.1924706,1.0626459
LMTK3,1.1924706,1.0626459
SPRY2,1.1924706,1.0626459
CMPK2,1.1924706,1.0626459
IQSEC2,1.1924706,1.0626459
RIPK1,1.1924706,1.0626459
TPK1,1.1924706,1.0626459
CASZ1,1.1924706,1.0626459
ZBTB45,1.1924706,1.0626459
NUDT17,1.1924706,1.0626459
FANCE,1.1924706,1.0626459
ZNF396,1.1924706,1.0626459
NR4A2,1.1924706,1.0626459
TBCEL,1.1924706,1.0626459
ADAM21,1.1924706,1.0626459
TCF3,1.1924706,1.0626459
AAAS,1.1924706,1.0626459
CELF6,1.1924706,1.0626459
INSC,1.1924706,1.0626459
ZMYND8,1.1924706,1.0626459
