,0,1
SCN2A,1.0633305,1.1212788
CHD8,1.0633305,1.1212788
ADNP,1.0633305,1.1212788
SHANK3,1.0633305,1.1212788
PTEN,1.0633305,1.1212788
SYNGAP1,1.0633305,1.1212788
MECP2,1.0633305,1.1212788
KDM5B,1.0633305,1.1212788
FOXP1,1.0633305,1.1212788
ARID1B,1.0633305,1.1212788
POGZ,1.0633305,1.1212788
ASH1L,1.0633305,1.1212788
KMT5B,1.0633305,1.1212788
SLC6A1,1.0633305,1.1212788
GIGYF1,1.0633305,1.1212788
DYRK1A,1.0633305,1.1212788
CHD2,1.0633305,1.1212788
ASXL3,1.0633305,1.1212788
TAOK1,1.0633305,1.1212788
DNMT3A,1.0633305,1.1212788
GRIN2B,1.0633305,1.1212788
BRSK2,1.0633305,1.1212788
KMT2A,1.0633305,1.1212788
NF1,1.0633305,1.1212788
STXBP1,1.0633305,1.1212788
CUL3,1.0633305,1.1212788
MED13L,1.0633305,1.1212788
ANK2,1.0633305,1.1212788
MYT1L,1.0633305,1.1212788
RORB,1.0633305,1.1212788
TBL1XR1,1.0633305,1.1212788
TBR1,1.0633305,1.1212788
DYNC1H1,1.0633305,1.1212788
WAC,1.0633305,1.1212788
PHF21A,1.0633305,1.1212788
KDM6B,1.0633305,1.1212788
DDX3X,1.0633305,1.1212788
CTNNB1,1.0633305,1.1212788
MED13,1.0633305,1.1212788
ANKRD11,1.0633305,1.1212788
CTCF,1.0633305,1.1212788
RFX3,1.0633305,1.1212788
ARHGEF9,1.0633305,1.1212788
SHANK2,1.0633305,1.1212788
DEAF1,1.0633305,1.1212788
SMARCC2,1.0633305,1.1212788
TLK2,1.0633305,1.1212788
TCF20,1.0633305,1.1212788
CNOT3,1.0633305,1.1212788
SYNCRIP,1.0633305,1.1212788
SETD5,1.0633305,1.1212788
NAA15,1.0633305,1.1212788
SCN1A,1.0633305,1.1212788
EHMT1,1.0633305,1.1212788
TCF4,1.0633305,1.1212788
SRPRA,1.0633305,1.1212788
MARK2,1.0633305,1.1212788
KMT2C,1.0633305,1.1212788
MBD5,1.0633305,1.1212788
NRXN1,1.0633305,1.1212788
IRF2BPL,1.0633305,1.1212788
PHIP,1.0633305,1.1212788
NFE2L3,1.0633305,1.1212788
SKI,1.0633305,1.1212788
PSMD12,1.0633305,1.1212788
KCNB1,1.0633305,1.1212788
CSDE1,1.0633305,1.1212788
TSC1,1.0633305,1.1212788
DMWD,1.0633305,1.1212788
CLCN4,1.0633305,1.1212788
MEIS2,1.0633305,1.1212788
PBX1,1.0633305,1.1212788
HNRNPD,1.0633305,1.1212788
BCL11A,1.0633305,1.1212788
TCF7L2,1.0633305,1.1212788
WDFY3,1.0633305,1.1212788
PHF3,1.0633305,1.1212788
