,0,1,2,3,4,5,6,7
SCN2A,0.9885907,0.99076545,0.9926642,0.98818123,0.9895245,0.9890751,0.9955545,0.9898005
CHD8,0.99458057,0.9955249,0.99659896,0.9941995,0.995147,0.99445677,0.99798596,0.9954744
ADNP,0.99581015,0.99679554,0.9974359,0.99557734,0.99623704,0.99612564,0.99852717,0.9966483
SHANK3,1.000025,1.0001209,1.0000925,0.9999517,0.999861,1.0000097,1.0001171,1.0001037
PTEN,0.98698556,0.9894971,0.9914962,0.9860211,0.9883889,0.98674804,0.99501175,0.989059
SYNGAP1,1.0031385,1.0023234,1.0021739,1.003464,1.0025468,1.0032508,1.0011388,1.002318
MECP2,0.9977802,0.99827313,0.99865365,0.99749994,0.998078,0.9975619,0.99919724,0.9983767
KDM5B,0.9923649,0.99360275,0.99492383,0.99164224,0.99297297,0.99226713,0.9968661,0.993106
FOXP1,0.99375385,0.99522555,0.99593323,0.9933128,0.99441195,0.9940101,0.9976684,0.9947966
ARID1B,0.99508214,0.99608684,0.997002,0.99492264,0.9955152,0.9955692,0.99817455,0.99604654
POGZ,0.99543977,0.9962318,0.9972203,0.995365,0.99579,0.99577487,0.9982455,0.99651194
ASH1L,0.9967388,0.9974716,0.99785495,0.99642795,0.9969958,0.9968308,0.9987027,0.9973566
KMT5B,0.99310327,0.99477303,0.99565303,0.9928186,0.9937718,0.9937307,0.99750006,0.99427927
SLC6A1,0.9941793,0.99582565,0.99614644,0.9936204,0.9949809,0.99394906,0.9979415,0.9956176
GIGYF1,0.9963378,0.9968034,0.9974205,0.99571794,0.99651086,0.99578106,0.9984708,0.9965223
DYRK1A,0.9986192,0.99941456,0.9991064,0.99844486,0.99865425,0.9992552,0.9995872,0.9992765
CHD2,0.9959593,0.9965123,0.9973594,0.99558896,0.9962405,0.9958174,0.9982936,0.9962424
ASXL3,0.99302304,0.9943328,0.9952816,0.99212694,0.99379224,0.9924025,0.99733686,0.99411255
TAOK1,0.9967494,0.99749076,0.99796927,0.99650013,0.99696743,0.9969933,0.9987929,0.9974609
